b0095	
b3295	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / RNA polymerase - Escherichia coli K-12 MG1655
b3296	Ribosome - Escherichia coli K-12 MG1655
b0026	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3303	Ribosome - Escherichia coli K-12 MG1655
b2411	DNA replication - Escherichia coli K-12 MG1655 / Base excision repair - Escherichia coli K-12 MG1655 / Nucleotide excision repair - Escherichia coli K-12 MG1655 / Mismatch repair - Escherichia coli K-12 MG1655
b4258	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3699	
b3305	Ribosome - Escherichia coli K-12 MG1655
b3314	Ribosome - Escherichia coli K-12 MG1655
b0184	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / DNA replication - Escherichia coli K-12 MG1655 / Mismatch repair - Escherichia coli K-12 MG1655 / Homologous recombination - Escherichia coli K-12 MG1655
b3987	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / RNA polymerase - Escherichia coli K-12 MG1655
b2400	Porphyrin and chlorophyll metabolism - Escherichia coli K-12 MG1655 / Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655
b1714	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b1098	Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b3067	
b3341	Ribosome - Escherichia coli K-12 MG1655
b0173	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b1093	Fatty acid biosynthesis - Escherichia coli K-12 MG1655 / Biotin metabolism - Escherichia coli K-12 MG1655 / Biosynthesis of unsaturated fatty acids - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Fatty acid metabolism - Escherichia coli K-12 MG1655
b3294	Ribosome - Escherichia coli K-12 MG1655
b3298	Ribosome - Escherichia coli K-12 MG1655
b3865	
b3308	Ribosome - Escherichia coli K-12 MG1655
b3301	Ribosome - Escherichia coli K-12 MG1655
b0893	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b0031	Monobactam biosynthesis - Escherichia coli K-12 MG1655 / Lysine biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655 / Biosynthesis of amino acids - Escherichia coli K-12 MG1655
b3309	Ribosome - Escherichia coli K-12 MG1655
b0090	Peptidoglycan biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Vancomycin resistance - Escherichia coli K-12 MG1655
b0177	
b3231	Ribosome - Escherichia coli K-12 MG1655
b0094	
b3983	Ribosome - Escherichia coli K-12 MG1655
b0174	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655
b0420	Thiamine metabolism - Escherichia coli K-12 MG1655 / Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b3559	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3297	Ribosome - Escherichia coli K-12 MG1655
b0172	
b3313	Ribosome - Escherichia coli K-12 MG1655
b0194	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3982	
b2697	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3282	
b1713	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3315	Ribosome - Escherichia coli K-12 MG1655
b0680	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b3317	Ribosome - Escherichia coli K-12 MG1655
b0884	
b0091	D-Glutamine and D-glutamate metabolism - Escherichia coli K-12 MG1655 / Peptidoglycan biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b2828	
b3310	Ribosome - Escherichia coli K-12 MG1655
b0914	ABC transporters - Escherichia coli K-12 MG1655
b0640	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / DNA replication - Escherichia coli K-12 MG1655 / Mismatch repair - Escherichia coli K-12 MG1655 / Homologous recombination - Escherichia coli K-12 MG1655
b4129	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3304	Ribosome - Escherichia coli K-12 MG1655
b1807	
b2746	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b3972	Amino sugar and nucleotide sugar metabolism - Escherichia coli K-12 MG1655 / Peptidoglycan biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b1211	
b3311	Ribosome - Escherichia coli K-12 MG1655
b3307	Ribosome - Escherichia coli K-12 MG1655
b1716	Ribosome - Escherichia coli K-12 MG1655
b0659	
b3302	Ribosome - Escherichia coli K-12 MG1655
b3306	Ribosome - Escherichia coli K-12 MG1655
b2235	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b3288	One carbon pool by folate - Escherichia coli K-12 MG1655 / Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b0171	Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b0027	Protein export - Escherichia coli K-12 MG1655
b1118	ABC transporters - Escherichia coli K-12 MG1655
b2515	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b3342	Ribosome - Escherichia coli K-12 MG1655
b1208	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b2780	Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b1719	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b0180	Fatty acid biosynthesis - Escherichia coli K-12 MG1655 / Biotin metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Fatty acid metabolism - Escherichia coli K-12 MG1655
b0188	
b0156	
b2609	Ribosome - Escherichia coli K-12 MG1655
b0029	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b2568	Quorum sensing - Escherichia coli K-12 MG1655 / Protein export - Escherichia coli K-12 MG1655
b3986	Ribosome - Escherichia coli K-12 MG1655
b3648	Purine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b0911	Ribosome - Escherichia coli K-12 MG1655
b3185	Ribosome - Escherichia coli K-12 MG1655
b2949	
b4226	Oxidative phosphorylation - Escherichia coli K-12 MG1655
b2610	Quorum sensing - Escherichia coli K-12 MG1655 / Protein export - Escherichia coli K-12 MG1655 / Bacterial secretion system - Escherichia coli K-12 MG1655
b0526	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b2114	Selenocompound metabolism - Escherichia coli K-12 MG1655 / Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b3985	Ribosome - Escherichia coli K-12 MG1655
b3287	
b0170	
b1277	Riboflavin metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Quorum sensing - Escherichia coli K-12 MG1655
b0470	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / DNA replication - Escherichia coli K-12 MG1655 / Mismatch repair - Escherichia coli K-12 MG1655 / Homologous recombination - Escherichia coli K-12 MG1655
b3169	
b3320	Ribosome - Escherichia coli K-12 MG1655
b2478	Monobactam biosynthesis - Escherichia coli K-12 MG1655 / Lysine biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655 / Biosynthesis of amino acids - Escherichia coli K-12 MG1655
b3176	Amino sugar and nucleotide sugar metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b0416	
b3066	DNA replication - Escherichia coli K-12 MG1655
b0415	Riboflavin metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655
b2511	
b1204	
b3300	Quorum sensing - Escherichia coli K-12 MG1655 / Protein export - Escherichia coli K-12 MG1655 / Bacterial secretion system - Escherichia coli K-12 MG1655
b2315	Folate biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b0474	Purine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655
b0166	Lysine biosynthesis - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655 / Biosynthesis of amino acids - Escherichia coli K-12 MG1655
b0098	Quorum sensing - Escherichia coli K-12 MG1655 / Protein export - Escherichia coli K-12 MG1655 / Bacterial secretion system - Escherichia coli K-12 MG1655
b3183	
b2925	Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655 / Pentose phosphate pathway - Escherichia coli K-12 MG1655 / Fructose and mannose metabolism - Escherichia coli K-12 MG1655 / Methane metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655 / Carbon metabolism - Escherichia coli K-12 MG1655 / Biosynthesis of amino acids - Escherichia coli K-12 MG1655
b2615	Nicotinate and nicotinamide metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655
b3701	Purine metabolism - Escherichia coli K-12 MG1655 / Pyrimidine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / DNA replication - Escherichia coli K-12 MG1655 / Mismatch repair - Escherichia coli K-12 MG1655 / Homologous recombination - Escherichia coli K-12 MG1655
b0930	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b4052	DNA replication - Escherichia coli K-12 MG1655
b2595	
b2514	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655
b0025	Riboflavin metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655
b3321	Ribosome - Escherichia coli K-12 MG1655
b2608	
b3318	Ribosome - Escherichia coli K-12 MG1655
b1207	Pentose phosphate pathway - Escherichia coli K-12 MG1655 / Purine metabolism - Escherichia coli K-12 MG1655 / Metabolic pathways - Escherichia coli K-12 MG1655 / Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655 / Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655 / Biosynthesis of antibiotics - Escherichia coli K-12 MG1655 / Carbon metabolism - Escherichia coli K-12 MG1655 / Biosynthesis of amino acids - Escherichia coli K-12 MG1655
