gene	Citrobacter	Salmonella	Escherichia	Klebsiella	Enterobacter
ybeY	Core essential	Core essential	Core essential	Core essential	Core essential
hemA	Core essential	Core essential	Core essential	Core essential	Core essential
nadD	Core essential	Core essential	Core essential	Core essential	Core essential
hisS	Core essential	Core essential	Core essential	Core essential	Core essential
bamA	Core essential	Core essential	Core essential	Core essential	Core essential
ribF	Core essential	Core essential	Core essential	Core essential	Core essential
dnaN	Core essential	Core essential	Core essential	Core essential	Core essential
accA	Core essential	Core essential	Core essential	Core essential	Core essential
yjeE	Core essential	Core essential	Core essential	Core essential	Core essential
coaE	Core essential	Core essential	Core essential	Core essential	Core essential
pgsA	Core essential	Core essential	Core essential	Core essential	Core essential
murI	Core essential	Core essential	Core essential	Core essential	Core essential
pheT	Core essential	Core essential	Core essential	Core essential	Core essential
cysS	Core essential	Core essential	Core essential	Core essential	Core essential
ftsQ	Core essential	Core essential	Core essential	Core essential	Core essential
murA	Core essential	Core essential	Core essential	Core essential	Core essential
lspA	Core essential	Core essential	Core essential	Core essential	Core essential
folK	Core essential	Core essential	Core essential	Core essential	Core essential
pyrH	Core essential	Core essential	Core essential	Core essential	Core essential
dnaQ	Core essential	Core essential	Core essential	Core essential	Core essential
ftsI	Core essential	Core essential	Core essential	Core essential	Core essential
plsB	Core essential	Core essential	Core essential	Core essential	Core essential
hemE	Core essential	Core essential	Core essential	Core essential	Core essential
rplM	Core essential	Core essential	Core essential	Core essential	Core essential
yqgF	Core essential	Core essential	Core essential	Core essential	Core essential
yjgQ	Core essential	Core essential	Core essential	Core essential	Core essential
rpsS	Core essential	Core essential	Core essential	Core essential	Core essential
lgt	Core essential	Core essential	Core essential	Core essential	Core essential
murF	Core essential	Core essential	Core essential	Core essential	Core essential
mreC	Core essential	Core essential	Core essential	Core essential	Core essential
rplN	Core essential	Core essential	Core essential	Core essential	Core essential
hemH	Core essential	Core essential	Core essential	Core essential	Core essential
infB	Core essential	Core essential	Core essential	Core essential	Core essential
ftsZ	Core essential	Core essential	Core essential	Core essential	Core essential
dnaC	Core essential	Core essential	Core essential	Core essential	Core essential
uppS	Core essential	Core essential	Core essential	Core essential	Core essential
ispF	Core essential	Core essential	Core essential	Core essential	Core essential
ileS	Core essential	Core essential	Core essential	Core essential	Core essential
lpxK	Core essential	Core essential	Core essential	Core essential	Core essential
rpoA	Core essential	Core essential	Core essential	Core essential	Core essential
gcp	Core essential	Core essential	Core essential	Core essential	Core essential
asd	Core essential	Core essential	Core essential	Core essential	Core essential
thrS	Core essential	Core essential	Core essential	Core essential	Core essential
alaS	Core essential	Core essential	Core essential	Core essential	Core essential
erpA	Core essential	Core essential	Core essential	Core essential	Core essential
rpmC	Core essential	Core essential	Core essential	Core essential	Core essential
rplP	Core essential	Core essential	Core essential	Core essential	Core essential
rplJ	Core essential	Core essential	Core essential	Core essential	Core essential
groS	Core essential	Core essential	Core essential	Core essential	Core essential
rpsL	Core essential	Core essential	Core essential	Core essential	Core essential
rpsR	Core essential	Core essential	Core essential	Core essential	Core essential
cca	Core essential	Core essential	Core essential	Core essential	Core essential
pgk	Core essential	Core essential	Core essential	Core essential	Core essential
