Gene	Product	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
bedA	nitrite reductase (nad(p)h), large subunit	2.13740098922396	1.68384272772718	2.42139912115658	X	X	X	X	X	X	X	X	X	X	BN373_28141	ERS227112_04448	ROD_17881	X	X	X	X	X	X	X	X	X	X
iroC	putative ABC transporter protein	X	X	X	2.411484844743	2.35275876409877	1.96328771059775	1.98003249561801	1.67308520706951	1.70457208160097	X	X	X	X	X	X	X	SL1344_2759	SL3261_2759	STMMW_27411	STM_MW27411	SEN2620	t2669	X	X	X	X
cusA	cation efflux system protein CusA	2.29572729157991	2.32381455796077	X	X	X	X	X	X	X	2.1409072633577	2.17172817194786	1.52145946698298	4.5	BN373_03611	ERS227112_02207	X	X	X	X	X	X	X	EC958_0682	NCTC13441_03432	BW25113_0575	b0575
srfB	putative virulence effector protein	X	X	2.27934829468016	2.12457376861543	1.94281799823722	1.62190541862391	1.29813591502845	1.29395948172839	1.29621874859183	X	X	X	X	X	X	ROD_15871	SL1344_1525	SL3261_1525	STMMW_15891	STM_MW15891	SEN1461	t1504	X	X	X	X
ybhF_2	ABC transporter, ATP binding protein	2.09027352555508	2.35678543857552	X	2.28532327852847	2.30066170751147	2.15723638459095	2.28786694368821	1.81536755502373	1.85951510153496	1.93418837579077	2.19834092997548	1.92666867454163	4.5	BN373_03721	ERS227112_02220	X	SL1344_3551	SL3261_3551	STMMW_35751	STM_MW35751	SEN3409	t3936	EC958_3884	NCTC13441_00209	BW25113_3486	b3486
dmsA_3	anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family	2.12702382807412	2.02415521323432	X	2.14616822423386	2.08889476509726	1.74259207532865	1.79294293071586	1.35722229151223	1.26566408220052	2.07444357017003	1.67511616205066	1.7626453970448	4.5	BN373_21371	ERS227112_05104	X	SL1344_1429	SL3261_1429	STMMW_14991	STM_MW14991	SEN1551	t1420	EC958_1805	NCTC13441_02297	BW25113_1587	b1587
mngB	alpha-mannosidase	X	X	X	X	X	X	X	X	X	3.43900031272785	3.26532973614206	3.17590764921203	4.5	X	X	X	X	X	X	X	X	X	EC958_0846	NCTC13441_03264	BW25113_0732	b0732
cadA	putative lysine decarboxylase, constitutive	2.16470808363963	2.3335068847981	X	2.21870546409632	2.66861194264387	2.47720812411132	2.62838785311751	2.23359292613117	2.6219870458145	2.99535329680384	2.8833322580622	2.90173336839788	4.5	BN373_10641	ERS227112_02923	X	SL1344_2521	SL3261_2521	STMMW_25761	STM_MW25761	SEN2539	t0297	EC958_4620	NCTC13441_04324	BW25113_4131	b4131
yphG	putative transferase	2.46020201385162	1.92177464257172	2.26586390899902	X	X	X	X	X	X	2.37135689844407	2.33188069660329	1.67840803149122	4.5	BN373_35301	ERS227112_00042	ROD_24911	X	X	X	X	X	X	EC958_2855	NCTC13441_01192	BW25113_2549	b2549
ctpF_1	cation transporting ATPase, E1-E2 family	2.10887541031975	2.11880994012541	1.70606211243155	X	X	X	X	X	X	X	X	X	X	BN373_11311	ERS227112_02998	ROD_34351	X	X	X	X	X	X	X	X	X	X
	putative adhesin autotransporter	X	X	2.4221688945993	X	X	X	X	X	X	X	X	X	X	X	X	ROD_00511	X	X	X	X	X	X	X	X	X	X
yjbH	DUF940 family extracellular polysaccharide protein	X	X	2.0825962189381	2.33205316321986	2.30554528677525	2.14872099032838	2.0959349489059	1.98686256732396	2.48123869445653	2.18495949715551	2.16929143496824	1.9105822620169	4.5	X	X	ROD_37211	SL1344_4161	SL3261_4161	STMMW_41741	STM_MW41741	SEN3992	t4131	EC958_4484	NCTC13441_04456	BW25113_4029	b4029
betT	high-affinity choline transport protein	2.63628747784133	2.33435679371667	X	X	X	X	X	X	X	2.21575213294311	2.08037958506913	2.14533340988068	4.5	BN373_11641	ERS227112_03024	X	X	X	X	X	X	X	EC958_0466	NCTC13441_03647	BW25113_0314	b0314
flhA	putative flagellar export pore protein	X	X	1.95951934675092	2.18802067335696	2.24758330856967	1.70212293178017	1.75600812791477	1.51632581186142	1.76768948443573	1.85369095482085	1.73353810894384	1.96683450817915	4.5	X	X	ROD_19241	SL1344_1848	SL3261_1848	STMMW_18961	STM_MW18961	SEN1090	t0964	EC958_2101	NCTC13441_02003	BW25113_1879	b1879
fiu	catecholate siderophore receptor Fiu	2.33593428004452	1.38524143725471	X	X	X	X	X	X	X	2.11589133685214	2.14601370812317	1.75917845382217	4.5	BN373_18731	ERS227112_05483	X	X	X	X	X	X	X	EC958_0918	NCTC13441_03189	BW25113_0805	b0805
wzc	colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase	X	X	2.25772517751715	1.90608355453539	1.97415215343826	1.81615613044474	1.54240132481519	1.59678455330008	1.88286318265488	1.9951520853724	2.10881858100771	1.15302637744052	4.5	X	X	ROD_21961	SL1344_2093	SL3261_2093	STMMW_21481	STM_MW21481	SEN2112	t0756	EC958_2400	NCTC13441_01652	BW25113_2060	b2060
	putative membrane protein	X	X	2.08081592875398	X	X	X	X	X	X	X	X	X	X	X	X	ROD_43301	X	X	X	X	X	X	X	X	X	X
fryA	putative PTS enzyme: Hpr, enzyme I and IIA components	X	X	2.14806616005068	X	X	X	X	X	X	2.18235500354556	2.23912116427897	1.94345259182522	4.5	X	X	ROD_28011	X	X	X	X	X	X	EC958_5004	NCTC13441_01333	BW25113_2383	b2383
	putative fimbrial usher protein	X	X	1.94550539504728	X	X	X	X	X	X	X	X	X	X	X	X	ROD_19351	X	X	X	X	X	X	X	X	X	X
nasA	nitrate reductase	2.02357581229837	1.64563612517531	2.33846768446653	X	X	X	X	X	X	X	X	X	X	BN373_28131	ERS227112_04449	ROD_17871	X	X	X	X	X	X	X	X	X	X
	putative ATP-binding protein of T1SS	X	X	1.86413064678865	X	X	X	X	X	X	X	X	X	X	X	X	ROD_48181	X	X	X	X	X	X	X	X	X	X
iroN	TonB-dependent outer membrane siderophore receptor protein	X	X	2.53963147587008	2.63901149615654	2.34723166634952	2.3208042148174	2.85490364782258	2.69435338462659	2.86350126186335	X	X	X	X	X	X	ROD_17541	SL1344_2762	SL3261_2762	STMMW_27441	STM_MW27441	SEN2623	t2672	X	X	X	X
pgtB	phosphoglycerate transport system sensor protein	2.24523509807769	1.69789429758716	X	2.30063217914131	2.20343041006226	2.2596773535426	2.18350638317717	2.05566866509004	2.43380810234877	X	X	X	X	BN373_22971	ERS227112_04946	X	SL1344_2365	SL3261_2365	STMMW_24181	STM_MW24181	SEN2383	t0461	X	X	X	X
fdhF	formate dehydrogenase H (FDH-H)	X	X	1.76896665512085	X	X	X	X	X	X	X	X	X	X	X	X	ROD_33911	X	X	X	X	X	X	X	X	X	X
pduC	propanediol utilization dehydratase, large subunit	2.26825072595754	2.27526410461624	1.85212492751297	1.81319478945764	1.90329791313197	1.75316693443725	1.51155789413447	1.05557286906767	1.48423213734468	X	X	X	X	BN373_38351	ERS227112_01463	ROD_21261	SL1344_2016	SL3261_2016	STMMW_20711	STM_MW20711	SEN2038	t0834	X	X	X	X
betA	choline dehydrogenase	2.22810674896568	2.10398564518681	X	X	X	X	X	X	X	1.98971555885385	2.18247299935486	2.3791593406586	4.5	BN373_11611	ERS227112_03020	X	X	X	X	X	X	X	EC958_0463	NCTC13441_03650	BW25113_0311	b0311
arnA	UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase	2.32437904047593	2.09078254290949	X	2.60606958371814	2.3015050650376	2.45977654686111	2.66853568074581	1.92707504058959	1.98717080271335	2.58194475561332	2.57616949983174	2.52171112901425	4.5	BN373_44801	ERS227112_00740	X	SL1344_2268	SL3261_2268	STMMW_23231	STM_MW23231	SEN2281	t0564	EC958_2593	NCTC13441_01453	BW25113_2255	b2255
ureC	urease, alpha subunit	2.37219817280165	1.98348943873416	1.80965347478157	X	X	X	X	X	X	X	X	X	X	BN373_41211	ERS227112_01139	ROD_36121	X	X	X	X	X	X	X	X	X	X
	putative type I secretion protein, ATP-binding protein	X	X	2.17232368387376	2.26261061838978	2.4443387543606	1.95160929112944	1.79925840304737	1.63944524655424	1.69895883568115	X	X	X	X	X	X	ROD_25721	SL1344_2663	SL3261_2663	STMMW_27051	STM_MW27051	SEN2611	t2645	X	X	X	X
hpaB	4-hydroxyphenylacetate 3-monooxygenase, oxygenase subunit	2.23339831032804	2.09407774193542	X	2.23850756539871	2.24042862711065	1.98449480936874	2.31397332081372	1.67668616359368	1.89678220661229	X	X	X	X	BN373_04051	ERS227112_02252	X	SL1344_1038	SL3261_1038	STMMW_11091	STM_MW11091	SEN0963	t1820	X	X	X	X
mdcA	malonate decarboxylase, alpha subunit	2.52249554420958	2.14207596471226	2.48091802175584	X	X	X	X	X	X	X	X	X	X	BN373_21191	ERS227112_05121	ROD_44571	X	X	X	X	X	X	X	X	X	X
hutU	urocanate hydratase	2.01679453656462	2.10332323126031	1.85072350105224	2.60075112631802	2.31427962688924	2.2915080804988	1.93122963887404	1.68964542087389	1.745593571923	X	X	X	X	BN373_13571	ERS227112_03229	ROD_07721	SL1344_0767	SL3261_0767	STMMW_08421	STM_MW08421	SEN0735	t2097	X	X	X	X
cheA	fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein	X	X	2.02748045954395	1.96121491473011	2.21895117375267	1.84948666447145	1.31051422385568	1.65133279637474	1.67540070115994	2.13100957809962	1.99387974270146	1.50116809973163	4.5	X	X	ROD_19411	SL1344_1856	SL3261_1856	STMMW_19041	STM_MW19041	SEN1082	t0956	EC958_2110	NCTC13441_01993	BW25113_1888	b1888
mngA	fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component/IIB component/IIC component	X	X	X	X	X	X	X	X	X	2.41361970529149	2.38123730686104	1.86340002863357	4.5	X	X	X	X	X	X	X	X	X	EC958_0845	NCTC13441_03265	BW25113_0731	b0731
