EsCoMG1655.locus.tag	Gene	Product	EnClNCTC9394.NPEQ	KlPnEcl8.NPEQ	KlPnRH201207.NPEQ	CiRoICC168.NPEQ	SaTySL1344.NPEQ	SaTySL3261.NPEQ	SaTyD23580.NPEQ	SaTyA130.NPEQ	SaEnP125109.NPEQ	SaTyTy2.NPEQ	EsCoEC958.NPEQ	EsCoST131.NPEQ	EsCoCS17.NPEQ	EsCoH10407.NPEQ	EsCoBW25113.NPEQ	EsCoMG1655.NPEQ	EnClNCTC9394.locus.tag	KlPnEcl8.locus.tag	KlPnRH201207.locus.tag	CiRoICC168.locus.tag	SaTySL1344.locus.tag	SaTySL3261.locus.tag	SaTyD23580.locus.tag	SaTyA130.locus.tag	SaEnP125109.locus.tag	SaTyTy2.locus.tag	EsCoEC958.locus.tag	EsCoST131.locus.tag	EsCoCS17.locus.tag	EsCoH10407.locus.tag	EsCoBW25113.locus.tag	path_id	path_name
b0014	dnaK	chaperone Hsp70, with co-chaperone DnaJ	2.34463833030666	1.87655918303898	4.02450448629113	5.48637596668064	1.19814798308786	1.91763680882052	3.40215228076518	3.41807564112871	1.68588529289335	3.03204054333714	0.7360221738049	1.68330919432663	2.60627050641835	3.54953211967908	2.64088706979439	0	ENC_45370	BN373_04961	ERS227112_02349	ROD_00101	SL1344_0012	SL3261_0012	STMMW_00111	STM_MW00111	SEN0011	t0012	EC958_0146	NCTC13441_03979	CS17_00013	ETEC_0013	BW25113_0014	eco03018	RNA degradation 
b0025	ribF	bifunctional riboflavin kinase/FAD synthetase	3.06562374402625	3.73613260280259	2.99668241459226	3.37289643039882	2.81468914279953	3.43905890750891	4.2631076009911	2.7584345668405	2.13863865628811	2.89404732075846	2.11884949987487	1.61859097027404	2.8272826951655	3.76332641252449	2.54693460307998	7	ENC_45420	BN373_05011	ERS227112_02355	ROD_00221	SL1344_0046	SL3261_0046	STMMW_00461	STM_MW00461	SEN0045	t0047	EC958_0157	NCTC13441_03967	CS17_00024	ETEC_0025	BW25113_0025	eco01110	Biosynthesis of secondary metabolites 
b0025	ribF	bifunctional riboflavin kinase/FAD synthetase	3.06562374402625	3.73613260280259	2.99668241459226	3.37289643039882	2.81468914279953	3.43905890750891	4.2631076009911	2.7584345668405	2.13863865628811	2.89404732075846	2.11884949987487	1.61859097027404	2.8272826951655	3.76332641252449	2.54693460307998	7	ENC_45420	BN373_05011	ERS227112_02355	ROD_00221	SL1344_0046	SL3261_0046	STMMW_00461	STM_MW00461	SEN0045	t0047	EC958_0157	NCTC13441_03967	CS17_00024	ETEC_0025	BW25113_0025	eco00740	Riboflavin metabolism 
b0025	ribF	bifunctional riboflavin kinase/FAD synthetase	3.06562374402625	3.73613260280259	2.99668241459226	3.37289643039882	2.81468914279953	3.43905890750891	4.2631076009911	2.7584345668405	2.13863865628811	2.89404732075846	2.11884949987487	1.61859097027404	2.8272826951655	3.76332641252449	2.54693460307998	7	ENC_45420	BN373_05011	ERS227112_02355	ROD_00221	SL1344_0046	SL3261_0046	STMMW_00461	STM_MW00461	SEN0045	t0047	EC958_0157	NCTC13441_03967	CS17_00024	ETEC_0025	BW25113_0025	eco01100	Metabolic pathways 
b0027	lspA	prolipoprotein signal peptidase (signal peptidase II)	2.19147065409238	2.74437644533436	2.10728053193624	2.69317882568606	2.14438861853874	1.79258929086722	2.41109141282717	1.99270915282155	1.56310253983589	2.34094123303707	2.84433559431927	2.26244256917651	1.82887517584436	2.22996612573128	1.69708888056091	7	ENC_45440	BN373_05031	ERS227112_02357	ROD_00241	SL1344_0048	SL3261_0048	STMMW_00481	STM_MW00481	SEN0047	t0049	EC958_0159	NCTC13441_03965	CS17_00026	ETEC_0027	BW25113_0027	eco03060	Protein export 
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco01120	Microbial metabolism in diverse environments 
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco01100	Metabolic pathways 
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco00300	Lysine biosynthesis 
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco01230	Biosynthesis of amino acids 
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco01130	Biosynthesis of antibiotics 
