Gene	Product	EnClNCTC9394.II	KlPnEcl8.II	KlPnRH201207.II	CiRoICC168.II	SaTySL1344.II	SaTySL3261.II	SaTyD23580.II	SaTyA130.II	SaEnP125109.II	SaTyTy2.II	EsCoEC958.II	EsCoST131.II	EsCoBW25113.II	EsCoMG1655.II	EnClNCTC9394.locus.tag	KlPnEcl8.locus.tag	KlPnRH201207.locus.tag	CiRoICC168.locus.tag	SaTySL1344.locus.tag	SaTySL3261.locus.tag	SaTyD23580.locus.tag	SaTyA130.locus.tag	SaEnP125109.locus.tag	SaTyTy2.locus.tag	EsCoEC958.locus.tag	EsCoST131.locus.tag	EsCoBW25113.locus.tag	EsCoMG1655.locus.tag	ENC_no	BN373_no	ERS227112_no	ROD_no	SL1344_no	SL3261_no	STMMW_no	STM_no	SEN_no	t_no	EC958_no	NCTC13441_no	BW25113_no	b_no	ENC_in	BN373_in	ERS227112_in	ROD_in	SL1344_in	SL3261_in	STMMW_in	STM_in	SEN_no.1	t_in	EC958_in	NCTC13441_in	BW25113_in	b_in	path_id	path_name
rpsT	SSU ribosomal protein S20P	-4.5	-4.5	X	-4.5	-4.5	-4.5	-0.921495253843075	-4.5	-1.42810703125111	-4.5	-1.19643182550977	-0.677229432783046	-4.5	4.5	ENC_45410	BN373_05001	X	ROD_00212	SL1344_0044	SL3261_0044	STMMW_00441	STM_MW00441	SEN0043	t0045	EC958_0156	NCTC13441_03968	BW25113_0023	b0023	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00178	Ribosome, bacteria
ribF	FMN adenylyltransferase /riboflavin kinase	-4.5	-4.5	-4.5	-1.80183233970454	-1.23649935198875	-4.5	-4.5	-4.5	-0.901979689856146	-4.5	-0.854164066064691	-1.25133578922445	-4.5	-4.5	ENC_45420	BN373_05011	ERS227112_02355	ROD_00221	SL1344_0046	SL3261_0046	STMMW_00461	STM_MW00461	SEN0045	t0047	EC958_0157	NCTC13441_03967	BW25113_0025	b0025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
ileS	Isoleucyl-tRNA synthetase	-4.5	-4.5	-4.5	-2.20455607897599	-2.74448296711864	-4.5	-1.68033831174759	-4.5	-2.00373929074053	-4.5	-3.55798697863187	-3.03885673403384	-4.5	-4.5	ENC_45430	BN373_05021	ERS227112_02356	ROD_00231	SL1344_0047	SL3261_0047	STMMW_00471	STM_MW00471	SEN0046	t0048	EC958_0158	NCTC13441_03966	BW25113_0026	b0026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	X	-4.5	-4.5	-4.5	-4.5	-2.30402347745341	-4.5	-0.703910051788948	-0.620191125725914	-4.5	-2.46893241966423	-4.5	-4.5	-4.5	X	BN373_05051	ERS227112_02359	ROD_00261	SL1344_0050	SL3261_0050	STMMW_00501	STM_MW00501	SEN0049	t0051	EC958_0161	NCTC13441_03963	BW25113_0029	b0029	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
dapB	dihydrodipicolinate reductase	-4.5	-4.5	-4.5	-4.5	-2.19182448426111	-1.0459014275452	-2.0378687186957	-4.5	-0.92130202621876	-4.5	-4.5	-4.5	-1.26725842219941	4.5	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	BW25113_0031	b0031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
folA	Dihydrofolate reductase	-4.5	-4.5	2.31654651389057	-4.5	-4.5	-4.5	1.70310312030848	1.6733275326044	-1.94479798522365	1.31861722309922	1.91995703354482	2.01846177037992	-4.5	-4.5	ENC_559added	BN373_05321	ERS227112_02381	ROD_00551	SL1344_0088	SL3261_0088	STMMW_00921	STM_MW00921	SEN0089	t0090	EC958_0182	NCTC13441_03942	BW25113_0048	b0048	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00126	Tetrahydrofolate biosynthesis, GTP => THF
lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	-1.96779015739745	-1.27344134999619	-4.5	-4.5	-4.5	-4.5	-0.978978822523264	-4.5	-1.15089472776586	-4.5	-2.34889156589384	-4.5	-4.5	-4.5	ENC_46080	BN373_05891	ERS227112_02437	ROD_01021	SL1344_0134	SL3261_0134	STMMW_01401	STM_MW01401	SEN0135	t0138	EC958_0236	NCTC13441_03889	BW25113_0096	b0096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
secM	Secretion monitor precursor protein (SecM).	1.95698134726453	0.425730189839755	1.80091822137454	1.5841493415804	0.815579744775561	1.72497053174515	1.6270213520769	0.932895466449567	0.994969879029185	1.07356265314889	0.27742630755305	0.831061572655675	1.24180152882223	-4.5	ENC_46090	BN373_05901	ERS227112_02438	ROD_01031	SL1344_0135	SL3261_0135	STMMW_01411	STM_MW01411	SEN0136	t0139	EC958_0238	NCTC13441_03888	BW25113_0097	b0097	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00335	Sec (secretion) system
secA	protein translocase subunit secA	-4.5	-2.35048514828436	-4.5	-1.66436241981693	-3.32463995095109	-3.24804542732391	-1.76882211399804	-2.29100766847369	-0.907507363481211	-3.0658097502768	-3.42511241559764	-2.3008947868679	-4.5	-4.5	ENC_46100	BN373_05911	ERS227112_02438A	ROD_01041	SL1344_0136	SL3261_0136	STMMW_01421	STM_MW01421	SEN0137	t0140	EC958_0239	NCTC13441_15added	BW25113_0098	b0098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00335	Sec (secretion) system
coaE	dephospho-CoA kinase	-4.5	-4.5	-4.5	-4.5	-1.15517759100666	-1.77071153824269	-0.986298589150042	-4.5	-0.349918933990303	-4.5	-1.94604606942999	-4.5	-4.5	-4.5	ENC_46140	BN373_05951	ERS227112_02443	ROD_01081	SL1344_0140	SL3261_0140	STMMW_01461	STM_MW01461	SEN0144	t0146	EC958_0243	NCTC13441_03883	BW25113_0103	b0103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00120	Coenzyme A biosynthesis, pantothenate => CoA
aceE	pyruvate dehydrogenase E1 component, homodimeric type	1.2696037409021	2.04379832636449	0.252180631437351	1.5864429926532	0.110527516961495	0.932791378475484	0.953511420478354	-0.313692291992944	0.774685979726556	-1.60506845440978	0.876710288896715	-0.322056879055905	1.60599417990465	4.5	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	BW25113_0114	b0114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
aceF	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, long form	0.91333732068603	1.92031382711569	-0.233181433938505	1.22390367627577	0	-0.0910065041883512	0.399763647954011	-0.304961670048924	0.362759310196409	-2.63930382456336	0.759526031431949	-0.671923975978378	0.298950655464867	4.5	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	BW25113_0115	b0115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
lpdA	dihydrolipoamide dehydrogenase	-1.31439183446898	0.801623736176212	-4.5	-0.69757694587837	-0.713816247270978	-2.57848847940877	-0.296740503864064	-1.63061343235087	0.167268003201335	-2.3528419954229	-2.08632461102746	-4.5	0.679121941732903	4.5	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	BW25113_0116	b0116	3	4	5	3	4	4	4	4	4	4	5	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00009	Citrate cycle (TCA cycle, Krebs cycle)
lpdA	dihydrolipoamide dehydrogenase	-1.31439183446898	0.801623736176212	-4.5	-0.69757694587837	-0.713816247270978	-2.57848847940877	-0.296740503864064	-1.63061343235087	0.167268003201335	-2.3528419954229	-2.08632461102746	-4.5	0.679121941732903	4.5	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	BW25113_0116	b0116	3	4	5	3	4	4	4	4	4	4	5	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
