Gene	Product	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
rpoN	RNA polymerase sigma-54 factor	2.49051687184257	1.6541796833057	0.256093556032818	1.08446126352801	1.6642143983356	1.24852102401802	X	0.46624565794011	1.54172105702679	0.0925350555283878	-0.279053815894557	1.74552254522072	4.5	BN373_42621	ERS227112_00986	ROD_46181	SL1344_3292	SL3261_3292	STMMW_33191	X	SEN3153	t3237	EC958_3602	NCTC13441_00490	BW25113_3202	b3202
paaK	phenylacetate-CoA ligase PaaK	2.09534391512623	1.88041178356993	X	X	X	X	X	X	X	X	X	-1.1236078892192	4.5	BN373_20341	ERS227112_05206	X	X	X	X	X	X	X	X	X	BW25113_1398	b1398
yagG	CP4-6 prophage; putative sugar transporter	X	X	2.01146428350216	X	X	X	X	X	X	X	X	1.35662542800309	-4.5	X	X	ROD_13561	X	X	X	X	X	X	X	X	BW25113_0270	b0270
orf319	conserved hypothetical protein	2.1514032632616	2.02574145763292	2.29571795921346	2.12323299337897	2.57793384650653	1.80016099333895	-0.405326383473101	1.34666418739046	1.5653512454797	X	X	X	X	BN373_03491	ERS227112_02195	ROD_37331	SL1344_1323	SL3261_1323	STMMW_13941	STM_MW13941	SEN1656	t1257	X	X	X	X
glgA_2	bifunctional galactosyltransferase	2.95444730685389	2.98260534778152	X	-0.290105297518989	0.069668630167065	0.516870671565669	3.33478116965203	X	3.26289915898629	X	X	X	X	BN373_30911	ERS227112_04093	X	SL1344_0703	SL3261_0703	STMMW_07781	STM_MW07781	X	t2155	X	X	X	X
efeU	ferrous iron permease EfeU	2.39763056226391	2.45828822057046	1.72913114262481	X	X	X	X	X	X	2.12852040208623	1.9519416225241	-4.5	4.5	BN373_16601	ERS227112_03523	ROD_10711	X	X	X	X	X	X	EC958_1215	NCTC13441_02889	BW25113_4490	b4490
alsK	D-allose kinase	X	X	2.18488245828751	X	X	X	X	X	X	2.27818014620271	2.08645609116607	1.73306149086657	-4.5	X	X	ROD_34691	X	X	X	X	X	X	EC958_4565	NCTC13441_04379	BW25113_4084	b4084
rnc	ribonuclease III	-0.729188921597933	-4.5	-0.0153069821348577	-1.68412896338568	-0.118334999316319	0.368034276117504	-0.416026336894	-1.38005899046874	0.977445774233581	1.61274048664033	X	1.69841341396281	4.5	BN373_35501	ERS227112_00020A	ROD_25131	SL1344_2543	SL3261_2543	STMMW_25971	STM_MW25971	SEN2561	t0277	EC958_2873	X	BW25113_2567	b2567
lsrC	autoinducer-2 ABC transporter, permease protein LsrC	2.20952327563986	1.47784717971873	X	2.36776357773083	2.30424087179256	2.30994648654601	2.5973588095547	2.13271968170557	2.54688888981575	X	X	-0.150532850588195	4.5	BN373_41681	ERS227112_01099	X	SL1344_4024	SL3261_4024	STMMW_40401	STM_MW40401	SEN3865	t3543	X	X	BW25113_1514	b1514
cmk	cytidylate kinase	-4.5	0.812750802310096	0.108037375287758	1.03897838191921	X	1.40622183896862	0.551054144107071	1.13332015834809	0.593645113171772	1.15927354760351	0.187045070148811	0.528066670604949	4.5	BN373_15531	ERS227112_03425	ROD_09781	SL1344_0917	X	STMMW_09911	STM_MW09911	SEN0884	t1954	EC958_1120	NCTC13441_02979	BW25113_0910	b0910
ramA_2	hydrolase, carbon-nitrogen family	2.38068769586901	2.13157585702094	2.45092434279106	2.07950595111902	2.19063097463749	1.52233187075074	2.01854426215705	1.86948085698762	X	2.22104098675026	1.8707021147506	-4.5	4.5	BN373_12381	ERS227112_03100	ROD_06401	SL1344_0619	SL3261_0619	STMMW_06961	STM_MW06961	SEN0600	X	EC958_0744	NCTC13441_03369	BW25113_4581	b4581
	is150 putative transposase	-4.5	3.18413785525123	X	X	X	X	X	X	X	1.93798171091038	2.63222508220307	X	X	BN373_31971	ERS227112_01985	X	X	X	X	X	X	X	EC958_4953	NCTC13441_01853	X	X
ynjF	CDP-alcohol phosphatidyltransferase family protein	2.23393680065057	1.26641178362712	1.93425001630859	X	X	X	X	X	X	1.84037586829789	1.11960929364211	-0.313752433378694	4.5	BN373_18351	ERS227112_05521	ROD_13011	X	X	X	X	X	X	EC958_1979	NCTC13441_02122	BW25113_1758	b1758
	putative phage repressor protein CI	-4.5	-4.5	X	X	X	0.061624386431942	-0.37464844124407	X	X	-0.939934766416338	-4.5	X	X	BN373_09941	ERS227112_05429	X	X	X	STMMW_03541	STM_MW03541	X	X	EC958_1344	NCTC13441_02766	X	X
paaD	phenylacetate-CoA oxygenase, gamma subunit	2.58371435398317	2.25721399010832	X	X	X	X	X	X	X	X	X	-4.5	4.5	BN373_20271	ERS227112_05213	X	X	X	X	X	X	X	X	X	BW25113_1391	b1391
kdgM	putative oligogalacturonate-specific porin	2.36505100637141	2.48706972844632	2.64721931285454	0.821413758601389	-0.702106715342085	-1.33534755460546	3.26292075900976	2.48963802179524	2.51689079485063	X	X	X	X	BN373_38981	ERS227112_01399	ROD_28941	SL1344_1069	SL3261_1069	STMMW_11401	STM_MW11401	SEN0992	t1789	X	X	X	X
cheY	chemotaxis regulator transmitting signal to flagellar motor component	X	X	1.76789068021763	1.99090607093537	1.88780355940234	2.2095504968182	-4.5	1.60664149214103	1.48500263520589	1.16310764254905	0.961110784483804	-0.0855715898702907	4.5	X	X	ROD_19301	SL1344_1851	SL3261_1851	STMMW_18991	STM_MW18991	SEN1087	t0961	EC958_2104	NCTC13441_02000	BW25113_1882	b1882
rrrQ	phage lysozyme	2.91161196245022	1.87164855707011	2.1915450243272	X	X	X	X	X	X	1.89124307889036	2.04533971796679	-0.216618680864022	4.5	BN373_10151	ERS227112_05324	ROD_10411	X	X	X	X	X	X	EC958_2266	NCTC13441_01821	BW25113_1554	b1554
	conserved hypothetical protein	2.36777763506239	-4.5	1.98126104009481	X	X	X	X	X	X	1.40562786854439	1.87074397862922	X	X	BN373_00951	ERS227112_01959	ROD_35241	X	X	X	X	X	X	EC958_0427	NCTC13441_03687	X	X
ybjQ	UPF0145 family protein	X	X	2.08506971746746	2.22621619437033	2.3653459042535	1.94279688080844	1.85024092411691	1.69042771290506	2.40367080783551	2.18040265775872	2.15944727030324	-0.0327781525169573	4.5	X	X	ROD_08761	SL1344_0869	SL3261_0869	STMMW_09431	STM_MW09431	SEN0838	t2003	EC958_0978	NCTC13441_03128	BW25113_0866	b0866
ihfA	integration host factor, alpha subunit	2.3443095588847	1.49837778977381	-4.5	1.83015480154096	1.38004377242343	1.86011653875832	0.798098548476062	0.830193192847162	1.08719884156836	1.73552520273391	X	2.33127213049538	4.5	BN373_27601	ERS227112_04499	ROD_13431	SL1344_1273	SL3261_1273	STMMW_13461	STM_MW13461	SEN1705	t1220	EC958_1934	X	BW25113_1712	b1712
paaB	phenylacetate-CoA oxygenase, effector protein	2.15061148325223	2.06921729488963	X	X	X	X	X	X	X	X	X	-4.5	4.5	BN373_20251	ERS227112_05215	X	X	X	X	X	X	X	X	X	BW25113_1389	b1389
flgN	export chaperone for FlgK and FlgL	X	X	2.14969971014479	2.46303931120633	2.7685382079879	2.21741484943871	1.89004123343931	1.93788190604518	2.30776415235496	1.79866758321069	1.57398655647887	-0.244377294833667	4.5	X	X	ROD_11371	SL1344_1108	SL3261_1108	STMMW_11791	STM_MW11791	SEN1877	t1749	EC958_1265	NCTC13441_02842	BW25113_1070	b1070
ybcK	site-specific recombinase, resolvase family	3.46828028523313	X	X	X	X	X	X	X	X	X	X	-1.9759331166196	4.5	BN373_27731	X	X	X	X	X	X	X	X	X	X	BW25113_0544	b0544
rpsT	ribosomal protein S20	-4.5	X	-4.5	-4.5	-4.5	-0.921495253843075	-4.5	-1.42810703125111	-4.5	-1.19643182550977	-0.677229432783046	-4.5	4.5	BN373_05001	X	ROD_00212	SL1344_0044	SL3261_0044	STMMW_00441	STM_MW00441	SEN0043	t0045	EC958_0156	NCTC13441_03968	BW25113_0023	b0023
	phage portal protein, hk97 family	2.61171415700609	-0.444283761564648	X	2.84467415849241	2.60039594784506	2.66500174444595	2.78358973769932	2.17053607048656	X	2.05131735509148	2.04814789068144	X	X	BN373_33631	ERS227112_00927	X	SL1344_1949	SL3261_1949	STMMW_20021	STM_MW20021	SEN1938	X	EC958_2260	NCTC13441_01828	X	X
	hypothetical protein	2.52567756754533	-1.1261713021276	X	-0.727009882258013	0.434543605338324	0.815218168584521	-0.633532676718642	0.605761951607348	0.428859891592932	X	X	X	X	BN373_45611	ERS227112_00182	X	SL1344_3618	SL3261_3618	STMMW_36421	STM_MW36421	SEN3475	t3867	X	X	X	X
rpsO	ribosomal protein S15	-0.297648521427525	-4.5	0.425218196215523	0.495212986754945	0.460625590554529	0.67453562841661	-4.5	0.487733727380878	-4.5	-0.54600881069071	X	-4.5	4.5	BN373_42251	ERS227112_01026A	ROD_46671	SL1344_3256	SL3261_3256	STMMW_32831	STM_MW32831	SEN3118	t3201	EC958_3567	X	BW25113_3165	b3165
ybaQ	putative DNA-binding transcriptional regulator	X	X	X	X	X	X	X	X	X	0.630833019981982	-0.554204880363434	2.40771768875833	4.5	X	X	X	X	X	X	X	X	X	EC958_0624	NCTC13441_03492	BW25113_0483	b0483
fliE	flagellar basal-body component	X	X	1.80852622618694	1.80815881497807	1.93389505920186	1.93801740973394	0.42727182239289	1.64186962359569	2.45075825823076	0.946570747974416	1.218907692958	-4.5	4.5	X	X	ROD_20171	SL1344_1897	SL3261_1897	STMMW_19481	STM_MW19481	SEN1041	t0909	EC958_2203	NCTC13441_01887	BW25113_1937	b1937
ydbJ	putative lipoprotein	2.0710322878114	1.59953521492584	X	2.59391695774974	2.4038160167997	0.606183954890273	1.3902402768554	1.08401006212563	-0.240392064495782	1.97314674869785	2.41292510677897	1.15870444100932	4.5	BN373_20011	ERS227112_05229	X	SL1344_1579	SL3261_1579	STMMW_16441	STM_MW16441	SEN1403	t1552	EC958_1681	NCTC13441_02413	BW25113_4529	b4529
ydhL	conserved hypothetical protein	0.587038225028797	1.23183729328236	X	1.54396481810522	1.89594922393821	1.57543512867079	0.970533006701635	-0.920896144961176	0.697866250163389	2.20197027408544	0.105553889415219	1.96294337401986	4.5	BN373_25681	ERS227112_04687	X	SL1344_1370	SL3261_1370	STMMW_14411	STM_MW14411	SEN1609	t1306	EC958_4931	NCTC13441_02233	BW25113_1648	b1648
fliO	flagellar biosynthesis protein	X	X	1.73496147501617	1.72085916225729	1.53089819609752	1.03590879601365	0.891230124256163	1.04850406644222	1.35341068698357	1.90794421883721	0.547141668666416	-4.5	4.5	X	X	ROD_20271	SL1344_1907	SL3261_1907	STMMW_19581	STM_MW19581	SEN1031	t0899	EC958_2213	NCTC13441_01877	BW25113_1947	b1947
	Helix-turn-helix domain	X	-0.162105896474167	X	X	X	X	X	X	X	X	2.33392018303326	X	X	X	ERS227112_00242	X	X	X	X	X	X	X	X	NCTC13441_01892	X	X
rffG_2	putative uridine diphosphate galacturonate 4-epimerase	-1.12250825094876	-1.96178261877809	X	X	X	X	X	X	3.19296564239402	X	X	X	X	BN373_30981	ERS227112_04087	X	X	X	X	X	X	t4351	X	X	X	X
