Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoCS17 NPEQ	EsCoH10407 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoCS17 locus tag	EsCoH10407 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
mukB	chromosome condensin MukBEF, ATPase and DNA-binding subunit	4.52408140022056	5.94785155976896	8.69226790979769	7.9588457008653	8.10420285130493	9.45356157240217	6.78302675077018	8.64466087579013	5.60153301446543	4.24452469786782	6.32550819025008	7.94226339011271	3.57399104242685	4.10615412773724	8.82943483069478	7	ENC_17580	BN373_15671	ERS227112_03439	ROD_09921	SL1344_0931	SL3261_0931	STMMW_10051	STM_MW10051	SEN0898	t1940	EC958_1135	NCTC13441_02965	CS17_00987	ETEC_0992	BW25113_0924	b0924
rpoB	RNA polymerase, beta subunit	5.45242406243226	6.68467664723457	5.03502500340647	3.71679908552087	4.502002514615	5.5566999905639	3.16729669536801	4.89645946060987	3.0651348008823	6.94187118594618	7.82896412766415	7.3881876962372	3.00770250981465	3.8230422226584	8.47147429081759	7	ENC_01390	BN373_49801	ERS227112_01835	ROD_37651	SL1344_4092	SL3261_4092	STMMW_41061	STM_MW41061	SEN3937	t3474	EC958_5098	NCTC13441_04508	CS17_04449	ETEC_4246	BW25113_3987	b3987
dnaE	DNA polymerase III alpha subunit	5.04486929115173	5.98719813653041	7.27079825138135	7.90912619207458	5.88972315566587	8.12045024067857	3.89128035802867	7.00042678631743	4.44355774457227	7.12805477051119	6.59344602757663	5.73556135866694	3.40564312256021	5.3442254585558	4.42085878654148	7	ENC_47070	BN373_06891	ERS227112_02539	ROD_01871	SL1344_0232	SL3261_0232	STMMW_02371	STM_MW02371	SEN0238	t0232	EC958_0330	NCTC13441_03792	CS17_00194	ETEC_0179	BW25113_0184	b0184
valS	valyl-tRNA synthetase	5.46959572411819	2.9463396959089	6.32993110209669	4.28859452377886	4.45573752937542	5.7637202529411	3.88955646220625	2.84565751049624	3.77833909802343	6.64363658491451	4.27793286386615	6.06920129805467	4.92567791825435	7.81272915125578	6.44331488019976	7	ENC_34520	BN373_02801	ERS227112_02145	ROD_33241	SL1344_4405	SL3261_4405	STMMW_44211	STM_MW44211	SEN4228	t4510	EC958_4752	NCTC13441_04190	CS17_04743	ETEC_4604	BW25113_4258	b4258
ileS	isoleucyl-tRNA synthetase	6.39088802561365	7.78243816122618	6.25460845343326	4.25201302065453	4.28011404419014	6.99871009571325	4.91571741095432	6.16055191019962	6.47046874891573	6.42180012209855	6.3740181764303	4.50310947340442	5.5714606321037	4.82776755993009	5.6932523684362	7	ENC_45430	BN373_05021	ERS227112_02356	ROD_00231	SL1344_0047	SL3261_0047	STMMW_00471	STM_MW00471	SEN0046	t0048	EC958_0158	NCTC13441_03966	CS17_00025	ETEC_0026	BW25113_0026	b0026
leuS	leucyl-tRNA synthetase	5.08287850365484	6.7800975380383	5.4651896918189	3.81317828597364	5.17464870504885	6.27210018812743	4.57725373436417	4.25437597061618	4.06921201342731	4.26650492407813	3.33328277267376	5.65157731349631	3.56483621561791	6.88361890192725	4.69679954935889	7	ENC_20680	BN373_12541	ERS227112_03116	ROD_06621	SL1344_0636	SL3261_0636	STMMW_07131	STM_MW07131	SEN0617	t2219	EC958_0761	NCTC13441_03353	CS17_00648	ETEC_0670	BW25113_0642	b0642
secA	preprotein translocase subunit, ATPase	5.65437145427837	4.95115944227782	5.67586110606729	4.71599955735515	5.32296135042097	4.34222502237374	4.42117949607569	3.4317494490761	2.72505551386545	4.25704326626282	4.71123335949945	4.34947292792052	3.54195493901463	3.5457110267837	5.06810330785436	7	ENC_46100	BN373_05911	ERS227112_02438A	ROD_01041	SL1344_0136	SL3261_0136	STMMW_01421	STM_MW01421	SEN0137	t0140	EC958_0239	NCTC13441_36added	CS17_3added	ETEC_0096	BW25113_0098	b0098
polA	5' to 3' DNA polymerase and 3' to 5'/5' to 3' exonuclease	4.5167803474518	2.0476404794144	5.97551306492942	1.92354731169254	2.94027480357582	2.41943789985301	2.9876679067162	2.85831408338957	4.47810072249312	2.63570699754892	2.41788209689483	2.24494034091746	3.69338056555135	2.87532162167799	2.29671076364759	7	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	CS17_04313	ETEC_4133	BW25113_3863	b3863
alaS	alanyl-tRNA synthetase	6.18935297985945	5.43163419015064	5.91515971478585	5.16881924201838	3.01981736218605	5.75114686873344	3.43681745857315	4.23180484948223	3.13093296942939	6.28027019170654	5.87987789635359	5.93895812707091	4.06201092920618	6.04170509209884	5.83333925692639	7	ENC_29420	BN373_36621	ERS227112_01632	ROD_31171	SL1344_2807	SL3261_2807	STMMW_27891	STM_MW27891	SEN2668	t2728	EC958_2962	NCTC13441_01080	CS17_03015	ETEC_2888	BW25113_2697	b2697
infB	translation initiation factor IF-2	4.36970237221563	5.95790817372807	3.29997649335843	3.48324783094055	4.8653338218392	4.58112044830806	4.13800039245777	4.14800679099971	2.07750696954785	4.37209014366266	5.34687144613066	4.64977071082959	3.73627048309504	3.90306588925696	4.60701183708265	7	ENC_34060	BN373_42281	ERS227112_01024	ROD_46641	SL1344_3259	SL3261_3259	STMMW_32861	STM_MW32861	SEN3121	t3204	EC958_3570	NCTC13441_00526	CS17_03608	ETEC_3435	BW25113_3168	b3168
