Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
gltB	Glutamate synthase [NADPH] large chain precursor	2.95258595944049	2.63877468471399	2.08602105143252	2.02605018134809	2.84462976771328	2.65984371470272	2.47880515437919	2.36060390014259	2.0102935042898	2.33223811958949	2.42356490384902	2.21560814181186	2.11163919495752	4.5	ENC_416added	BN373_42741	ERS227112_00973	ROD_46051	SL1344_3302	SL3261_3302	STMMW_33291	STM_MW33291	SEN3163	t3247	EC958_3612	NCTC13441_00479	BW25113_3212	b3212
rpoC	DNA-directed RNA polymerase subunit beta'	-2.42931532379876	-1.36115928752211	-4.5	-0.823431604176609	-4.12712568025389	-2.363984796563	-1.93543705017786	-4.5	-1.23731485668615	-1.52622143676934	-1.70713715330168	-3.69163360348817	-3.24904381343341	-4.5	ENC_13added	BN373_49811	ERS227112_01836	ROD_37641	SL1344_4093	SL3261_4093	STMMW_41071	STM_MW41071	SEN3938	t3473	EC958_5099	NCTC13441_04507	BW25113_3988	b3988
mukB	bacterial condensin subunit MukB	-2.79609239862109	-1.73104394196802	-4.5	-2.4616395250531	-3.79243288078332	-4.5	-1.92500333264	-4.5	-2.32050197509975	-2.72752833117519	-2.85160241252035	-4.5	-4.5	-4.5	ENC_17580	BN373_15671	ERS227112_03439	ROD_09921	SL1344_0931	SL3261_0931	STMMW_10051	STM_MW10051	SEN0898	t1940	EC958_1135	NCTC13441_02965	BW25113_0924	b0924
yfhM	Large extracellular alpha-helical protein	2.57418682553051	2.30492613491439	1.74988716173943	2.34064973526213	2.3929482138935	2.19745441034088	2.05310875968942	2.14358724963654	1.76606122296533	1.77157036220077	2.48906411604074	2.29194450763001	2.0203912918358	4.5	ENC_37380	BN373_35071	ERS227112_00065	ROD_24641	SL1344_2494	SL3261_2494	STMMW_25491	STM_MW25491	SEN2512	t0324	EC958_2830	NCTC13441_01216	BW25113_2520	b2520
rpoB	DNA-directed RNA polymerase subunit beta	-3.07701980405632	-2.41430065402936	-2.64514598466355	-0.944578496084294	-1.78029303934265	-2.72553488901218	-1.57303623356242	-2.44072860565797	-1.29140870611829	-3.56495155505882	-3.37550527011448	-3.64199073722711	-4.5	-4.5	ENC_01390	BN373_49801	ERS227112_01835	ROD_37651	SL1344_4092	SL3261_4092	STMMW_41061	STM_MW41061	SEN3937	t3474	EC958_5098	NCTC13441_04508	BW25113_3987	b3987
hrpB_1	ATP-dependent RNA helicase HrpB	1.68435427337455	2.16789049275925	1.66521256922064	2.07410909311908	1.80132741629431	2.11299923503552	1.94189162832658	1.22241781383329	1.40094021145164	1.35149856876871	1.41039520130412	1.62212952729433	1.34946300039118	4.5	ENC_134added	BN373_20391	ERS227112_05201	ROD_16271	SL1344_1571	SL3261_1571	STMMW_16361	STM_MW16361	SEN1411	t1544	EC958_1692	NCTC13441_02402	BW25113_1413	b1413
purL	Phosphoribosylformylglycinamidine synthase	2.66752374282556	2.37051860287922	1.55208388264762	2.48023999264269	2.43039428007099	2.21548166318351	2.17367056832825	1.88386046566571	1.7068839264108	1.73513034967981	2.39013362405915	2.32061690580914	1.36021977569656	4.5	ENC_443added	BN373_35401	ERS227112_00031	ROD_25001	SL1344_2527	SL3261_2527	STMMW_25821	STM_MW25821	SEN2545	t0291	EC958_2863	NCTC13441_01182	BW25113_2557	b2557
putA	L-proline dehydrogenase /delta-1-pyrroline-5-carboxylate dehydrogenase	2.27079338481964	2.44086594281865	2.06678015475421	1.85607137964932	2.48383264642833	2.27722092903935	2.04224810369079	2.02559171328415	1.53114565135362	1.64999656437815	2.3776702848979	2.17678652230548	2.14004496149019	4.5	ENC_16200	BN373_16561	ERS227112_03519	ROD_10681	SL1344_1062	SL3261_1062	STMMW_11331	STM_MW11331	SEN0986A	t1797	EC958_1211	NCTC13441_02891	BW25113_1014	b1014
metH	Methionine synthase	2.3520476617792	2.38994879507643	2.38786666172461	2.05967066259098	2.14878989628955	2.0493409108084	1.59270481699394	1.27351721237009	1.59169951483388	1.86585741956661	1.92082148576502	1.91251107162189	1.99342514111897	4.5	ENC_38added	BN373_00061	ERS227112_01869	ROD_37381	SL1344_4123	SL3261_4123	STMMW_41371	STM_MW41371	SEN3970	t4115	EC958_4465	NCTC13441_04477	BW25113_4019	b4019
dnaE	DNA polymerase III, alpha subunit	-3.41880020123325	-1.80343429072104	-4.5	-2.94808670050994	-3.49459530154704	-4.5	-1.96462710201674	-4.5	-1.13486168355195	-4.5	-2.85221128771255	-3.19095925644166	-2.65407753200633	-4.5	ENC_47070	BN373_06891	ERS227112_02539	ROD_01871	SL1344_0232	SL3261_0232	STMMW_02371	STM_MW02371	SEN0238	t0232	EC958_0330	NCTC13441_03792	BW25113_0184	b0184
nifJ_1	Pyruvate-flavodoxin oxidoreductase	2.17766646783464	2.19329135629312	1.76543899234216	2.13739154249398	2.08788174245171	2.22455788473411	1.96303497127745	1.74669354715556	1.6354348230814	1.52606074689291	2.12710915830037	1.94923336081034	1.25583365854907	4.5	ENC_96added	BN373_20001	ERS227112_05230	ROD_16441	SL1344_1581	SL3261_1581	STMMW_16461	STM_MW16461	SEN1401	t1553	EC958_1680	NCTC13441_02414	BW25113_1378	b1378
tamB_2	Translocation and assembly module TamB	2.65048793002105	2.48389166861225	2.66707776535864	2.14866139952356	2.43689255404998	2.45452095810028	2.17746049248216	1.95960460632279	1.99420816188652	1.67058708406038	2.53209300505075	2.23972114635222	2.29556588400705	4.5	ENC_530added	BN373_02271	ERS227112_02092	ROD_32821	SL1344_4343	SL3261_4343	STMMW_43541	STM_MW43541	SEN4179	t4464	EC958_4716	NCTC13441_04224	BW25113_4221	b4221
mfd	transcription-repair coupling factor	2.12907266372488	2.40002722841562	2.09782173494221	1.75454235362995	2.71164832647923	2.18387927081742	2.26028460721992	2.42871329093873	1.5562489331296	1.50711886241606	2.1791259134973	1.66187165304413	1.58712399985571	4.5	ENC_15240	BN373_17261	ERS227112_03590	ROD_11811	SL1344_1153	SL3261_1153	STMMW_12251	STM_MW12251	SEN1833	t1704	EC958_1311	NCTC13441_02798	BW25113_1114	b1114
carB	carbamoyl-phosphate synthase large subunit	2.7232545243363	2.45365830470189	2.39006133785617	2.21701867916337	2.39537782617226	2.3543762118471	2.35923801372698	2.19197795637589	1.4909913526322	1.4648431165293	2.05599642347366	2.15175789093362	2.13554547815053	4.5	ENC_45580	BN373_05281	ERS227112_02377	ROD_00361	SL1344_0068	SL3261_0068	STMMW_00691	STM_MW00691	SEN0067	t0068	EC958_0166	NCTC13441_03958	BW25113_0033	b0033
entF	amino acid adenylation domain	1.85193970290541	2.12664793068752	1.64037628713854	1.93717142226584	2.25263638823613	2.03833470335073	1.58578342583686	1.46410664887096	1.2885685270983	1.42286561178112	2.37412010096085	2.13915412138204	1.57457400475207	4.5	ENC_21460	BN373_11831	ERS227112_03043	ROD_05961	SL1344_0576	SL3261_0576	STMMW_06531	STM_MW06531	SEN0557	t2280	EC958_0706	NCTC13441_03409	BW25113_0586	b0586
yhdP	hypothetical protein	2.82723504620919	2.5538371839484	2.19888041296762	2.40927545800469	2.48931408613296	2.57993591998774	2.3367569959468	2.36552498753897	2.10715952485957	2.15744434458054	2.51877303076876	2.1810089392368	2.54609539518058	4.5	ENC_417added	BN373_42951	ERS227112_00952	ROD_45701	SL1344_3341	SL3261_3341	STMMW_33671	STM_MW33671	SEN3202	t3284	EC958_3637	NCTC13441_00454	BW25113_4472	b4472
ftsK	DNA translocase FtsK	0.959608134851481	1.29204043983777	-0.169952768633821	0.849592959096961	1.19558378198012	0.551358016489962	1.07251581821497	0.234826398907416	0.917021983199297	0.385150763544322	1.77397948381196	0.927977063172321	1.96727788928348	-4.5	ENC_206added	BN373_15381	ERS227112_03409	ROD_09541	SL1344_0898	SL3261_0898	STMMW_09721	STM_MW09721	SEN0864	t1974	EC958_1002	NCTC13441_03103	BW25113_0890	b0890
acrB	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family	2.47123237224517	2.57207222821114	-4.5	2.24915018294953	1.61491891612253	2.51606520361216	2.063136182669	1.54036729656146	2.00079827414185	2.16390713064259	1.37225194113219	2.07002176488255	2.60421140863316	4.5	ENC_22660	BN373_09311	ERS227112_02796	ROD_05171	SL1344_0468	SL3261_0468	STMMW_05451	STM_MW05451	SEN0456	t2385	EC958_0601	NCTC13441_03516	BW25113_0462	b0462
