Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoCS17 NPEQ	EsCoH10407 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoCS17 locus tag	EsCoH10407 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
ftsK	DNA translocase at septal ring sorting daughter chromsomes	0.959608134851481	1.29204043983777	-0.169952768633821	0.849592959096961	1.19558378198012	0.551358016489962	1.07251581821497	0.234826398907416	0.917021983199297	0.385150763544322	1.77397948381196	0.927977063172321	1.83935844301223	0.751808705811805	1.96727788928348	-4.5	ENC_206added	BN373_15381	ERS227112_03409	ROD_09541	SL1344_0898	SL3261_0898	STMMW_09721	STM_MW09721	SEN0864	t1974	EC958_1002	NCTC13441_03103	CS17_00952	ETEC_0958	BW25113_0890	b0890
acrB	multidrug efflux system protein	2.47123237224517	2.57207222821114	-4.5	2.24915018294953	1.61491891612253	2.51606520361216	2.063136182669	1.54036729656146	2.00079827414185	2.16390713064259	1.37225194113219	2.07002176488255	2.54406096423315	2.3241985892128	2.60421140863316	4.5	ENC_22660	BN373_09311	ERS227112_02796	ROD_05171	SL1344_0468	SL3261_0468	STMMW_05451	STM_MW05451	SEN0456	t2385	EC958_0601	NCTC13441_03516	CS17_00494	ETEC_0514	BW25113_0462	b0462
sucA	2-oxoglutarate decarboxylase, thiamine triphosphate-binding	0.0405202214238669	1.3347492219307	0.880001465880299	1.33398506886711	1.90945575893962	1.3778558486982	1.02707091322692	0.653836857650318	1.34724896303383	-1.36190478407491	0.988178053407587	0.821286278805519	0.190978932700534	-0.877863737587925	0.727810564448176	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	CS17_00724	ETEC_0736	BW25113_0726	b0726
aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	1.2696037409021	2.04379832636449	0.252180631437351	1.5864429926532	0.110527516961495	0.932791378475484	0.953511420478354	-0.313692291992944	0.774685979726556	-1.60506845440978	0.876710288896715	-0.322056879055905	1.93908181047223	0.879990088291299	1.60599417990465	4.5	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	b0114
secA	preprotein translocase subunit, ATPase	-4.5	-2.35048514828436	-4.5	-1.66436241981693	-3.32463995095109	-3.24804542732391	-1.76882211399804	-2.29100766847369	-0.907507363481211	-3.0658097502768	-3.42511241559764	-2.3008947868679	X	-2.02952687211159	-4.5	-4.5	ENC_46100	BN373_05911	ERS227112_02438A	ROD_01041	SL1344_0136	SL3261_0136	STMMW_01421	STM_MW01421	SEN0137	t0140	EC958_0239	NCTC13441_15added	X	ETEC_0096	BW25113_0098	b0098
acnB	aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase	2.6081987806114	1.98769382336673	-0.176944006956929	1.93753381447079	2.23720754423673	2.04120189104166	1.93289879630874	0.948735842206711	1.53087159116819	0.36018977319122	1.09165106496073	1.30664942337634	2.50201977956753	1.24174968681856	1.99789600159501	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	CS17_00128	ETEC_0114	BW25113_0118	b0118
polA	5' to 3' DNA polymerase and 3' to 5'/5' to 3' exonuclease	-1.9714971958707	1.51660483727589	-4.5	1.48185801852183	0.191174094730682	1.08359437151678	-1.26222440562338	-0.83984173615512	-1.42056525625759	-2.48518005052338	1.0619313130909	0.467979272679753	-1.8615349641513	-0.0948831440189699	-0.379589763435037	-4.5	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	CS17_04313	ETEC_4133	BW25113_3863	b3863
topA	DNA topoisomerase I, omega subunit	-1.12462431449132	-1.07588302822608	-4.5	-0.0482584830872072	-0.728657524576826	-1.58998764082403	0.36222654811364	-1.39341229066113	-0.804140278164272	0.14122350148259	-2.13983985101626	-4.5	-1.549899387242	-2.83264371897377	-1.76991910511494	-4.5	ENC_08330	BN373_18951	ERS227112_05459	ROD_17291	SL1344_1646	SL3261_1646	STMMW_17101	STM_MW17101	SEN1319	t1627	EC958_1604	NCTC13441_02492	CS17_01456	ETEC_1376	BW25113_1274	b1274
infB	translation initiation factor IF-2	-1.34009376353535	-0.984476771532349	-1.08206331974264	-0.88764893398203	-0.111452398713749	-1.04500799001061	-0.743948647853494	-1.07259104985468	-0.572628238217452	-1.6474919076877	-0.887747693246981	-0.592797968154365	0.285300655304899	-0.896439873420776	-0.767008627612665	-4.5	ENC_34060	BN373_42281	ERS227112_01024	ROD_46641	SL1344_3259	SL3261_3259	STMMW_32861	STM_MW32861	SEN3121	t3204	EC958_3570	NCTC13441_00526	CS17_03608	ETEC_3435	BW25113_3168	b3168
rne	endoribonuclease; RNA-binding protein;RNA degradosome binding protein	1.3201630753896	0.847063662092076	0.510044309319322	0.931074816507649	0.741133093327233	0.363872880829786	0.835418682108726	0.105259090493993	-0.59535732964009	-0.0992997843427189	1.01266188183508	0.570068480158596	1.52102090415153	0.736634306799872	0.704607074293308	-4.5	ENC_183added	BN373_16971	ERS227112_03560	ROD_11461	SL1344_1122	SL3261_1122	STMMW_11931	STM_MW11931	SEN1863	t1734	EC958_1279	NCTC13441_02828	CS17_01222	ETEC_1149	BW25113_1084	b1084
lon	DNA-binding ATP-dependent protease La	2.06496592811897	2.39779395704871	1.9087079951866	2.06424888628334	1.50759251047995	2.24053360170362	1.91280874096696	0.803514575880009	1.78943164577723	-0.370141838626036	2.36616927629841	1.67218633762832	2.29036122426642	1.9481767782316	1.59418222899956	4.5	ENC_23050	BN373_08901	ERS227112_02753	ROD_04941	SL1344_0444	SL3261_0444	STMMW_05211	STM_MW05211	SEN0432	t2410	EC958_0578	NCTC13441_03539	CS17_00471	ETEC_0492	BW25113_0439	b0439
nrdA	ribonucleoside-diphosphate reductase 1, alpha subunit	X	-4.5	-4.5	0.736597797124683	-2.00240392793525	2.00524886543061	-1.1873406087569	-4.5	-0.828687165541365	-4.5	-2.09422775742356	-2.27318228894803	-2.55097466673553	-4.5	-1.95823711590802	-4.5	X	BN373_32531	ERS227112_03937	ROD_23551	SL1344_2246	SL3261_2246	STMMW_23011	STM_MW23011	SEN2259	t0587	EC958_2571	NCTC13441_01474	CS17_02484	ETEC_2367	BW25113_2234	b2234
lptD	LPS assembly OM complex LptDE, beta-barrel component	X	-0.888836942773674	-2.80132318761602	-2.68085925334129	-3.22897162111159	-3.16818949228338	-1.11761464046648	-2.21607426405979	-0.964379344276064	-4.5	-3.34819588782274	-4.5	-1.62417646859169	-2.48244572331576	-2.26582609817791	-4.5	X	BN373_05381	ERS227112_02387	ROD_00611	SL1344_0094	SL3261_0094	STMMW_00981	STM_MW00981	SEN0095	t0096	EC958_0190	NCTC13441_03934	CS17_00055	ETEC_0054	BW25113_0054	b0054
pnp	polynucleotide phosphorylase/polyadenylase	2.6256655635781	2.37976488033979	1.86351063767945	2.18462217783557	2.05563378435157	1.98433049975528	2.07472010622577	1.5707947603683	1.90393572892655	2.09080566376107	1.94828271210367	1.59306313325108	2.11753600722568	1.9503405653993	-1.39944678625613	4.5	ENC_414added	BN373_42241	ERS227112_01029	ROD_46681	SL1344_3255	SL3261_3255	STMMW_32821	STM_MW32821	SEN3117	t3200	EC958_3566	NCTC13441_00531	CS17_03603	ETEC_3431	BW25113_3164	b3164
spoT	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	1.77281360364113	1.53616855907392	-0.463842362151124	0.727409888185327	1.22712697340142	1.44322259323472	0.7756508512794	1.06107318231602	1.01710600674002	-0.0631312181376593	1.30868959976969	0.63636739581005	1.79601467884296	1.54738013043208	0.946446492993259	-4.5	ENC_26added	BN373_46401	ERS227112_00581	ROD_41661	SL1344_3708	SL3261_3708	STMMW_37311	STM_MW37311	SEN3564	t3776	EC958_4057	NCTC13441_00034	CS17_04098	ETEC_3891	BW25113_3650	b3650
priA	Primosome factor n' (replication factor Y)	-3.14185513460634	-2.50845039115811	-3.22809023649999	-2.14396993985956	-1.84994363056222	-0.891762052011686	-1.44549518000782	-4.5	-2.68654490915664	-3.01968410600352	-2.39320512780578	-2.94734988165901	-2.52560649455757	-2.18197123378486	0.305187043789972	4.5	ENC_00980	BN373_48631	ERS227112_00352	ROD_38111	SL1344_4044	SL3261_4044	STMMW_40601	STM_MW40601	SEN3885	t3523	EC958_4420	NCTC13441_04565	CS17_04391	ETEC_4204	BW25113_3935	b3935
metG	methionyl-tRNA synthetase	-1.9541902001267	-1.71180486972428	-1.83650597833695	-2.22536404838908	-4.5	-4.5	-2.44132955704292	-4.5	-0.836265210863399	-4.5	-2.74335019619002	-2.29468277493575	0.529522285119447	-1.34548899620487	-0.819250538906612	-4.5	ENC_40450	BN373_31631	ERS227112_04019	ROD_22361	SL1344_2132	SL3261_2132	STMMW_21861	STM_MW21861	SEN2148	t0701	EC958_2449	NCTC13441_01596	CS17_02359	ETEC_2252	BW25113_2114	b2114
