Gene	Product	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag	EsCoMG1655 position
gltB	glutamate synthase (NADPH), large subunit	1.38041169311384	0.771798500694727	0.746667778769342	1.75927799543929	1.41607603266992	1.32160049654333	0.968243880015678	0.960847839101249	0.99927463506136	1.0992947106083	0.880174478205458	0.811333224312554	7	BN373_42741	ERS227112_00973	ROD_46051	SL1344_3302	SL3261_3302	STMMW_33291	STM_MW33291	SEN3163	t3247	EC958_3612	NCTC13441_00479	BW25113_3212	b3212	3354725
rpoC	DNA-directed RNA polymerase, beta' subunit	0.0252847915319894	0	0.0432128783197756	0.00165021127642542	0.00931677423753747	0.0159962860580468	0	0.0373453236199511	0.021085173051245	0.0176674157304631	0.00239379126683526	0.00381139720397292	0	BN373_49811	ERS227112_01836	ROD_37641	SL1344_4093	SL3261_4093	STMMW_41071	STM_MW41071	SEN3938	t3473	EC958_5099	NCTC13441_04507	BW25113_3988	b3988	4185350
mukB	chromosome partition protein MukB	0.0174670881889274	0	0.00839747142081667	0.00230618841633101	0	0.0161640605220894	0	0.0126419491412264	0.00634243776505106	0.00562520147149668	0	0	0	BN373_15671	ERS227112_03439	ROD_09921	SL1344_0931	SL3261_0931	STMMW_10051	STM_MW10051	SEN0898	t1940	EC958_1135	NCTC13441_02965	BW25113_0924	b0924	976326
yfhM	alpha-2-macroglobulin domain protein	0.98859872602275	0.551471200377699	1.02271885027859	1.11988045297957	0.891812281637824	0.863420981452776	0.77935553984861	0.752637556389871	0.570413703654	1.17370805402634	0.949994812758425	0.740577988884702	7	BN373_35071	ERS227112_00065	ROD_24641	SL1344_2494	SL3261_2494	STMMW_25491	STM_MW25491	SEN2512	t0324	EC958_2830	NCTC13441_01216	BW25113_2520	b2520	2647326
rpoB	DNA-directed RNA polymerase, beta subunit	0.00882035151259453	0.00680431160218962	0.0382824538873586	0.0172486860048641	0.00649002488121234	0.0229830592579729	0.00795779134321266	0.03537883818556	0.0027451616886361	0.00333127098053803	0.00251562499457499	0	0	BN373_49801	ERS227112_01835	ROD_37651	SL1344_4092	SL3261_4092	STMMW_41061	STM_MW41061	SEN3937	t3474	EC958_5098	NCTC13441_04508	BW25113_3987	b3987	4181245
narG	nitrate reductase 1, alpha subunit	0.879938021877275	0.55833136722138	1.04299543182007	1.10878552378336	0.81196914993255	1.11849796032455	0.474033664729992	0.55989641904617	0.457373390131621	0.99268304960092	0.581323015962474	0.771735644375772	7	BN373_28081	ERS227112_04454	ROD_17821	SL1344_1692	SL3261_1692	STMMW_17561	STM_MW17561	SEN1275	t1673	EC958_1494	NCTC13441_02615	BW25113_1224	b1224	1279864
hrpA	ATP-dependent helicase HrpA	0.861997930672463	0.506697928512967	0.78342807453696	0.619774946472439	0.819586945653299	0.772541131819179	0.310225021945148	0.522415248885569	0.374761603577223	0.399116908777967	0.486210444712944	0.378608487233959	7	BN373_20391	ERS227112_05201	ROD_16271	SL1344_1571	SL3261_1571	STMMW_16361	STM_MW16361	SEN1411	t1544	EC958_1692	NCTC13441_02402	BW25113_1413	b1413	1483061
purL	phosphoribosylformylglycinamidine synthase	1.05561728616116	0.452499354992577	1.17592477185067	1.16261061585524	0.908034993250908	0.974051515040749	0.601087529220336	0.7093907354472	0.550001981490148	1.0631514062622	0.977627699796059	0.382703076466626	7	BN373_35401	ERS227112_00031	ROD_25001	SL1344_2527	SL3261_2527	STMMW_25821	STM_MW25821	SEN2545	t0291	EC958_2863	NCTC13441_01182	BW25113_2557	b2557	2691656
putA	bifunctional protein PutA	1.13255148773593	0.757090358169944	0.629950688376782	1.22642860630777	0.965863174172594	0.854094401256117	0.692613283421523	0.595063550553345	0.505115994827488	1.04998321994833	0.846659442646561	0.83471021527383	7	BN373_16561	ERS227112_03519	ROD_10681	SL1344_1062	SL3261_1062	STMMW_11331	STM_MW11331	SEN0986A	t1797	EC958_1211	NCTC13441_02891	BW25113_1014	b1014	1074920
narZ	nitrate reductase 2, alpha subunit	1.07857893306505	0.464349088998836	0.781787109145371	1.23827573336699	0.807616504836634	0.986049977779002	0.813899755251834	0.694772854558626	0.3520994068042	0.804031497402639	0.705775298042	0.62338088307513	7	BN373_24611	ERS227112_04796	ROD_15691	SL1344_1508	SL3261_1508	STMMW_15721	STM_MW15721	SEN1478	t1488	EC958_1735	NCTC13441_02359	BW25113_1468	b1468	1538850
