Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoCS17 NPEQ	EsCoH10407 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoCS17 locus tag	EsCoH10407 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
accB	acetyl CoA carboxylase, BCCP subunit	1.9380950869	2.4070194777	2.4737693657	2.8458505643	2.2942352822	2.7877725635	3.0350215571	X	2.7663881031	1.5968774951	2.8252434603	2.3626669678	2.2117656875	2.0912365795	1.4152400945	7	ENC_35030	BN373_43051	ERS227112_00942	ROD_45591	SL1344_3352	SL3261_3352	STMMW_33771	X	SEN3213	t3294	EC958_3647	NCTC13441_00446	CS17_03690	ETEC_3514	BW25113_3255	b3255
acrA	multidrug efflux system	X	-0.2971441311	3.1990452153	-0.7415050499	0.4690205698	-0.7887973438	-0.6266375313	-0.2769239371	-0.6298231669	-0.7802547544	0.3413704313	-0.5976776761	-1.1628969903	-0.6794994159	-0.7808758111	0	X	BN373_09321	ERS227112_02797	ROD_05181	SL1344_0469	SL3261_0469	STMMW_05461	STM_MW05461	SEN0457	t2384	EC958_0602	NCTC13441_03515	CS17_00495	ETEC_0515	BW25113_0463	b0463
alsK	D-allose kinase	-0.1178842994	X	X	-0.4387407205	X	X	X	X	X	X	-0.5920222711	-0.2297413394	X	-0.2986006707	-0.1329973016	7	ENC_05180	X	X	ROD_34691	X	X	X	X	X	X	EC958_4565	NCTC13441_04379	X	ETEC_4394	BW25113_4084	b4084
apl	phage regulatory protein	X	X	X	X	0.9968404759	0.6704682696	X	X	X	1.6663981534	X	X	X	X	X	X	X	X	X	X	SL1344_2707	SL3261_2707	X	X	X	t4336	X	X	X	X	X	X
bhsA	biofilm, cell surface and signaling protein	X	-0.3431662341	0.0852420665	-0.0638329812	-0.634408115	0.12419329	-0.1064200394	-0.6193435165	0.30934328	0.3232954738	0.8022797805	0.9705587333	0.6350066652	1.7209252886	1.7877109123	0	X	BN373_17241	ERS227112_03588	ROD_11761	SL1344_1151	SL3261_1151	STMMW_12231	STM_MW12231	SEN1835	t1706	EC958_1309	NCTC13441_02800	CS17_01250	ETEC_1177	BW25113_1112	b1112
casD	CRISP RNA (crRNA) containing Cascade antiviral complex protein	X	X	X	1.6534210171	-0.5756934899	-0.327889652	-0.5149305726	-1.0700920591	-0.1836535011	-0.307537029	X	X	-0.2576062492	-0.7884242536	-1.2093729241	0	X	X	X	ROD_30491	SL1344_2919	SL3261_2919	STMMW_29031	STM_MW29031	SEN2779	t2841	X	X	CS17_03082	ETEC_2948	BW25113_2757	b2757
casE	CRISPR RNA precursor cleavage enzyme; CRISP RNA (crRNA) containing Cascade antiviral complex protein	X	X	X	1.8794127394	-0.3591990771	-0.3145041452	-0.4627651863	-0.8969632277	-0.2450201593	0.6057830894	X	X	-0.0084624146	-0.1818246703	-0.4076427812	0	X	X	X	ROD_30501	SL1344_2918	SL3261_2918	STMMW_29021	STM_MW29021	SEN2778	t2840	X	X	CS17_03081	ETEC_2947	BW25113_2756	b2756
chpS	antitoxin of the ChpBS toxin-antitoxin system	X	X	X	-0.5403204813	X	X	X	X	X	X	-0.7915044234	-0.9242037255	-0.9161801452	X	-0.7133809561	7	X	X	X	ROD_32841	X	X	X	X	X	X	EC958_4718	NCTC13441_04222	CS17_04711	X	BW25113_4224	b4224
cI	helix-turn-helix domain-containing protein	X	X	X	2.3651120939	X	X	X	X	X	X	1.5994535758	1.9405917737	1.3434744268	X	X	X	X	X	X	ROD_36981	X	X	X	X	X	X	EC958_4871	NCTC13441_03048	CS17_02569	X	X	X
citX	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,2'-(5''-triphosphoribosyl)-3'-dephospho-CoA:apo-citrate lyase,Phosphoribosyl-dephospho-CoA transferase (holo-ACP synthetase),holo-ACP synthase CitX,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	X	X	X	-0.3118537985	-0.4096209796	-0.450627074	-0.4688752191	-0.1380638422	-0.2957683794	-0.4447877002	-0.1660627389	-0.2188340161	-0.0858116762	0.0242089491	2.131086042	0	X	X	X	ROD_06291	SL1344_0608	SL3261_0608	STMMW_06851	STM_MW06851	SEN0589	t2247	EC958_0733	NCTC13441_03380	CS17_00621	ETEC_0643	BW25113_0614	b0614
