Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag	ENC_no	BN373_no	ERS227112_no	ROD_no	SL1344_no	SL3261_no	STMMW_no	STM_no	SEN_no	t_no	EC958_no	NCTC13441_no	BW25113_no	b_no	ENC_in	BN373_in	ERS227112_in	ROD_in	SL1344_in	SL3261_in	STMMW_in	STM_in	SEN_no	t_in	EC958_in	NCTC13441_in	BW25113_in	b_in
ftsK	DNA translocase FtsK	0.959608134851481	1.29204043983777	-0.169952768633821	0.849592959096961	1.19558378198012	0.551358016489962	1.07251581821497	0.234826398907416	0.917021983199297	0.385150763544322	1.77397948381196	0.927977063172321	1.96727788928348	-4.5	ENC_206added	BN373_15381	ERS227112_03409	ROD_09541	SL1344_0898	SL3261_0898	STMMW_09721	STM_MW09721	SEN0864	t1974	EC958_1002	NCTC13441_03103	BW25113_0890	b0890	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
acrB	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family	2.47123237224517	2.57207222821114	-4.5	2.24915018294953	1.61491891612253	2.51606520361216	2.063136182669	1.54036729656146	2.00079827414185	2.16390713064259	1.37225194113219	2.07002176488255	2.60421140863316	4.5	ENC_22660	BN373_09311	ERS227112_02796	ROD_05171	SL1344_0468	SL3261_0468	STMMW_05451	STM_MW05451	SEN0456	t2385	EC958_0601	NCTC13441_03516	BW25113_0462	b0462	5	12	12	5	6	6	6	6	6	4	8	8	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sucA	2-oxoglutarate dehydrogenase E1 component	0.0405202214238669	1.3347492219307	0.880001465880299	1.33398506886711	1.90945575893962	1.3778558486982	1.02707091322692	0.653836857650318	1.34724896303383	-1.36190478407491	0.988178053407587	0.821286278805519	0.727810564448176	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	BW25113_0726	b0726	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aceE	pyruvate dehydrogenase E1 component, homodimeric type	1.2696037409021	2.04379832636449	0.252180631437351	1.5864429926532	0.110527516961495	0.932791378475484	0.953511420478354	-0.313692291992944	0.774685979726556	-1.60506845440978	0.876710288896715	-0.322056879055905	1.60599417990465	4.5	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	BW25113_0114	b0114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
acnB	aconitase	2.6081987806114	1.98769382336673	-0.176944006956929	1.93753381447079	2.23720754423673	2.04120189104166	1.93289879630874	0.948735842206711	1.53087159116819	0.36018977319122	1.09165106496073	1.30664942337634	1.99789600159501	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
polA	DNA polymerase I	-1.9714971958707	1.51660483727589	-4.5	1.48185801852183	0.191174094730682	1.08359437151678	-1.26222440562338	-0.83984173615512	-1.42056525625759	-2.48518005052338	1.0619313130909	0.467979272679753	-0.379589763435037	-4.5	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	BW25113_3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
topA	DNA topoisomerase I	-1.12462431449132	-1.07588302822608	-4.5	-0.0482584830872072	-0.728657524576826	-1.58998764082403	0.36222654811364	-1.39341229066113	-0.804140278164272	0.14122350148259	-2.13983985101626	-4.5	-1.76991910511494	-4.5	ENC_08330	BN373_18951	ERS227112_05459	ROD_17291	SL1344_1646	SL3261_1646	STMMW_17101	STM_MW17101	SEN1319	t1627	EC958_1604	NCTC13441_02492	BW25113_1274	b1274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rne	Ribonuclease E	1.3201630753896	0.847063662092076	0.510044309319322	0.931074816507649	0.741133093327233	0.363872880829786	0.835418682108726	0.105259090493993	-0.59535732964009	-0.0992997843427189	1.01266188183508	0.570068480158596	0.704607074293308	-4.5	ENC_183added	BN373_16971	ERS227112_03560	ROD_11461	SL1344_1122	SL3261_1122	STMMW_11931	STM_MW11931	SEN1863	t1734	EC958_1279	NCTC13441_02828	BW25113_1084	b1084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lon	ATP-dependent proteinase. Serine peptidase. MEROPS family S16	2.06496592811897	2.39779395704871	1.9087079951866	2.06424888628334	1.50759251047995	2.24053360170362	1.91280874096696	0.803514575880009	1.78943164577723	-0.370141838626036	2.36616927629841	1.67218633762832	1.59418222899956	4.5	ENC_23050	BN373_08901	ERS227112_02753	ROD_04941	SL1344_0444	SL3261_0444	STMMW_05211	STM_MW05211	SEN0432	t2410	EC958_0578	NCTC13441_03539	BW25113_0439	b0439	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nrdA	ribonucleoside-diphosphate reductase, alpha subunit	X	-4.5	-4.5	0.736597797124683	-2.00240392793525	2.00524886543061	-1.1873406087569	-4.5	-0.828687165541365	-4.5	-2.09422775742356	-2.27318228894803	-1.95823711590802	-4.5	X	BN373_32531	ERS227112_03937	ROD_23551	SL1344_2246	SL3261_2246	STMMW_23011	STM_MW23011	SEN2259	t0587	EC958_2571	NCTC13441_01474	BW25113_2234	b2234	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
