"gene_id"	"path_id"	"path_name"
"b0755"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b1676"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b1723"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b1779"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b1854"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b2097"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b2388"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b2779"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b2925"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b2926"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b3612"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b3916"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b3919"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b4025"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b4395"	"md:eco_M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"b0755"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b1676"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b1779"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b1854"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b2779"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b2926"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b3612"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b3919"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b4395"	"md:eco_M00002"	"Glycolysis, core module involving three-carbon compounds"
"b0755"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b1779"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b2097"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b2779"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b2925"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b2926"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b3403"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b3612"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b3919"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b3925"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b4232"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b4395"	"md:eco_M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"
"b0008"	"md:eco_M00004"	"Pentose phosphate pathway (Pentose phosphate cycle)"
"b0767"	"md:eco_M00004"	"Pentose phosphate pathway (Pentose phosphate cycle)"
