ID	name	function	coord	length	NPEQ	essentiality
ENC_1added	polA	DNA polymerase I	4559-7351	2793	4.39028646405017	essential
ENC_2added	engB	putative GTP-binding protein EngB	7664-8293	630	2.01240275810227	essential
ENC_3added	ntrC	Nitrogen assimilation regulatory protein	11272-12684	1413	-0.0940772773613266	non-essential
ENC_4added	typA	GTP-binding protein TypA/BipA	15700-17523	1824	-0.981838275976614	non-essential
ENC_5added		formate dehydrogenase accessory protein	38920-39756	837	-0.646821278322503	non-essential
ENC_6added	rhaR_1	HTH-type transcriptional activator RhaR	62415-63263	849	-0.495450632130771	non-essential
ENC_7added		6-N-hydroxylaminopurine resistance protein	65600-65956	357	-0.865260692834514	non-essential
ENC_8added	cdh	CDP-diacylglycerol pyrophosphatase	72244-72987	744	-0.636441486298173	non-essential
ENC_9added	hslV	ATP-dependent protease subunit HslV	85070-85600	531	-0.864050417033028	non-essential
ENC_10added	btuB	Vitamin B12 transporter BtuB precursor	113863-114624	762	-1.2292058729553	non-essential
ENC_11added	murI	Glutamate racemase	114569-115420	852	2.0240997127031	essential
ENC_12added		hypothetical protein	124818-125510	693	-0.953822968365155	non-essential
ENC_13added	rpoC	DNA-directed RNA polymerase subunit beta'	138111-142334	4224	6.60500568379362	essential
ENC_14added	tatB	Sec-independent protein translocase protein TatB	182741-183283	543	-1.21008840891327	non-essential
ENC_15added	rmuC	DNA recombination protein RmuC	186696-188153	1458	-0.911254495748775	non-essential
ENC_16added	recQ	ATP-dependent DNA helicase RecQ	197603-199495	1893	-0.767059904058146	non-essential
ENC_17added		EamA-like transporter family protein	201591-202340	750	-0.644076914280424	non-essential
ENC_18added	cyaA	Adenylate cyclase	210002-212545	2544	0.649339920883744	non-essential
ENC_19added	wzzE	Lipopolysaccharide biosynthesis protein WzzE	228346-229392	1047	-0.960755658770034	non-essential
ENC_20added	wecA	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	229406-230509	1104	-0.689135379277989	non-essential
ENC_21added	envC	Murein hydrolase activator EnvC precursor	242994-244277	1284	-0.571926728648209	non-essential
ENC_22added		Divergent polysaccharide deacetylase	244281-245213	933	-0.573206135701105	non-essential
ENC_23added	kanE	Alpha-D-kanosaminyltransferase	246607-247647	1041	-0.95132947028524	non-essential
ENC_24added		lipopolysaccharide core biosynthesis protein	255036-255434	399	-1.08736768223264	non-essential
ENC_25added	waaA	3-deoxy-D-manno-octulosonic acid transferase	263546-264820	1275	4.07345227801969	essential
ENC_26added	spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	285445-287559	2115	1.10248321397267	non-essential
ENC_27added		Phage polarity suppression protein (Psu)	302511-303074	564	-0.211315272675079	non-essential
ENC_28added		dUTPase	309037-309864	828	0.0791194665959179	non-essential
ENC_29added	cdhR_1	HTH-type transcriptional regulator CdhR	314200-315189	990	-1.1424832820255	non-essential
ENC_30added	elfD	putative fimbrial chaperone protein ElfD precursor	319174-319851	678	-0.0422863214670045	non-essential
ENC_31added	cvaA	Colicin V secretion protein CvaA	329885-331135	1251	-0.251992988159755	non-essential
ENC_32added	nlpA	Lipoprotein 28 precursor	350154-350954	801	-0.187646010489357	non-essential
ENC_33added	mexA	Multidrug resistance protein MexA precursor	355384-356175	792	0.193675443288547	non-essential
ENC_34added	rnpA	Ribonuclease P protein component	415382-415708	327	2.30391807405438	essential
ENC_35added	yieH	6-phosphogluconate phosphatase	424303-424968	666	-0.678460216509925	non-essential
ENC_36added	phoU	Phosphate-specific transport system accessory protein PhoU	425013-425471	459	0.672145125886641	non-essential
ENC_37added	rsmG	Ribosomal RNA small subunit methyltransferase G	446732-447355	624	-0.961081052702234	non-essential
ENC_38added	metH	Methionine synthase	471751-475434	3684	-0.069743578428459	non-essential
ENC_39added		Cupin domain protein	506566-507054	489	-0.595829069222533	non-essential
ENC_40added		hypothetical protein	507223-508533	1311	-0.631029808902592	non-essential
ENC_41added	tyrB	Aromatic-amino-acid aminotransferase	513837-515030	1194	-0.121607631752052	non-essential
ENC_42added	gmr_1	Cyclic di-GMP phosphodiesterase Gmr	522101-523231	1131	-1.17736951507402	non-essential
ENC_43added	fdhF_2	Formate dehydrogenase H	541783-542202	420	-0.239101341235715	non-essential
ENC_44added	rbsB_2	D-ribose-binding periplasmic protein precursor	546239-547180	942	0.397242269015555	non-essential
ENC_45added	uvrY	Response regulator UvrY	592516-593172	657	-0.519288371500152	non-essential
ENC_46added	uvrC	UvrABC system protein C	593169-595001	1833	0.155071245604781	non-essential
ENC_47added	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	595058-595606	549	2.67812708742338	essential
ENC_48added	tar_1	Methyl-accepting chemotaxis protein II	638399-639721	1323	0.446025191669307	non-essential
ENC_49added	argS	Arginine--tRNA ligase	651220-652953	1734	4.63037566796786	essential
ENC_50added	cutC	Copper homeostasis protein CutC	653831-654574	744	0.151564566193688	non-essential
ENC_51added		hypothetical protein	658659-659225	567	2.6221380309232	essential
ENC_52added	aspS	Aspartate--tRNA ligase	659902-660723	822	3.1900093498248	essential
ENC_53added	ruvB	Holliday junction ATP-dependent DNA helicase RuvB	663966-664742	777	1.06881670795254	non-essential
ENC_54added	pqiB_1	Paraquat-inducible protein B	688463-689923	1461	0.140284565639113	non-essential
ENC_55added	ftsI_1	Peptidoglycan synthase FtsI precursor	702230-703975	1746	0.0943688337723116	non-essential
ENC_56added	corC_1	Magnesium and cobalt efflux protein CorC	710139-711320	1182	0.379616310982101	non-essential
ENC_57added	dinG_1	putative ATP-dependent helicase DinG	717931-719301	1371	0.541472038517871	non-essential
ENC_58added	fadD	Long-chain-fatty-acid--CoA ligase	720853-722571	1719	0.286749342299304	non-essential
ENC_59added	nhaB	Na(+)/H(+) antiporter NhaB	728330-729868	1539	0.355220557602915	non-essential
ENC_60added	treA_1	Periplasmic trehalase precursor	742123-743805	1683	0.238101409844357	non-essential
ENC_61added		hypothetical protein	758453-758788	336	0.220732274323991	non-essential
ENC_62added		hypothetical protein	765065-766051	987	0.489012917295904	non-essential
ENC_63added		hypothetical protein	775519-776556	1038	-0.0690698961393729	non-essential
ENC_64added		hypothetical protein	782133-782789	657	0.360357450406272	non-essential
ENC_65added		hypothetical protein	782841-783185	345	0.432834199727068	non-essential
ENC_66added	pth	Peptidyl-tRNA hydrolase	788357-788941	585	2.46970023303412	essential
ENC_67added	nolA	Nodulation protein NolA	790200-791258	1059	0.357784292183566	non-essential
ENC_68added	dauA	C4-dicarboxylic acid transporter DauA	791244-792923	1680	0.292057710384822	non-essential
ENC_69added	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	794121-794555	435	2.26064718676146	essential
ENC_70added		hypothetical protein	797386-797712	327	2.19862956015855	essential
ENC_71added	prfA	Peptide chain release factor 1	798566-798889	324	2.13466901870988	essential
ENC_72added		Invasin	818395-819813	1419	0.509542934482504	non-essential
ENC_73added		hypothetical protein	842564-843211	648	-0.300315115261367	non-essential
ENC_74added	oppA_1	Periplasmic oligopeptide-binding protein precursor	844344-845975	1632	0.187640407544266	non-essential
ENC_75added		hypothetical protein	849053-849409	357	0.217995529923781	non-essential
ENC_76added	kcsA	pH-gated potassium channel KcsA	850292-851128	837	-0.670410299798415	non-essential
ENC_77added	leuE	Leucine efflux protein	854032-854667	636	-0.0441755276689128	non-essential
ENC_78added	pfeA_1	Ferric enterobactin receptor precursor	856480-858240	1761	-0.0433930103543381	non-essential
ENC_79added		Flagellin N-methylase	860417-860821	405	-0.187688056808234	non-essential
ENC_80added		hypothetical protein	865789-866124	336	0.557181046372831	non-essential
ENC_81added	sohB	putative protease SohB	875049-876095	1047	-0.215279726027753	non-essential
ENC_82added		hypothetical protein	881723-882133	411	-0.13729291367084	non-essential
ENC_83added		hypothetical protein	882470-882844	375	-0.0289489465112978	non-essential
ENC_84added		hypothetical protein	886492-887208	717	2.33940409951985	essential
ENC_85added		hypothetical protein	887449-887775	327	1.89380140366143	essential
ENC_86added	rnb	Exoribonuclease 2	894922-895758	837	0.0757448383779922	non-essential
ENC_87added		hypothetical protein	896652-897035	384	0.487692339642547	non-essential
ENC_88added	ams	Amylosucrase	912715-913902	1188	0.264868206948886	non-essential
ENC_89added	ompG	Outer membrane protein G precursor	923987-924901	915	-0.133217130266406	non-essential
ENC_90added	mppA	Periplasmic murein peptide-binding protein precursor	933760-934662	903	-0.399805653131514	non-essential
ENC_91added		Intracellular multiplication and human macrophage-killing	955225-957564	2340	-0.275656579871019	non-essential
ENC_92added		hypothetical protein	963396-963755	360	-0.333595320530165	non-essential
ENC_93added		ImpA domain protein	964176-964676	501	-0.418925029903111	non-essential
ENC_94added	tap_2	Methyl-accepting chemotaxis protein IV	965724-966620	897	-0.907288872678082	non-essential
ENC_95added	zntB	Zinc transport protein ZntB	967938-968267	330	-0.0904901192564372	non-essential
ENC_96added	nifJ_1	Pyruvate-flavodoxin oxidoreductase	973979-976645	2667	-0.0514295482321153	non-essential
ENC_97added		hypothetical protein	992144-992593	450	0.27600103526114	non-essential
ENC_98added	curA_2	NADPH-dependent curcumin reductase	998444-999016	573	-0.075402663654193	non-essential
ENC_99added		topology modulation protein	1006881-1007420	540	0.0670308094943859	non-essential
ENC_100added		hypothetical protein	1015184-1015501	318	-0.289112543714386	non-essential
ENC_101added		hypothetical protein	1026580-1027827	1248	0.0391496377557624	non-essential
ENC_102added		hypothetical protein	1045901-1046221	321	0.122385049912175	non-essential
ENC_103added		hypothetical protein	1046601-1047374	774	0.261376184185881	non-essential
ENC_104added		hypothetical protein	1058614-1058931	318	-0.116244402522633	non-essential
ENC_105added	ycgF_1	Blue light- and temperature-regulated antirepressor YcgF	1064803-1066014	1212	-0.109792290338613	non-essential
ENC_106added	sacX	Negative regulator of SacY activity	1068410-1069600	1191	0.0170439624648911	non-essential
ENC_107added	cra_1	Catabolite repressor/activator	1071035-1071874	840	0.0708156982746747	non-essential
ENC_108added	sigL	ECF RNA polymerase sigma factor SigL	1074307-1074864	558	0.242018022185116	non-essential
ENC_109added		hypothetical protein	1087652-1088431	780	0.151564340483571	non-essential
ENC_110added	treY	Maltooligosyl trehalose synthase	1089148-1090020	873	0.191586426335846	non-essential
ENC_111added	nudK_1	GDP-mannose pyrophosphatase NudK	1104134-1104718	585	0.169704394050719	non-essential
ENC_112added	tam	Trans-aconitate 2-methyltransferase	1104803-1105561	759	0.309664933989916	non-essential
ENC_113added		Acetyltransferase (GNAT) family protein	1110102-1110542	441	-0.0962035541591586	non-essential
ENC_114added	uxaB	Altronate oxidoreductase	1112498-1113949	1452	0.062070163011649	non-essential
ENC_115added	marR	Multiple antibiotic resistance protein MarR	1126396-1126830	435	0.289182663725468	non-essential
ENC_116added	eamA	putative amino-acid metabolite efflux pump	1127518-1128168	651	0.168607646672309	non-essential
ENC_117added	zinT	Metal-binding protein ZinT precursor	1130047-1130685	639	0.336538864361582	non-essential
ENC_118added	cdhR_3	HTH-type transcriptional regulator CdhR	1138870-1139406	537	0.228304190561856	non-essential
ENC_119added	ydcO	Inner membrane protein YdcO	1143056-1144225	1170	0.486831635257646	non-essential
ENC_120added	tetD	Transposon Tn10 TetD protein	1144205-1144657	453	-0.0946460475333216	non-essential
ENC_121added		putative DMT superfamily transporter inner membrane protein	1146203-1146544	342	-0.120656647912112	non-essential
ENC_122added	trg_2	Methyl-accepting chemotaxis protein III	1162788-1163669	882	0.641199232814523	non-essential
ENC_123added		hypothetical protein	1166299-1166610	312	0.734999822751365	non-essential
ENC_124added	cbhB	Exoglucanase B precursor	1174030-1177548	3519	0.266771218195001	non-essential
ENC_125added		hypothetical protein	1178308-1179369	1062	0.231744680553941	non-essential
ENC_126added		hypothetical protein	1179875-1180330	456	0.495622449457849	non-essential
ENC_127added		hypothetical protein	1180472-1181008	537	0.518569730288901	non-essential
ENC_128added		hypothetical protein	1185032-1185535	504	0.441046173845281	non-essential
ENC_129added		hypothetical protein	1185997-1187571	1575	0.499800407194622	non-essential
ENC_130added		hypothetical protein	1188307-1188693	387	0.87951774671588	non-essential
ENC_131added		hypothetical protein	1190197-1190511	315	0.437009940621732	non-essential
ENC_132added	tolC_1	Outer membrane protein TolC precursor	1191059-1191787	729	-0.447397050117204	non-essential
ENC_133added	ydgJ_1	putative oxidoreductase YdgJ	1194410-1195477	1068	0.440124591427917	non-essential
ENC_134added	hrpB_1	ATP-dependent RNA helicase HrpB	1203735-1207355	3621	0.633115296406791	non-essential
ENC_135added		putative DNA-binding transcriptional regulator	1217912-1218547	636	-0.488915340191195	non-essential
ENC_136added	paaG	1,2-epoxyphenylacetyl-CoA isomerase	1224660-1225445	786	0.565708617550476	non-essential
ENC_137added	paaZ	Bifunctional protein PaaZ	1231076-1232509	1434	0.721564803274106	non-essential
ENC_138added		hypothetical protein	1233134-1233787	654	0.3067760972753	non-essential
ENC_139added		SCP-2 sterol transfer family protein	1236102-1236656	555	0.456528603926264	non-essential
ENC_140added	feaB	Phenylacetaldehyde dehydrogenase	1237913-1238425	513	0.576004191831795	non-essential
ENC_141added		hypothetical protein	1239131-1239505	375	0.793877232436763	non-essential
ENC_142added		hypothetical protein	1244672-1245367	696	0.399962089489169	non-essential
ENC_143added		hypothetical protein	1248319-1248798	480	0.669904625952176	non-essential
ENC_144added		hypothetical protein	1249904-1250269	366	0.017040836535248	non-essential
ENC_145added	modB_1	Molybdenum transport system permease protein ModB	1252811-1253557	747	0.49049559041857	non-essential
ENC_146added		lipoprotein	1273305-1274015	711	0.155638874711905	non-essential
ENC_147added	dmsC_1	Anaerobic dimethyl sulfoxide reductase chain C	1278820-1279644	825	0.265971664424533	non-essential
ENC_148added		hypothetical protein	1285468-1286217	750	-0.559143094403944	non-essential
ENC_149added	nagC_1	N-acetylglucosamine repressor	1292378-1293598	1221	0.6758318211979	non-essential
ENC_150added	dinB_1	DNA polymerase IV	1304829-1306094	1266	0.282699628350275	non-essential
ENC_151added	lexA_2	LexA repressor	1315925-1316344	420	-0.383139160255094	non-essential
ENC_152added		hypothetical protein	1318568-1319104	537	0.686077162798245	non-essential
ENC_153added	tar_3	Methyl-accepting chemotaxis protein II	1319609-1319947	339	0.466753789827932	non-essential
ENC_154added	abgT	p-aminobenzoyl-glutamate transport protein	1325322-1326464	1143	0.73917357738955	non-essential
ENC_155added	malI_1	Maltose regulon regulatory protein MalI	1349938-1350681	744	0.640368512594581	non-essential
ENC_156added	ydgJ_2	putative oxidoreductase YdgJ	1355565-1356131	567	0.250488976280222	non-essential
ENC_157added	dtpA	Dipeptide and tripeptide permease A	1365328-1366836	1509	0.170479608959539	non-essential
ENC_158added	ydhC	Inner membrane transport protein YdhC	1391622-1392821	1200	0.179934514740258	non-essential
ENC_159added	metP	Methionine import system permease protein MetP	1408802-1409281	480	-0.208659390567015	non-essential
ENC_160added	metC_1	Cystathionine beta-lyase	1413523-1414428	906	0.0314708521056397	non-essential
ENC_161added		hypothetical protein	1428191-1428493	303	0.295809162277403	non-essential
ENC_162added	sfaS_1	S-fimbrial adhesin protein SfaS precursor	1430721-1431233	513	-0.0523857876169728	non-essential
ENC_163added	fimD_2	Outer membrane usher protein FimD precursor	1432194-1432604	411	0.207336611252258	non-essential
ENC_164added	yicJ_2	Inner membrane symporter YicJ	1445910-1447169	1260	-0.939572239562162	non-essential
ENC_165added		hypothetical protein	1449336-1449983	648	0.219721308822853	non-essential
ENC_166added	ppsR	Phosphoenolpyruvate synthase regulatory protein	1451017-1451850	834	-0.141826371077716	non-essential
ENC_167added	kduD_1	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	1478374-1479135	762	-0.130578884717858	non-essential
ENC_168added	astB	N-succinylarginine dihydrolase	1494995-1495948	954	0.243153412644249	non-essential
ENC_169added		hypothetical protein	1496970-1497458	489	0.69644829615479	non-essential
ENC_170added		hypothetical protein	1497534-1497974	441	0.211557903187895	non-essential
ENC_171added		hypothetical protein	1499978-1500385	408	-0.34908127098237	non-essential
ENC_172added	mipA	MltA-interacting protein precursor	1529710-1530456	747	-0.570750518333676	non-essential
ENC_173added	yeaN	Inner membrane transport protein YeaN	1540665-1541522	858	0.144380962643464	non-essential
ENC_174added	rluE	Ribosomal large subunit pseudouridine synthase E	1549040-1549702	663	-0.24856228684327	non-essential
ENC_175added	hflD	High frequency lysogenization protein HflD	1551356-1551985	630	0.402333652366953	non-essential
ENC_176added	pepT_2	Peptidase T	1558358-1558759	402	-0.202856948432064	non-essential
ENC_177added		hypothetical protein	1559100-1559444	345	-0.176960646357399	non-essential
ENC_178added	ndh	NADH dehydrogenase	1577898-1579202	1305	0.598469927290848	non-essential
ENC_179added	thiK	Thiamine kinase	1581050-1581616	567	-0.123429499277424	non-essential
ENC_180added		hypothetical protein	1597155-1597679	525	2.10412515616849	essential
ENC_181added		hypothetical protein	1600653-1601036	384	-0.227311704135923	non-essential
ENC_182added		hypothetical protein	1602102-1602713	612	2.31694355214629	essential
ENC_183added	rne	Ribonuclease E	1603877-1605946	2070	1.18926721541359	non-essential
ENC_184added	dmlR_7	HTH-type transcriptional regulator DmlR	1605987-1607117	1131	-0.0832116049456244	non-essential
ENC_185added		Major Facilitator Superfamily protein	1608084-1608695	612	-0.146184235446473	non-essential
ENC_186added	yceM	Putative oxidoreductase YceM	1622463-1623386	924	0.124757279385313	non-essential
ENC_187added	csgD	CsgBAC operon transcriptional regulatory protein	1644317-1644967	651	0.895311133895343	non-essential
ENC_188added		Isochorismatase family protein	1651590-1652267	678	-0.156724785156427	non-essential
ENC_189added	efeU	Ferrous iron permease EfeU	1658380-1658778	399	0.0771264820601066	non-essential
ENC_190added		hypothetical protein	1659267-1659587	321	0.0686231752015817	non-essential
ENC_191added		hypothetical protein	1662821-1663504	684	-0.0489641117437581	non-essential
ENC_192added		hypothetical protein	1672060-1672620	561	0.168981860993754	non-essential
ENC_193added	agp_1	Glucose-1-phosphatase precursor	1683092-1683640	549	-0.0442316414122589	non-essential
ENC_194added	agp_2	Glucose-1-phosphatase precursor	1683721-1684332	612	-0.189432634202483	non-essential
ENC_195added	oppA_2	Periplasmic oligopeptide-binding protein precursor	1693796-1694998	1203	-0.322501005707512	non-essential
ENC_196added	ompA_1	Outer membrane protein A precursor	1707765-1708817	1053	0.0766951614105941	non-essential
ENC_197added		hypothetical protein	1717647-1718138	492	-0.249967243991043	non-essential
ENC_198added	ssuD	Alkanesulfonate monooxygenase	1726278-1726814	537	-0.111796400608466	non-essential
ENC_199added		hypothetical protein	1753950-1754300	351	-0.36942293754719	non-essential
ENC_200added		Chitinase class I	1763514-1764062	549	-0.486270111155724	non-essential
ENC_201added		hypothetical protein	1771671-1772534	864	-0.240236707954814	non-essential
ENC_202added		hypothetical protein	1783501-1784223	723	-0.458210406815153	non-essential
ENC_203added	focA	putative formate transporter 1	1814360-1815091	732	-1.14365981847541	non-essential
ENC_204added	dmsC_2	Anaerobic dimethyl sulfoxide reductase chain C	1820474-1821307	834	-0.190763616754278	non-essential
ENC_205added	rarA	Replication-associated recombination protein A	1826499-1827842	1344	0.0462135882969062	non-essential
ENC_206added	ftsK	DNA translocase FtsK	1828884-1832552	3669	1.55751436933312	non-essential
ENC_207added		Putative multidrug export ATP-binding/permease protein	1837286-1838629	1344	3.62737054043098	essential
ENC_208added	poxB	Pyruvate dehydrogenase [ubiquinone]	1857337-1858140	804	-0.0877605336443015	non-essential
ENC_209added		short chain dehydrogenase	1859191-1859538	348	-0.240054874627199	non-essential
ENC_210added	gspF	Putative type II secretion system protein F	1872675-1873208	534	-1.3020041714407	non-essential
ENC_211added		hypothetical protein	1874158-1874619	462	0.0540947198802114	non-essential
ENC_212added	outC	Type II secretion system protein C	1876827-1877219	393	-0.108238013373157	non-essential
ENC_213added	ybjO	Inner membrane protein YbjO	1890707-1891180	474	-0.701171409782496	non-essential
ENC_214added	potA_2	Spermidine/putrescine import ATP-binding protein PotA	1893052-1894185	1134	-0.137524711375275	non-essential
ENC_215added	aspT_2	Aspartate/alanine antiporter	1900389-1901201	813	0.0154742533551418	non-essential
ENC_216added		PAP2 superfamily protein	1907709-1908437	729	-0.186348385372336	non-essential
ENC_217added	yliI	Soluble aldose sugar dehydrogenase YliI precursor	1912376-1913494	1119	0.113804636394421	non-essential
ENC_218added	rimO	Ribosomal protein S12 methylthiotransferase RimO	1914926-1915852	927	0.00508143366572776	non-essential
ENC_219added	fsaA	Fructose-6-phosphate aldolase 1	1924403-1925065	663	-0.134012166241973	non-essential
ENC_220added	macB_2	Macrolide export ATP-binding/permease protein MacB	1943870-1945810	1941	-0.219262843783511	non-essential
ENC_221added		Putative multidrug export ATP-binding/permease protein	1948922-1952581	3660	-0.200322279497763	non-essential
ENC_222added	glnP_3	Glutamine transport system permease protein GlnP	1971372-1972031	660	-0.117667883388996	non-essential
ENC_223added		hypothetical protein	1971962-1972420	459	-0.255104518219118	non-essential
ENC_224added	ybiO	Moderate conductance mechanosensitive channel YbiO precursor	1973369-1975087	1719	0.0549797439217942	non-essential
ENC_225added	trpD2	Anthranilate phosphoribosyltransferase 2	1977604-1978566	963	-0.150329204020523	non-essential
ENC_226added		hypothetical protein	1987127-1988224	1098	0.0252367330619764	non-essential
ENC_227added	moaA	Cyclic pyranopterin monophosphate synthase	2000527-2001318	792	0.185572633358408	non-essential
ENC_228added		hypothetical protein	2007766-2008218	453	0.0902650480080213	non-essential
ENC_229added		molybdate transporter ATP-binding protein	2021546-2021941	396	-0.0774670886366341	non-essential
ENC_230added	galE	UDP-glucose 4-epimerase	2027346-2028362	1017	0.362970352850907	non-essential
ENC_231added	galT	Galactose-1-phosphate uridylyltransferase	2029151-2029951	801	0.0293817651986699	non-essential
ENC_232added		translocation protein TolB	2040217-2041509	1293	-0.202118643764644	non-essential
ENC_233added		cell envelope integrity inner membrane protein TolA	2041610-2042845	1236	0.299903358142598	non-essential
ENC_234added		hypothetical protein	2055259-2056047	789	0.240462257753229	non-essential
ENC_235added		hypothetical protein	2073171-2073548	378	-0.0220213418742114	non-essential
ENC_236added		hypothetical protein	2073564-2073896	333	-0.298958590762866	non-essential
ENC_237added	ptsG_2	PTS system glucose-specific EIICBA component	2094482-2095579	1098	-0.0894627652171705	non-essential
ENC_238added	nagA_1	N-acetylglucosamine-6-phosphate deacetylase	2097379-2098281	903	-0.0929684670630233	non-essential
ENC_239added		hypothetical protein	2106135-2106554	420	0.253882083350829	non-essential
ENC_240added	rihA	Pyrimidine-specific ribonucleoside hydrolase RihA	2114978-2115460	483	-0.340009138866116	non-essential
ENC_241added	lptE	LPS-assembly lipoprotein LptE precursor	2118811-2119380	570	2.41582620878934	essential
ENC_242added	rsfS	Ribosomal silencing factor RsfS	2121338-2121655	318	0.266755509056418	non-essential
ENC_243added	rlmH	Ribosomal RNA large subunit methyltransferase H	2121659-2122126	468	0.552146223732576	non-essential
ENC_244added	ybdO_1	putative HTH-type transcriptional regulator YbdO	2129044-2129997	954	-0.650458257098103	non-essential
ENC_245added		hypothetical protein	2132166-2132582	417	0.217943272799786	non-essential
ENC_246added	pagP_1	Lipid A palmitoyltransferase PagP precursor	2133779-2134447	669	-0.588389899214166	non-essential
ENC_247added		hypothetical protein	2135920-2136291	372	0.383310853386928	non-essential
ENC_248added		hypothetical protein	2136599-2137003	405	0.188698096988814	non-essential
