ID	name	function	coord	NPEQ	essentiality
BW25113_1added		hypothetical protein	16580-16720	-1.16653103865255	non-essential
BW25113_2added		hypothetical protein	59121-59279	-2.40771176527021	beneficial-loss
BW25113_3added		hypothetical protein	192151-192303	-0.370132273907428	non-essential
BW25113_4added		hypothetical protein	221445-221699	-0.572008891914949	non-essential
BW25113_5added		hypothetical protein	267727-267966	-0.616063336651104	non-essential
BW25113_6added		hypothetical protein	270870-270959	-0.192846806635359	non-essential
BW25113_7added		hypothetical protein	290629-290853	-0.517983714528477	non-essential
BW25113_8added		hypothetical protein	335480-335800	-0.127459391908982	non-essential
BW25113_9added		hypothetical protein	345229-345675	-0.563899895372243	non-essential
BW25113_10added		hypothetical protein	360343-360708	-0.134133262843937	non-essential
BW25113_11added		Integrase core domain protein	366055-367206	-0.10786327416326	non-essential
BW25113_12added	mhpC_2	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxonon atrienedioate hydrolase	367214-367561	-0.671615514900378	non-essential
BW25113_13added	prn	Pertactin autotransporter precursor	388477-389874	0.191173196537776	non-essential
BW25113_14added		hypothetical protein	391789-391890	0.872473662642926	non-essential
BW25113_15added		hypothetical protein	404084-404203	-1.9294451479332	beneficial-loss
BW25113_16added		hypothetical protein	525101-525472	1.25610360540607	non-essential
BW25113_17added		hypothetical protein	569937-570155	-1.96724207112424	beneficial-loss
BW25113_18added	ompD_1	Outer membrane porin protein OmpD precursor	571214-572281	-0.017050812957697	non-essential
BW25113_19added		Caudovirales tail fibre assembly protein	578331-578516	-2.39545184380433	beneficial-loss
BW25113_20added		hypothetical protein	604656-604796	-1.03245658444257	non-essential
BW25113_21added		hypothetical protein	638786-638875	1.02665916421437	non-essential
BW25113_22added		2-oxoglutaramate amidase	653711-654274	0.0177023790971798	non-essential
BW25113_23added		hypothetical protein	701316-701438	1.20902982473014	non-essential
BW25113_24added		hypothetical protein	750130-750237	-0.307933523825672	non-essential
BW25113_25added		hypothetical protein	1074393-1074602	-0.305036243740408	non-essential
BW25113_26added	efeU_2	Ferrous iron permease EfeU	1076922-1077641	-0.343506207788056	non-essential
BW25113_27added	icsA_2	Outer membrane protein IcsA autotransporter precursor	1216662-1217678	-0.470834594594407	non-essential
BW25113_28added		hypothetical protein	1235508-1235657	0.819837634144627	non-essential
BW25113_29added		hypothetical protein	1251753-1251932	-1.23480497501599	non-essential
BW25113_30added		hypothetical protein	1273100-1273318	0.161307704861113	non-essential
BW25113_31added		hypothetical protein	1290593-1290778	-1.59159001313694	non-essential
BW25113_32added		hypothetical protein	1294728-1294883	-0.000843058499391574	non-essential
BW25113_33added		hypothetical protein	1294859-1295020	-1.13033904383346	non-essential
BW25113_34added		hypothetical protein	1329829-1329924	-0.613514690529195	non-essential
BW25113_35added		hypothetical protein	1403565-1403738	-0.95237377460629	non-essential
BW25113_36added		hypothetical protein	1417009-1417569	0.78938901737863	non-essential
BW25113_37added		hypothetical protein	1423803-1424540	0.0397726074353877	non-essential
BW25113_38added		Phage tail fibre repeat protein	1424671-1426668	0.311334147947894	non-essential
BW25113_39added		Autotransporter beta-domain protein	1464947-1468270	-0.30295018354608	non-essential
BW25113_40added	gap_1	Glyceraldehyde-3-phosphate dehydrogenase	1484218-1484595	-0.18549890055328	non-essential
BW25113_41added	gap_2	Glyceraldehyde-3-phosphate dehydrogenase	1484854-1484970	-0.420295062730052	non-essential
BW25113_42added	inlJ	Internalin-J precursor	1539015-1539935	2.35348477953213	essential
BW25113_43added	fdnG_2	Formate dehydrogenase, nitrate-inducible, major subunit precursor	1542294-1544705	0.0765932129664524	non-essential
BW25113_44added		putative lipoprotein	1588366-1592343	-0.076818329597534	non-essential
BW25113_45added		hypothetical protein	1634875-1634994	-0.907598932197336	non-essential
BW25113_46added		hypothetical protein	1641379-1641606	0.341878966711099	non-essential
BW25113_47added		hypothetical protein	1643302-1643466	0.821103018140483	non-essential
BW25113_48added		hypothetical protein	1685687-1685782	0.600788353293551	non-essential
BW25113_49added		hypothetical protein	1706543-1706743	0.300108259075911	non-essential
