ID	name	function	coord	NPEQ	essentiality
SL3261_1added		hypothetical protein	52319-52528	2.37113474654908	essential
SL3261_2added		hypothetical protein	74967-75242	0.0364359027897467	non-essential
SL3261_3added	caiB_2	Crotonobetainyl-CoA:carnitine CoA-transferase	84504-85400	-0.885578033732939	non-essential
SL3261_4added		hypothetical protein	184607-185464	-0.759748560818302	non-essential
SL3261_5added		hypothetical protein	229751-229957	-0.540867151730006	non-essential
SL3261_6added		hypothetical protein	290357-290611	-0.319104028856229	non-essential
SL3261_7added		hypothetical protein	338081-338218	-0.15728732924415	non-essential
SL3261_8added		hypothetical protein	338316-338753	0.37530987201269	non-essential
SL3261_9added	symE_1	Toxic protein SymE	338806-339081	-0.925314130793295	non-essential
SL3261_10added		hypothetical protein	339823-339981	0.368538562808033	non-essential
SL3261_11added		Integrase core domain protein	340656-340937	0.179790964637787	non-essential
SL3261_12added		hypothetical protein	347155-347766	-0.403862748412479	non-essential
SL3261_13added		hypothetical protein	369149-369451	-0.0226096898257807	non-essential
SL3261_14added	ddrA_2	Diol dehydratase-reactivating factor alpha subunit	369691-370107	0.084772587697016	non-essential
SL3261_15added		hypothetical protein	410662-410793	-0.39749585786555	non-essential
SL3261_16added	ldrD_1	Small toxic polypeptide LdrD	466832-466939	-0.623836858192339	non-essential
SL3261_17added	ybaN	Inner membrane protein YbaN	539200-539577	-0.0436308911771521	non-essential
SL3261_18added		hypothetical protein	551592-551717	0.664144701901347	non-essential
SL3261_19added		hypothetical protein	569021-569125	0.401235021250749	non-essential
SL3261_20added		hypothetical protein	613238-613510	0.0248474092079413	non-essential
SL3261_21added		Transposase	613687-613905	-0.111010929957407	non-essential
SL3261_22added		hypothetical protein	614077-614235	-0.517347550173166	non-essential
SL3261_23added		hypothetical protein	719824-720453	-0.376734391753114	non-essential
SL3261_24added		hypothetical protein	765368-765472	-0.362859551550733	non-essential
SL3261_25added	rfbD_2	UDP-galactopyranose mutase precursor	784391-784579	0.793095322909462	non-essential
SL3261_26added		hypothetical protein	807386-807511	-0.858997945407013	non-essential
SL3261_27added		hypothetical protein	873349-873534	-0.03547007472922	non-essential
SL3261_28added	mntS	Small protein MntS	901218-901346	-0.727411059598924	non-essential
SL3261_29added		hypothetical protein	927720-927917	0.195963794235872	non-essential
SL3261_30added		hypothetical protein	929169-929360	-0.40881398063925	non-essential
SL3261_31added		hypothetical protein	1047544-1047732	0.817111184023807	non-essential
