ID	name	function	coord	NPEQ	essentiality
ROD_1added		hypothetical protein	20309-20524	1.09652535021428	non-essential
ROD_2added		hypothetical protein	26781-26990	2.52061273881815	essential
ROD_3added	sgrT	Putative inhibitor of glucose uptake transporter SgrT	92972-93094	0.295376156799108	non-essential
ROD_4added		hypothetical protein	99617-99709	-0.701567941364421	non-essential
ROD_5added	chiA_2	Chitinase A precursor	228216-229547	-0.524554314356108	non-essential
ROD_6added		hypothetical protein	239956-241119	-0.83844171217272	non-essential
ROD_7added		hypothetical protein	249103-249357	-0.157747234973308	non-essential
ROD_8added		hypothetical protein	274423-274719	-0.304456520817595	non-essential
ROD_9added		hypothetical protein	296968-297126	-0.190530442616342	non-essential
ROD_10added		Mor transcription activator family protein	313484-313954	-0.0497589510150026	non-essential
ROD_11added		putative glycosyl transferase	330586-331455	0.492552731010784	non-essential
ROD_12added		flagellar basal body rod protein FlgF	337635-337835	0.766200016803363	non-essential
ROD_13added		hypothetical protein	367971-368177	-0.71669005711042	non-essential
ROD_14added		hypothetical protein	368873-369016	0.952536638536547	non-essential
ROD_15added		hypothetical protein	431121-431222	-1.60938467233969	non-essential
ROD_16added		hypothetical protein	433745-433876	0.372945629341277	non-essential
ROD_17added		hypothetical protein	460961-461107	0.972049900892064	non-essential
ROD_18added		hypothetical protein	465740-465853	0.983112786230939	non-essential
ROD_19added		hypothetical protein	499828-499965	0.339452212800134	non-essential
ROD_20added		hypothetical protein	528352-528453	-0.992207340295632	non-essential
ROD_21added	ykgO	50S ribosomal protein L36 2	572044-572184	-0.14335107810782	non-essential
ROD_22added		putative transposase	584884-585309	-0.530410275392332	non-essential
ROD_23added	pheP_2	Phenylalanine-specific permease	629284-629817	-0.303000779198398	non-essential
ROD_24added		Transposase	637354-638274	-1.12696498238173	non-essential
ROD_25added	rbsB_1	D-ribose-binding periplasmic protein precursor	644757-645437	-1.41540411987456	non-essential
ROD_26added		hypothetical protein	646975-647097	-0.48975959560472	non-essential
ROD_27added		hypothetical protein	681354-681596	1.2008049971832	non-essential
ROD_28added		hypothetical protein	686112-686201	-0.582739700423169	non-essential
ROD_29added	rihA	Pyrimidine-specific ribonucleoside hydrolase RihA	724864-725604	0.104342394580704	non-essential
ROD_30added		hypothetical protein	780494-780592	-0.33984471866501	non-essential
ROD_31added		hypothetical protein	833420-833629	-0.45009728028456	non-essential
ROD_32added	mntS	Small protein MntS	901809-901937	0.257211754650908	non-essential
ROD_33added	mdfA	Multidrug transporter MdfA	936894-937874	0.200330141586203	non-essential
ROD_34added		hypothetical protein	940723-941052	0.669397691024584	non-essential
ROD_35added		hypothetical protein	1003974-1004255	-0.0265514381761937	non-essential
ROD_36added		hypothetical protein	1024986-1025174	-1.91501249327847	beneficial-loss
ROD_37added	bca	C protein alpha-antigen precursor	1027600-1033845	0.0119041268455167	non-essential
ROD_38added		hypothetical protein	1147874-1148002	-2.1674321079939	beneficial-loss
ROD_39added		hypothetical protein	1153989-1154252	-0.387407373967224	non-essential
ROD_40added	icsA_5	Outer membrane protein IcsA autotransporter precursor	1155983-1160479	-0.0510271143256494	non-essential
ROD_41added		hypothetical protein	1161728-1161835	-1.386589907831	non-essential
ROD_42added	ybeZ_2	PhoH-like protein	1183933-1184721	0.0822554796746248	non-essential
ROD_43added		Transposase IS200 like protein	1188337-1188675	-0.464675312322406	non-essential
ROD_44added		IstB-like ATP binding protein	1192957-1193214	0.189659894844883	non-essential
ROD_45added		hypothetical protein	1194087-1194404	0.00387208492214881	non-essential
ROD_46added	mdtH_2	Multidrug resistance protein MdtH	1221811-1222566	-0.467781263620577	non-essential
ROD_47added	yceM_2	Putative oxidoreductase YceM	1224748-1224993	0.26437654820902	non-essential
ROD_48added		FlgN protein	1229887-1230042	0.572571687066088	non-essential
ROD_49added		hypothetical protein	1257480-1257677	1.87855322723799	essential
ROD_50added		hypothetical protein	1306091-1306462	0.713442464535153	non-essential
ROD_51added		hypothetical protein	1306843-1306941	0.943615077366754	non-essential
ROD_52added		hypothetical protein	1312114-1313079	0.596073487895737	non-essential
ROD_53added	yoaK	putative membrane protein YoaK	1358481-1358579	0.737337441532322	non-essential
ROD_54added	ydjE_3	Inner membrane metabolite transport protein YdjE	1385240-1386229	0.36394635696183	non-essential
ROD_55added		hypothetical protein	1431527-1431634	-2.05747816600831	beneficial-loss
ROD_56added		hypothetical protein	1461046-1461216	0.0908859776534113	non-essential
ROD_57added		hypothetical protein	1487025-1487183	-0.203089659200092	non-essential
ROD_58added		hypothetical protein	1489047-1489187	0.443879035262415	non-essential
ROD_59added		Rieske [2Fe-2S] domain protein	1501801-1502166	-0.0832295274319366	non-essential
ROD_60added		hypothetical protein	1512864-1512953	1.47132568686187	non-essential
ROD_61added		hypothetical protein	1519771-1520010	0.180241122650044	non-essential
ROD_62added		hypothetical protein	1524431-1524670	0.643591737950686	non-essential
ROD_63added		hypothetical protein	1587272-1587406	1.02094420877337	non-essential
ROD_64added		hypothetical protein	1592792-1592965	-0.774078958518252	non-essential
ROD_65added		hypothetical protein	1593176-1593271	0.99887378279085	non-essential
ROD_66added		Citrate transporter	1649829-1650254	0.130496862680852	non-essential
ROD_67added	fdnG_2	Formate dehydrogenase, nitrate-inducible, major subunit precursor	1659722-1660309	-0.366142087984624	non-essential
ROD_68added		hypothetical protein	1674135-1674275	0.637318740827426	non-essential
ROD_69added	fecA_1	Fe(3+) dicitrate transport protein FecA precursor	1681602-1683362	-0.249326342608271	non-essential
ROD_70added		hypothetical protein	1725109-1725603	-0.456951577994389	non-essential
ROD_71added		hypothetical protein	1745529-1745720	0.507540713949774	non-essential
ROD_72added		hypothetical protein	1749457-1749588	0.486819407159605	non-essential
ROD_73added		hypothetical protein	1755006-1755278	-0.0859221074592878	non-essential
ROD_74added	mepS_2	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase precursor	1755416-1755943	-1.18024923959105	non-essential
ROD_75added		Phage integrase family protein	1768475-1768969	-0.634477772425483	non-essential
ROD_76added		hypothetical protein	1771506-1771688	0.235039117232424	non-essential
ROD_77added	ugpC_3	sn-glycerol-3-phosphate import ATP-binding protein UgpC	1801716-1802468	0.0624929497365371	non-essential
ROD_78added		hypothetical protein	1828062-1828244	-1.09396581116962	non-essential
ROD_79added		Stress-induced bacterial acidophilic repeat motif protein	1855337-1855519	-0.108853857226007	non-essential
