STM_MW00461	riboflavin biosynthesis protein RibF
STMMW_01461	dephospho-CoA kinase
ERS227112_04433	ICORN_RH20207_annotate_bacteria_04433
SEN0866	outer membrane lipoprotein carrier protein precursor
CS17_03741	30S ribosomal protein S8,30S ribosomal protein S8,30S ribosomal protein S8,Ribosomal protein S8,Ribosomal protein S8
SL3261_3408	30S ribosomal subunit protein S10
t3475	50S ribosomal subunit protein L7/L12
BN373_34121	glutamyl-tRNA synthetase
STMMW_34191	30S ribosomal subunit protein S8
SL3261_4291	conserved hypothetical protein
CS17_01231	3-oxoacyl-ACP reductase,3-oxoacyl-[acyl-carrier-protein
ERS227112_02434	ICORN_RH20207_annotate_bacteria_02434
ROD_01461	2-amino-4-hydroxy-6-hydroxymethyldihydropteridi ne pyrophosphokinase
CS17_03109	CTP synthetase,CTP synthase,CTP synthetase,Carbamoylphosphate synthase small subunit,CTP synthase,CTP synthase N-terminus
CS17_04233	transcription termination factor Rho,Transcription termination factor Rho,transcription termination factor Rho,transcription termination factor Rho,ATP synthase alpha/beta family, nucleotide-binding domain
NCTC13441_03806	Uridylate kinase,uridylate kinase,Uridylate kinase,UMP kinase,Amino acid kinase family
SL3261_0410	riboflavin biosynthesis protein RibD
STM_MW41001	preprotein translocase SecE subunit
ERS227112_02550	ICORN_RH20207_annotate_bacteria_02550
ENC_13370	riboflavin synthase alpha chain
ROD_40111	glucosamine--fructose-6-phosphate aminotransferase
ERS227112_00448	ICORN_RH20207_annotate_bacteria_00448
SL1344_4171	4-hydroxybenzoate octaprenyl transferase
SL1344_0628	penicillin-binding protein 2
ERS227112_04430	ICORN_RH20207_annotate_bacteria_04430
ERS227112_01706	ICORN_RH20207_annotate_bacteria_01706
NCTC13441_03899	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Mur ligase middle domain
ETEC_4295	4-hydroxybenzoate octaprenyltransferase
CS17_03740	50S ribosomal protein L6,50S ribosomal protein L6,50S ribosomal protein L6,ribosomal protein L6,Ribosomal protein L6
CS17_00187	outer membrane protein assembly factor,Omp85,outer membrane protein assembly factor YaeT,Outer membrane protein/protective antigen OMA87,outer membrane protein assembly complex, YaeT protein,Surface antigen
STM_MW33021	50S ribosomal subunit protein L27
STM_MW34141	50S ribosomal subunit protein L15
NCTC13441_00236	Cell division protein FtsY,signal recognition particle-docking protein FtsY,Signal recognition particle GTPase,signal recognition particle-docking protein FtsY,SRP54-type protein, GTPase domain
SL3261_0134	UDP-3-O-[3-hydroxymyristoyl
STMMW_34301	50S ribosomal subunit protein L23
BN373_35831	ribosomal protein L19
t4140	4-hydroxybenzoate octaprenyl transferase
SL3261_3706	5'guanylate kinase
t2911	prolipoprotein diacylglyceryl transferase
ERS227112_01023	ICORN_RH20207_annotate_bacteria_01023
SEN3936	50S ribosomal subunit protein L7/L12
ROD_24771	inositol-1-monophosphatase
SEN2557	Holo-[acyl-carrier-protein
STMMW_34331	30S ribosomal subunit protein S10
CS17_02701	cell division protein ZipA,Cell division protein ZipA,cell division protein ZipA,cell division protein ZipA,ZipA, C-terminal FtsZ-binding domain
NCTC13441_00353	30S ribosomal protein S12,30S ribosomal protein S12,Ribosomal protein S12,ribosomal protein S12,Ribosomal protein S12
NCTC13441_00355	Elongation factor G,elongation factor G,GTPases - translation elongation factors,translation elongation factor G,Elongation factor Tu GTP binding domain
STMMW_44261	putative inner membrane protein
NCTC13441_01176	Holo-[acyl-carrier-protein
ETEC_2516	glutamyl-tRNA synthetase
SL3261_1154	ABC transporter integral membrane subunit
ERS227112_02528	ICORN_RH20207_annotate_bacteria_02528
SEN1319	DNA topoisomerase I, omega protein I
ETEC_2813	50S ribosomal subunit protein L19
SL3261_2649	30S ribosomal protein S16. Chloroplast 30S ribosomal protein S16.
ERS227112_01809	ICORN_RH20207_annotate_bacteria_01809
CS17_00090	UDP-N-acetylglucosamine--N-acetylmuramyl-(penta pe ptide pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,Predicted glycosyl transferase,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Glycosyltransferase family 28 N-terminal domain
ENC_17720	SSU ribosomal protein S1P
SL1344_2655	conserved hypothetical protein
SL3261_4474	DNA replication protein
SL1344_3382	DNA-directed RNA polymerase alpha chain
NCTC13441_04515	Preprotein translocase subunit SecE,preprotein translocase subunit SecE,preprotein translocase, SecE subunit,SecE/Sec61-gamma subunits of protein translocation complex
STMMW_31691	possible glycoprotease
ROD_45151	30S ribosomal subunit protein S14
SL1344_0899	outer membrane lipoprotein carrier protein precursor
ERS227112_00471	ICORN_RH20207_annotate_bacteria_00471
SL1344_3391	L18 Ribosomal Protein
SL1344_3926	ubiquinone biosynthesis protein
CS17_03745	50S ribosomal protein L14,50S ribosomal protein L14,50S ribosomal protein L14,Ribosomal protein L14,ribosomal protein L14,Ribosomal protein L14p/L23e
STMMW_28921	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ERS227112_02534	ICORN_RH20207_annotate_bacteria_02534
STMMW_07521	flavodoxin 1
STMMW_17721	ribose-phosphate pyrophosphokinase
CS17_03736	50S ribosomal protein L15,50S ribosomal protein L15,50S ribosomal protein L15,ribosomal protein L15,Ribosomal protein L18e/L15
STM_MW33711	rod shape-determining protein
ROD_06601	DNA polymerase III, delta subunit
ROD_45261	DNA-directed RNA polymerase alpha chain
BN373_15651	chromosome partition protein MukF
STM_MW28921	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ERS227112_02429	ICORN_RH20207_annotate_bacteria_02429
CS17_04747	putative permease,Lipopolysaccharide export system permease protein lptG,lipopolysaccharide ABC transporter permease,Predicted permeases,Predicted permease YjgP/YjgQ family
STMMW_21861	MetRS
ETEC_2817	signal recognition particle protein
ETEC_3443	cell division protein
ERS227112_02539	ICORN_RH20207_annotate_bacteria_02539
ERS227112_01776	ICORN_RH20207_annotate_bacteria_01776
STM_MW23881	acetyl-CoA carboxylase beta subunit
ROD_43921	aspartate-semialdehyde dehydrogenase
ERS227112_02809	ICORN_RH20207_annotate_bacteria_02809
t4400	phosphatidylserine decarboxylase proenzyme
NCTC13441_03896	Cell division protein FtsW,cell division protein FtsW,cell division protein FtsW,Cell cycle protein
ETEC_3569	50S ribosomal subunit protein L2
ETEC_4084	porphobilinogen deaminase
SL3261_1708	Ribose-phosphate pyrophosphokinase
ERS227112_04342	ICORN_RH20207_annotate_bacteria_04342
STMMW_34221	50S ribosomal subunit protein L24
SEN3935	50S ribosomal subunit protein L10
ETEC_3547	DNA-directed RNA polymerase alpha chain
STMMW_34171	50S ribosomal subunit protein L18
SL1344_3407	50S ribosomal subunit protein L3
ERS227112_00885	ICORN_RH20207_annotate_bacteria_00885
ERS227112_03108	ICORN_RH20207_annotate_bacteria_03108
NCTC13441_00683	1-acyl-sn-glycerol-3-phosphate acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,1-acylglycerol-3-phosphate O-acyltransferases,Acyltransferase
STMMW_24471	cell division protein
ROD_01721	30S ribosomal protein S2
STM_MW01321	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
ROD_41761	coenzyme A biosynthesis bifunctional protein [includes: phosphopantothenoylcysteine decarboxylase; phosphopantothenate-cysteine ligase
SL3261_2908	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
BN373_42491	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
STM_MW38921	transcription termination factor
t2631	30S ribosomal subunit protein S16
ROD_25091	holo-[acyl-carrier-protein
SL3261_0125	Phospho-N-acetylmuramoyl-pentapeptide-transfera se
CS17_03629	octaprenyl-diphosphate synthase,Octaprenyl-diphosphate synthase,octaprenyl diphosphate synthase,Geranylgeranyl pyrophosphate synthase,solanesyl diphosphate synthase,Polyprenyl synthetase
SL3261_0931	cell division protein
ENC_17690	lipid A export permease/ATP-binding protein MsbA
NCTC13441_00628	t(6)A37 threonylcarbamoyladenosine biosynthesis protein,UGMP family protein,Transcription initiation factor TFIID, subunit TAF12 (also component of histone acetyltransferase SAGA),putative glycoprotease GCP,Glycoprotease family
BN373_05771	peptidoglycan synthetase FtsI
t1980	initiation factor IF-1
SL3261_4087	transcription antitermination protein
BN373_42611	lipopolysaccharide ABC transporter, ATP-binding protein
ERS227112_01822	ICORN_RH20207_annotate_bacteria_01822
STMMW_17061	GTP cyclohydrolase II
STMMW_25631	extragenic suppressor protein SuhB
NCTC13441_04740	Transcription termination factor Rho,transcription termination factor Rho,transcription termination factor Rho,ATP synthase alpha/beta family, nucleotide-binding domain
SL3261_1267	Threonyl-tRNA synthetase
STM_MW02421	cell cycle protein MesJ
STMMW_09951	probable transport ATP-binding protein MsbA
ERS227112_00870	ICORN_RH20207_annotate_bacteria_00870
STM_MW12281	ABC transporter integral membrane subunit
SEN0470	ferrochelatase
t4444	30s ribosomal subunit protein S18
