ERS227112_00015	ICORN_RH20207_annotate_bacteria_00015
SEN0011	DnaK protein (heat shock protein 70)
NCTC13441_03558	Farnesyl diphosphate synthase,geranyltranstransferase,Geranylgeranyl pyrophosphate synthase,heptaprenyl diphosphate synthase component II,Polyprenyl synthetase
ENC_46280	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, long form
CS17_00551	peptidyl-prolyl cis-trans isomerase B,Peptidyl-prolyl cis-trans isomerase B,peptidyl-prolyl cis-trans isomerase B (rotamase B),Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
CS17_04680	primosomal replication protein N,Primosomal replication protein n,primosomal replication protein N,Single-strand binding protein family
SEN3534	lipopolysaccharide heptosyltransferase-1
t0224	putative membrane protein
BN373_12431	protein YbeD
SL1344_0012	Chaperone protein dnaK
STMMW_41021	50S ribosomal subunit protein L11
STMMW_33991	polypeptide deformylase
STM_MW12001	50S ribosomal protein L32
ROD_02201	DNA polymerase III epsilon subunit
ROD_06711	conserved hypothetical protein
NCTC13441_04189	DNA polymerase III subunit chi,DNA polymerase III subunit chi,DNA polymerase III chi subunit, HolC
BN373_02811	DNA polymerase III, chi subunit
SL3261_0924	conserved hypothetical protein
SL1344_0208	MTA/SAH nucleosidase
CS17_02949	16S rRNA-processing protein RimM,21K,16S rRNA-processing protein RimM,16S rRNA processing protein RimM,RimM N-terminal domain
t2202	putative monooxygenase
SL3261_0306	Phosphoheptose isomerase
ROD_42071	protein-export protein SecB
ERS227112_00055	ICORN_RH20207_annotate_bacteria_00055
STMMW_02291	putative membrane protein
t3478	50S ribosomal subunit protein L11
ENC_01430	LSU ribosomal protein L11P
SL3261_3417	conserved hypothetical protein
ERS227112_03102	ICORN_RH20207_annotate_bacteria_03102
ENC_20130	2-oxoglutarate dehydrogenase E1 component
CS17_02862	RNA polymerase sigma factor RpoE,Sigma-24,RNA polymerase sigma factor AlgU,RNA polymerase sigma factor RpoE,Sigma-70, region 4
SL3261_0895	transport ATP-binding protein CydD
ERS227112_00876	ICORN_RH20207_annotate_bacteria_00876
ETEC_4110	ubiquinone/menaquinone biosynthesis methyltransferase
ENC_32980	dihydroneopterin aldolase
STMMW_24521	PTS system, glucose-specific IIA component
t2831	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ERS227112_01726	ICORN_RH20207_annotate_bacteria_01726
STM_MW02131	MTA/SAH nucleosidase
ETEC_0736	2-oxoglutarate dehydrogenase E1 component
CS17_02816	cysteine desulfurase,Cysteine desulfurase,cysteine desulfurase,Uncharacterized protein conserved in bacteria,cysteine desulfurase IscS,Aminotransferase class-V
NCTC13441_00076	Serine acetyltransferase,serine acetyltransferase,Acetyltransferase (isoleucine patch superfamily),serine O-acetyltransferase,Serine acetyltransferase, N-terminal
t2234	lipoic acid synthetase
SL1344_4106	uroporphyrinogen decarboxylase
ETEC_0171	protease
STMMW_37011	lipopolysaccharide heptosyltransferase-1
STM_MW01601	dihydrolipoamide dehydrogenase
NCTC13441_03822	Glutamate-1-semialdehyde 2,1-aminomutase,glutamate-1-semialdehyde aminotransferase,Glutamate-1-semialdehyde aminotransferase,glutamate-1-semialdehyde-2,1-aminomutase,Aminotransferase class-III
SL3261_2452	Dihydrodipicolinate synthase
STM_MW04931	geranyltranstransferase
NCTC13441_03812	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase,Tetrahydrodipicolinate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,Bacterial transferase hexapeptide (six repeats)
ETEC_2576	succinyl-diaminopimelate desuccinylase
NCTC13441_03106	ATP-binding/permease protein CydD,cysteine/glutathione ABC transporter membrane/ATP-binding component,ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain,thiol reductant ABC exporter, CydD subunit,ABC transporter transmembrane region
SEN0892	3-deoxy-manno-octulosonate cytidylyltransferase
CS17_00980	peroxide and acid resistance protein, UPF0434 family,hypothetical protein,hypothetical protein,Trm112p-like protein
STM_MW34241	30S ribosomal subunit protein S17
STMMW_12971	glyceraldehyde 3-phosphate dehydrogenase a
ERS227112_01012	ICORN_RH20207_annotate_bacteria_01012
SL3261_0214	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
ETEC_0659	conserved hypothetical protein
t3523	primosomal protein replication factor
ENC_42400	chaperonin GroL
NCTC13441_01133	21K,16S rRNA-processing protein RimM,16S rRNA processing protein RimM,RimM N-terminal domain
SL3261_0925	3-deoxy-manno-octulosonate cytidylyltransferase
BN373_45931	serine O-acetyltransferase
ETEC_4605	DNA polymerase III, chi subunit
ROD_24931	serine hydroxymethyltransferase
BN373_07151	DNA polymerase III, epsilon subunit
SL1344_0924	conserved hypothetical protein
STM_MW02081	glutamate-1-semialdehyde 2,1-aminomutase
STM_MW25591	NifU-like protein
CS17_04068	ADP-heptose--LPS-heptosyltransferase II,ADP-heptose--LPS heptosyltransferase 2,ADP-heptose:LPS heptosyltransferase II,ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase,lipopolysaccharide heptosyltransferase II,Glycosyltransferase family 9 (heptosyltransferase)
ROD_41961	lipopolysaccharide heptosyltransferase 1
BN373_37531	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
STM_MW01591	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
STM_MW28931	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NCTC13441_00493	Lipopolysaccharide export system protein lptC,lipopolysaccharide exporter periplasmic protein,Uncharacterized protein conserved in bacteria,Lipopolysaccharide-assembly, LptC-related
STMMW_33161	possible exported protein
NCTC13441_03800	Regulator of sigma E protease,zinc metallopeptidase RseP,Translation elongation factor Ts,RIP metalloprotease RseP,Peptidase family M50
ENC_14990	isocitrate dehydrogenase (NADP)
t0662	GTP cyclohydrolase I
SL3261_0216	methionine aminopeptidase
ROD_39691	ATP-dependent DNA helicase
ENC_26530	RNA polymerase, sigma 32 subunit, RpoH
STM_MW40601	primosomal protein replication factor
SEN0219	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
ETEC_0081	cell division protein FtsL
ETEC_2368	ribonucleoside-diphosphate reductase 1 beta chain
ROD_37681	50S ribosomal subunit protein L1
STM_MW31671	dihydroneopterin aldolase
SEN0637	conserved hypothetical protein
t0125	cell division protein FtsL
ENC_38020	succinyldiaminopimelate desuccinylase
BN373_18961	transcriptional regulator CysB
NCTC13441_03269	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,dihydrolipoamide succinyltransferase,Acetyl/propionyl-CoA carboxylase, alpha subunit,dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
SL3261_3676	ADP-L-Glycero-D-mannoheptose-6-epimerase
SL1344_0306	Phosphoheptose isomerase
SL1344_4267	GroEL protein
