CS17_00008	transaldolase B,Transaldolase,transaldolase B,Transaldolase,transaldolase,Transaldolase
CS17_00013	chaperone protein DnaK (Heat shock protein 70) (Heat shock 70 kDaprotein) (HSP70),Heat shock protein 70,molecular chaperone DnaK,Ethanolamine utilization protein, possible chaperonin,chaperone protein DnaK,Hsp70 protein
CS17_00020	usher protein,fimbrial outer membrane usher protein,Fimbrial Usher protein
CS17_00021	usher protein,Heat shock protein E,fimbrial outer membrane usher protein,Fimbrial Usher protein
CS17_00022	T3SS effector protein EspX
CS17_00023	30S ribosomal protein S20,30S ribosomal protein S20,30S ribosomal protein S20,Ribosomal protein S20,ribosomal protein S20,Ribosomal protein S20
CS17_00024	riboflavin biosynthesis protein [includes: riboflavin kinase; FMN adenylyltransferase
CS17_00025	isoleucyl-tRNA synthetase,Isoleucine--tRNA ligase,isoleucyl-tRNA synthetase,Isoleucyl-tRNA synthetase,isoleucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
CS17_00026	lipoprotein signal peptidase,Lipoprotein signal peptidase,lipoprotein signal peptidase,signal peptidase II,Signal peptidase (SPase) II
CS17_00028	4-hydroxy-3-methylbut-2-enyl diphosphate reductase,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,LytB protein
CS17_00030	dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase,dihydrodipicolinate reductase,Dihydrodipicolinate reductase, C-terminus
CS17_00049	dihydrofolate reductase,Dihydrofolate reductase,dihydrofolate reductase,Dihydrofolate reductase
CS17_00055	organic solvent tolerance protein,Organic solvent tolerance protein,LPS assembly outer membrane complex protein LptD,Organic solvent tolerance protein OstA,lipopolysaccharide transport periplasmic protein LptA,Organic solvent tolerance protein
CS17_00083	cell division protein FtsL,Cell division protein FtsL,cell division protein FtsL,Cell division protein,cell division protein FtsL,Cell division protein FtsL
CS17_00084	peptidoglycan synthetase FtsI,Peptidoglycan synthase FtsI precursor,peptidoglycan synthase FtsI,Membrane carboxypeptidase/penicillin-binding protein,stage V sporulation protein D,Penicillin binding protein transpeptidase domain
CS17_00085	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase,UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramyl-tripeptide synthetase,Mur ligase middle domain
CS17_00086	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-ala ni ne ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Mur ligase middle domain
CS17_00087	phospho-N-acetylmuramoyl-pentapeptide- transferase,Phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,Glycosyl transferase family 4
CS17_00088	UDP-N-acetylmuramoylalanine--D-glutamate ligase,UDP-N-acetylmuramoylalanine--D-glutamate ligase,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,Folylpolyglutamate synthase,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Mur ligase middle domain
CS17_00089	cell division protein FtsW,Cell division protein FtsW,cell division protein FtsW,cell division protein FtsW,Cell cycle protein
CS17_00090	UDP-N-acetylglucosamine--N-acetylmuramyl-(penta pe ptide pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,Predicted glycosyl transferase,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Glycosyltransferase family 28 N-terminal domain
CS17_00091	UDP-N-acetylmuramate:alanine ligase,UDP-N-acetylmuramate--L-alanine ligase,UDP-N-acetylmuramate--L-alanine ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramate--alanine ligase,Mur ligase middle domain
CS17_00093	cell division protein FtsQ,Cell division protein FtsQ,cell division protein FtsQ,Cell division protein FtsQ
CS17_00094	cell division protein FtsA,Cell division protein FtsA,cell division protein FtsA,Ethanolamine utilization protein, possible chaperonin,cell division protein FtsA,Cell division protein FtsA
CS17_00095	cell division protein FtsZ,Cell division protein FtsZ,cell division protein FtsZ,Cell division GTPase,cell division protein FtsZ,FtsZ family, C-terminal domain
CS17_00096	UDP-3-O-[3-hydroxymyristoyl
CS17_00102	dephospho-CoA kinase,Dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase
CS17_00107	site-specific invertase; DLP12 prophage,Resolvase, N terminal domain
CS17_00108	IS1 transposase,IS1 transposase
CS17_00110	hypothetical protein
CS17_00120	AmpE protein,hypothetical protein,regulatory protein AmpE,Membrane protein required for beta-lactamase induction,CobD/Cbib protein
CS17_00122	Transcriptional regulator protein,Pyruvate dehydrogenase complex repressor,transcriptional regulator PdhR,Transcriptional regulators,phosphonate metabolism transcriptional regulator PhnF,Bacterial regulatory proteins, gntR family
CS17_00126	dihydrolipoamide dehydrogenase,Dihydrolipoyl dehydrogenase,dihydrolipoamide dehydrogenase,Uncharacterized conserved protein,dihydrolipoyl dehydrogenase,Pyridine nucleotide-disulphide oxidoreductase
CS17_00129	hypothetical protein,Uncharacterised protein family (UPF0231)
CS17_00130	S-adenosylmethionine decarboxylase proenzyme [contains: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain
CS17_00134	glucose dehydrogenase,Quinoprotein glucose dehydrogenase,outer membrane biogenesis protein BamB,Glucose dehydrogenase,membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family,PQQ enzyme repeat
