Gene	Product	log(ii/essentiality_threshold)														Locus tag														Number of copies of gene in the genome														path_id	path_name
		Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
acnB	aconitase	2.6081987806	1.9876938234	-0.176944007	1.9375338145	2.2372075442	2.041201891	1.9328987963	0.9487358422	1.5308715912	0.3601897732	1.091651065	1.3066494234	1.9978960016	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01210	2-Oxocarboxylic acid metabolism 
asd	aspartate semialdehyde dehydrogenase	-2.6006232359	-1.0642164269	-4.5	-2.027308961	-2.7761227572	-2.8055279822	-2.6650798484	-4.5	-0.8980355883	-4.5	-2.0591453467	-4.5	-4.5	-4.5	ENC_26270	BN373_44371	ERS227112_00786	ROD_43921	SL1344_3506	SL3261_3506	STMMW_35281	STM_MW35281	SEN3363	t3981	EC958_3827	NCTC13441_00266	BW25113_3433	b3433	1	2	2	1	1	1	1	1	1	1	1	1	1	1	eco01210	2-Oxocarboxylic acid metabolism 
icd	isocitrate dehydrogenase (NADP)	0.8975770359	0.3598895999	-4.5	0.1892814784	1.5591340033	1.4511651275	1.5375133499	0.2458733579	1.0905579873	-0.3658515076	-1.4498838492	-0.7604474198	1.2507240753	4.5	ENC_14990	BN373_17611	ERS227112_03614	ROD_12261	SL1344_1176	SL3261_1176	STMMW_12481	STM_MW12481	SEN1811	t1682	EC958_1333	NCTC13441_02776	BW25113_1136	b1136	2	3	4	5	2	2	2	2	2	2	2	2	3	3	eco01210	2-Oxocarboxylic acid metabolism 
cydC	Putative multidrug export ATP-binding/permease protein	-4.5	1.7639173027	2.0095674601	0.9975108111	-0.7265767769	-0.1324085894	0.1651173723	-1.4450658633	-0.1320700486	0.5603786739	1.2141478424	-2.0049815086	-1.7384822537	-4.5	ENC_207added	BN373_15341	ERS227112_03405	ROD_09501	SL1344_0894	SL3261_0894	STMMW_09681	STM_MW09681	SEN0860	t1978	EC958_0998	NCTC13441_03107	BW25113_0886	b0886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	eco02010	ABC transporters 
cydD	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD	-4.5	1.940931356	2.0685479818	0.6828546283	-0.8866042408	-0.6691590373	0.1371151878	-1.4721149486	-0.4258726242	0.6844307327	1.2761935205	-4.5	-4.5	4.5	ENC_17950	BN373_15351	ERS227112_03406	ROD_09511	SL1344_0895	SL3261_0895	STMMW_09691	STM_MW09691	SEN0861	t1977	EC958_0999	NCTC13441_03106	BW25113_0887	b0887	10	10	13	16	12	12	12	12	11	12	12	12	9	9	eco02010	ABC transporters 
fepB	Ferrienterobactin-binding periplasmic protein precursor	2.0884973557	2.1460287856	1.6157797694	1.9713092406	1.8142507821	2.1421946083	-0.1584566246	-0.1301598954	0.1044953298	-0.00785095	1.9302324991	2.1158295508	2.4338354806	4.5	ENC_255added	BN373_11881	ERS227112_03048	ROD_06011	SL1344_0582	SL3261_0582	STMMW_06591	STM_MW06591	SEN0563	t2274	EC958_0712	NCTC13441_03403	BW25113_0592	b0592	5	6	7	2	3	3	3	3	3	3	6	7	3	3	eco02010	ABC transporters 
fepC	ferric enterobactin ABC transporter, ATP-binding protein	X	2.1225695215	1.099634571	2.0202559621	1.5938301994	2.1934088931	-1.5822432935	-0.6383400544	-0.8113474867	0	2.0101671608	2.0762346129	2.2420984801	4.5	X	BN373_11841	ERS227112_03044	ROD_05971	SL1344_0578	SL3261_0578	STMMW_06551	STM_MW06551	SEN0559	t2278	EC958_0708	NCTC13441_03407	BW25113_0588	b0588	54	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
fepD	ABC-type Fe3+-siderophore transport system, permease component	1.9359065437	1.9433558884	1.5596449726	1.8584806819	1.7622420436	2.2199050587	-0.4332850273	0.5109093226	-0.6420162788	-0.2395046672	2.2493061225	2.3359016157	2.2594290464	4.5	ENC_21430	BN373_11861	ERS227112_03046	ROD_05991	SL1344_0580	SL3261_0580	STMMW_06571	STM_MW06571	SEN0561	t2276	EC958_0710	NCTC13441_03405	BW25113_0590	b0590	7	9	11	4	4	4	4	4	4	4	10	10	5	5	eco02010	ABC transporters 
fepG	ABC-type enterobactin transport system, permease component	2.0523245555	1.7838397592	1.2041843344	1.8079885174	1.7235345451	2.3673751464	-4.5	-0.1637959656	-0.6240842801	-0.7306491855	2.0200605478	2.1986328044	2.2469468358	4.5	ENC_21440	BN373_11851	ERS227112_03045	ROD_05981	SL1344_0579	SL3261_0579	STMMW_06561	STM_MW06561	SEN0560	t2277	EC958_0709	NCTC13441_03406	BW25113_0589	b0589	7	9	11	4	4	4	4	4	4	4	10	10	5	5	eco02010	ABC transporters 
ftsE	cell division ATP-binding protein FtsE	1.3324871869	1.3607178554	1.9242653602	2.2457584212	-2.2934333285	-2.3269954182	-4.5	-4.5	1.3744306736	-4.5	2.4953254219	2.2342672391	2.1270312333	-4.5	ENC_26550	BN373_44641	ERS227112_00756	ROD_43581	SL1344_3535	SL3261_3535	STMMW_35591	STM_MW35591	SEN3393	t3952	EC958_3857	NCTC13441_00237	BW25113_3463	b3463	54	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
