Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
acnB	aconitate hydratase 2	1.9876938234	+AC0-0.176944007	1.9375338145	2.2372075442	2.041201891	1.9328987963	0.9487358422	1.5308715912	0.3601897732	1.091651065	1.3066494234	1.9978960016	4.5	BN373+AF8-06141	ERS227112+AF8-02462	ROD+AF8-01251	SL1344+AF8-0159	SL3261+AF8-0159	STMMW+AF8-01641	STM+AF8-MW01641	SEN0162	t0164	EC958+AF8-0260	NCTC13441+AF8-03863	BW25113+AF8-0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01210	2+AC0-Oxocarboxylic acid metabolism 
asd	aspartate+AC0-semialdehyde dehydrogenase	+AC0-1.0642164269	+AC0-4.5	+AC0-2.027308961	+AC0-2.7761227572	+AC0-2.8055279822	+AC0-2.6650798484	+AC0-4.5	+AC0-0.8980355883	+AC0-4.5	+AC0-2.0591453467	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-44371	ERS227112+AF8-00786	ROD+AF8-43921	SL1344+AF8-3506	SL3261+AF8-3506	STMMW+AF8-35281	STM+AF8-MW35281	SEN3363	t3981	EC958+AF8-3827	NCTC13441+AF8-00266	BW25113+AF8-3433	b3433	2	2	1	1	1	1	1	1	1	1	1	1	1	eco01210	2+AC0-Oxocarboxylic acid metabolism 
icd	isocitrate dehydrogenase, NADP+AC0-dependent	0.3598895999	+AC0-4.5	0.1892814784	1.5591340033	1.4511651275	1.5375133499	0.2458733579	1.0905579873	+AC0-0.3658515076	+AC0-1.4498838492	+AC0-0.7604474198	1.2507240753	4.5	BN373+AF8-17611	ERS227112+AF8-03614	ROD+AF8-12261	SL1344+AF8-1176	SL3261+AF8-1176	STMMW+AF8-12481	STM+AF8-MW12481	SEN1811	t1682	EC958+AF8-1333	NCTC13441+AF8-02776	BW25113+AF8-1136	b1136	3	4	5	2	2	2	2	2	2	2	2	3	3	eco01210	2+AC0-Oxocarboxylic acid metabolism 
cydC	ABC transporter, CydDC cysteine exporter family, permease/ATP+AC0-binding protein CydC	1.7639173027	2.0095674601	0.9975108111	+AC0-0.7265767769	+AC0-0.1324085894	0.1651173723	+AC0-1.4450658633	+AC0-0.1320700486	0.5603786739	1.2141478424	+AC0-2.0049815086	+AC0-1.7384822537	+AC0-4.5	BN373+AF8-15341	ERS227112+AF8-03405	ROD+AF8-09501	SL1344+AF8-0894	SL3261+AF8-0894	STMMW+AF8-09681	STM+AF8-MW09681	SEN0860	t1978	EC958+AF8-0998	NCTC13441+AF8-03107	BW25113+AF8-0886	b0886	6	8	6	7	7	7	7	7	7	8	8	6	6	eco02010	ABC transporters 
cydD	ABC transporter, CydDC cysteine exporter family, permease/ATP+AC0-binding protein CydD	1.940931356	2.0685479818	0.6828546283	+AC0-0.8866042408	+AC0-0.6691590373	0.1371151878	+AC0-1.4721149486	+AC0-0.4258726242	0.6844307327	1.2761935205	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-15351	ERS227112+AF8-03406	ROD+AF8-09511	SL1344+AF8-0895	SL3261+AF8-0895	STMMW+AF8-09691	STM+AF8-MW09691	SEN0861	t1977	EC958+AF8-0999	NCTC13441+AF8-03106	BW25113+AF8-0887	b0887	10	13	16	12	12	12	12	11	12	12	12	9	9	eco02010	ABC transporters 
fepB	ferric enterobactin ABC transporter, periplasmic ferrienterobactin+AC0-binding protein	2.1460287856	1.6157797694	1.9713092406	1.8142507821	2.1421946083	+AC0-0.1584566246	+AC0-0.1301598954	0.1044953298	+AC0-0.00785095	1.9302324991	2.1158295508	2.4338354806	4.5	BN373+AF8-11881	ERS227112+AF8-03048	ROD+AF8-06011	SL1344+AF8-0582	SL3261+AF8-0582	STMMW+AF8-06591	STM+AF8-MW06591	SEN0563	t2274	EC958+AF8-0712	NCTC13441+AF8-03403	BW25113+AF8-0592	b0592	6	7	2	3	3	3	3	3	3	6	7	3	3	eco02010	ABC transporters 
fepC	ferric enterobactin ABC transporter, ATP+AC0-binding protein	2.1225695215	1.099634571	2.0202559621	1.5938301994	2.1934088931	+AC0-1.5822432935	+AC0-0.6383400544	+AC0-0.8113474867	0	2.0101671608	2.0762346129	2.2420984801	4.5	BN373+AF8-11841	ERS227112+AF8-03044	ROD+AF8-05971	SL1344+AF8-0578	SL3261+AF8-0578	STMMW+AF8-06551	STM+AF8-MW06551	SEN0559	t2278	EC958+AF8-0708	NCTC13441+AF8-03407	BW25113+AF8-0588	b0588	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
fepD	ferric enterobactin ABC transporter, permease protein FepD	1.9433558884	1.5596449726	1.8584806819	1.7622420436	2.2199050587	+AC0-0.4332850273	0.5109093226	+AC0-0.6420162788	+AC0-0.2395046672	2.2493061225	2.3359016157	2.2594290464	4.5	BN373+AF8-11861	ERS227112+AF8-03046	ROD+AF8-05991	SL1344+AF8-0580	SL3261+AF8-0580	STMMW+AF8-06571	STM+AF8-MW06571	SEN0561	t2276	EC958+AF8-0710	NCTC13441+AF8-03405	BW25113+AF8-0590	b0590	9	11	4	4	4	4	4	4	4	10	10	5	5	eco02010	ABC transporters 
fepG	ferric enterobactin ABC transporter, permease protein FepG	1.7838397592	1.2041843344	1.8079885174	1.7235345451	2.3673751464	+AC0-4.5	+AC0-0.1637959656	+AC0-0.6240842801	+AC0-0.7306491855	2.0200605478	2.1986328044	2.2469468358	4.5	BN373+AF8-11851	ERS227112+AF8-03045	ROD+AF8-05981	SL1344+AF8-0579	SL3261+AF8-0579	STMMW+AF8-06561	STM+AF8-MW06561	SEN0560	t2277	EC958+AF8-0709	NCTC13441+AF8-03406	BW25113+AF8-0589	b0589	9	11	4	4	4	4	4	4	4	10	10	5	5	eco02010	ABC transporters 
ftsE	cell division ATP+AC0-binding protein FtsE	1.3607178554	1.9242653602	2.2457584212	+AC0-2.2934333285	+AC0-2.3269954182	+AC0-4.5	+AC0-4.5	1.3744306736	+AC0-4.5	2.4953254219	2.2342672391	2.1270312333	+AC0-4.5	BN373+AF8-44641	ERS227112+AF8-00756	ROD+AF8-43581	SL1344+AF8-3535	SL3261+AF8-3535	STMMW+AF8-35591	STM+AF8-MW35591	SEN3393	t3952	EC958+AF8-3857	NCTC13441+AF8-00237	BW25113+AF8-3463	b3463	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
