gene_tag	essentiality_in_K12	KEGG_pathway	gene_name	eggnog_annotation
b0475	essential	Porphyrin and chlorophyll metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	HEMH	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)
b1116	essential	ABC transporters	LOLC	Lipoprotein releasing system transmembrane protein
b0642	essential	Aminoacyl-tRNA biosynthesis	LEUS	Leucyl-tRNA synthetase
b3704	essential	-	RNPA	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)
b0086	essential	Lysine biosynthesis /Peptidoglycan biosynthesis /Metabolic pathways /Vancomycin resistance	MURF	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein (By similarity)
b1876	essential	Aminoacyl-tRNA biosynthesis	ARGS	arginyl-tRNa synthetase
b1099	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /DNA replication /Mismatch repair /Homologous recombination	HOLB	dna polymerase iii
b0085	essential	Lysine biosynthesis /Peptidoglycan biosynthesis	MURE	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)
b0084	essential	Peptidoglycan biosynthesis /beta-Lactam resistance	FTSI	peptidoglycan synthetase ftsI
b0524	essential	Lipopolysaccharide biosynthesis /Metabolic pathways	LPXH	Catalyzes the hydrolysis of the pyrophosphate bond of UDP-2,3-diacylglucosamine to yield 2,3-diacylglucosamine 1- phosphate (lipid X) and UMP (By similarity)
b0091	essential	D-Glutamine and D-glutamate metabolism /Peptidoglycan biosynthesis /Metabolic pathways	MURC	Cell wall formation (By similarity)
b0027	essential	Protein export	LSPA	This protein specifically catalyzes the removal of signal peptides from prolipoproteins (By similarity)
b0415	essential	Riboflavin metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	RIBH	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)
b1210	essential	Porphyrin and chlorophyll metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	HEMA	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)
b1207	essential	Pentose phosphate pathway /Purine metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /Carbon metabolism /Biosynthesis of amino acids	PRS	Phosphoribosyl pyrophosphate synthase
b4258	essential	Aminoacyl-tRNA biosynthesis	VALS	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)
b0188	essential	-	TILS	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)
b3702	essential	Two-component system	DNAA	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
b4202	essential	Ribosome	RPSR	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit (By similarity)
b3296	essential	Ribosome	RPSD	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)
b3200	essential	-	LPTA	lipopolysaccharide transport periplasmic protein lptA
b0914	essential	ABC transporters	MSBA	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
b3018	essential	Glycerolipid metabolism /Glycerophospholipid metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	PLSC	1-acyl-sn-glycerol-3-phosphate acyltransferase
b1092	essential	Fatty acid biosynthesis /Metabolic pathways /Fatty acid metabolism	FABD	malonyl CoA-acyl carrier protein transacylase
b0181	essential	Lipopolysaccharide biosynthesis /Metabolic pathways /Cationic antimicrobial peptide (CAMP) resistance	LPXA	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
