clust-8	endo-clust153	gamma-clust41	prot-clust41	entero-clust284	RNA degradation	GROL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)
clust-10	prot-clust316	gamma-clust316	endo-clust351	entero-clust3275	-	-	-
clust-13	endo-clust358	prot-clust900	entero-clust91	gamma-clust900	Purine metabolism /Pyrimidine metabolism /Metabolic pathways	NRDA	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)
clust-21	endo-clust374	entero-clust3024	prot-clust252	gamma-clust252	-	YHDL	Rescues the ribosomes stalled at the 3' end of non-stop mRNAs. May induce hydrolysis of the ribosome-bound peptidyl-tRNA. This activity is crucial when the stalled ribosome can not be rescued by the SsrA(tmRNA)-SmpB quality control system
clust-24	gamma-clust313	entero-clust3189	prot-clust313	endo-clust413	-	-	-
clust-25	gamma-clust1068	prot-clust1068	entero-clust1867	endo-clust391	ABC transporters	FECE	Atp-binding protein
clust-28	gamma-clust277	endo-clust225	entero-clust1171	prot-clust277	-	YHCC	radical SAM protein
clust-46	gamma-clust426	entero-clust2648	endo-clust273	prot-clust426	-	CRL	Binds to the sigma-S subunit of RNA polymerase, activating expression of sigma-S-regulated genes. Stimulates RNA polymerase holoenzyme formation and may bind to several other sigma factors, such as sigma-70 and sigma-32 (By similarity)
clust-48	endo-clust569	entero-clust3630	prot-clust412	gamma-clust412	-	-	-
clust-52	entero-clust1137	gamma-clust107	endo-clust182	prot-clust107	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /DNA replication /Mismatch repair /Homologous recombination	HOLA	DNA polymerase III, delta' subunit
clust-55	entero-clust3231	prot-clust379	endo-clust491	gamma-clust379	-	-	-
clust-59	endo-clust505	gamma-clust359	prot-clust359	entero-clust2650	-	USPB	universal stress protein B
clust-64	endo-clust378	prot-clust399	entero-clust2652	gamma-clust399	-	APAG	ApaG protein
clust-67	entero-clust3386	endo-clust486	prot-clust419	gamma-clust419	-	-	-
clust-68	gamma-clust328	endo-clust142	prot-clust328	entero-clust640	-	DBPA	ATP-dependent RNA helicase DbpA
clust-77	gamma-clust287	prot-clust287	entero-clust3528	endo-clust465	-	-	-
clust-89	gamma-clust286	entero-clust3113	prot-clust286	endo-clust447	-	GLGS	Involved in glycogen synthesis. May be involved in glycogen priming (By similarity)
clust-100	endo-clust252	prot-clust170	gamma-clust170	entero-clust2089	-	YNIC	HAD-superfamily hydrolase subfamily IA variant 3
clust-104	entero-clust3250	prot-clust298	gamma-clust298	endo-clust369	-	-	-
clust-128	endo-clust30	entero-clust219	gamma-clust29	prot-clust29	ABC transporters	FHUB	Iron-hydroxamate transporter permease subunit
clust-135	prot-clust134	gamma-clust134	entero-clust232	endo-clust24	Pyruvate metabolism	POXB	Pyruvate dehydrogenase
clust-137	entero-clust2181	endo-clust330	gamma-clust141	prot-clust141	-	YCIW	oxidoreductase
clust-151	entero-clust174	gamma-clust108	endo-clust154	prot-clust108	-	YDCP	Peptidase U32
clust-163	endo-clust297	gamma-clust183	entero-clust2682	prot-clust183	-	-	-
clust-168	prot-clust354	entero-clust2807	endo-clust461	gamma-clust354	-	YHBY	RNA-binding protein
clust-175	endo-clust131	entero-clust666	gamma-clust125	prot-clust125	Glycine, serine and threonine metabolism /Monobactam biosynthesis /Cysteine and methionine metabolism /Lysine biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /2-Oxocarboxylic acid metabolism /Biosynthesis of amino acids	LYSC	Aspartokinase
