clust-7	entero-clust129	prot-clust940	gamma-clust940	-	PRLC	oligopeptidase A
clust-15	prot-clust1161	gamma-clust1161	entero-clust1238	-	YHII	secretion protein
clust-26	gamma-clust324	prot-clust324	entero-clust3230	-	-	-
clust-37	prot-clust1248	gamma-clust1248	entero-clust961	-	-	Major Facilitator Superfamily
clust-50	prot-clust1266	entero-clust1635	gamma-clust1266	-	TRPH	PHP domain protein
clust-58	prot-clust1046	gamma-clust1046	entero-clust1808	Nitrotoluene degradation /Microbial metabolism in diverse environments	NFSA	nitroreductase
clust-62	gamma-clust1247	prot-clust1247	entero-clust1377	-	HTPX	Heat shock protein HtpX
clust-76	entero-clust1435	gamma-clust251	prot-clust251	-	CBPA	displays overlapping activities with DnaJ, but functions under different conditions, probably acting as a molecular chaperone in an adaptive response to environmental stresses other than heat shock. Lacks autonomous chaperone activity
clust-85	gamma-clust1041	entero-clust993	prot-clust1041	Two-component system	CUSB	Efflux transporter, RND family, MFP subunit
clust-131	prot-clust116	gamma-clust116	entero-clust250	Taurine and hypotaurine metabolism /Cyanoamino acid metabolism /Glutathione metabolism /Metabolic pathways	GGT	Gamma-glutamyltranspeptidase (EC 2.3.2.2)
clust-137	gamma-clust921	prot-clust921	entero-clust2144	-	YIHX	HAD-superfamily hydrolase subfamily IA variant 3
clust-149	prot-clust385	gamma-clust385	entero-clust2778	Fructose and mannose metabolism /Phosphotransferase system (PTS)	SRLB	PTS system glucitol sorbitol-specific transporter subunit IIA
clust-154	gamma-clust382	prot-clust382	entero-clust1735	-	YBHP	Endonuclease Exonuclease phosphatase
clust-168	prot-clust965	entero-clust1070	gamma-clust965	Ubiquinone and other terpenoid-quinone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites	UBIH	hydroxylase
clust-175	entero-clust1892	prot-clust1225	gamma-clust1225	ABC transporters	HISQ	(ABC) transporter
