clust-127	entero-clust1899	endo-clust419	Purine metabolism /Pyrimidine metabolism /Nicotinate and nicotinamide metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	YJJG	'-nucleotidase
clust-129	endo-clust215	entero-clust1309	ABC transporters	GSID	Part of the ABC transporter complex GsiABCD involved in glutathione import. Probably responsible for the translocation of the substrate across the membrane
clust-130	entero-clust2637	endo-clust479	-	YAEJ	class I peptide chain release factor
clust-131	entero-clust2345	endo-clust370	-	YJCO	Uncharacterized protein yjcO
clust-132	entero-clust1909	endo-clust302	-	YBJI	hydrolase
clust-133	endo-clust531	entero-clust3944	-	-	-
clust-134	entero-clust2672	endo-clust349	-	-	Protein of unknown function (DUF454)
clust-135	endo-clust178	entero-clust1018	-	YGHZ	aldo keto reductase
clust-138	endo-clust379	entero-clust1819	-	MODE	Transcriptional regulator, ModE
clust-140	endo-clust510	entero-clust3277	-	-	-
clust-146	endo-clust546	entero-clust3415	-	-	-
clust-148	endo-clust143	entero-clust1211	Glycine, serine and threonine metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of amino acids	THRB	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate (By similarity)
clust-152	entero-clust2583	endo-clust403	-	HSLR	heat shock protein 15
clust-153	endo-clust266	entero-clust2423	-	SYD	Interacts with the SecY protein in vivo. May bind preferentially to an uncomplexed state of SecY, thus functioning either as a chelating agent for excess SecY in the cell or as a regulatory factor that negatively controls the translocase function (By similarity)
clust-154	endo-clust71	entero-clust150	Peptidoglycan biosynthesis	PBPC	penicillin-binding protein 1C
clust-155	endo-clust261	entero-clust895	-	YOAD	(EAL) domain protein
clust-158	endo-clust551	entero-clust2742	Starch and sucrose metabolism /Phosphotransferase system (PTS)	CELA	PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB
clust-159	endo-clust394	entero-clust3122	Sulfur relay system	THIS	thiamine biosynthesis protein ThiS
clust-166	endo-clust88	entero-clust638	-	HFLX	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)
clust-169	endo-clust466	entero-clust2966	-	YHHL	membrane
clust-170	entero-clust1717	endo-clust205	ABC transporters	YECC	abc transporter atp-binding protein
clust-173	endo-clust263	entero-clust1580	-	MSCS	Mechanosensitive ion channel
clust-174	endo-clust249	entero-clust858	Thiamine metabolism /Metabolic pathways	THIH	biosynthesis protein thiH
clust-175	endo-clust138	entero-clust282	Quorum sensing /Protein export /Bacterial secretion system	YIDC	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins (By similarity)
clust-183	entero-clust3075	endo-clust441	-	-	Escherichia coli IMT2125 genomic chromosome, IMT2125
clust-186	endo-clust79	entero-clust491	Ascorbate and aldarate metabolism /Metabolic pathways	GUDD	glucarate dehydratase
clust-189	endo-clust536	entero-clust3855	-	-	-
clust-190	endo-clust262	entero-clust1041	Phenylalanine, tyrosine and tryptophan biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics /Biosynthesis of amino acids /Quorum sensing	AROH	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity)
clust-194	entero-clust1183	endo-clust198	-	ERA	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)
clust-196	endo-clust552	entero-clust2040	Purine metabolism	NUDF	adp-ribose pyrophosphatase
clust-202	endo-clust506	entero-clust4019	-	-	-
clust-203	entero-clust662	endo-clust36	Amino sugar and nucleotide sugar metabolism /Peptidoglycan biosynthesis /Metabolic pathways	MURA	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
