clust-1	endo-clust334	prot-clust339	gamma-clust339	entero-clust2927	deg-clust339	-	CHAB	Cation transport regulator
clust-2	entero-clust6	gamma-clust7	endo-clust2	prot-clust7	deg-clust7	Nitrogen metabolism /Microbial metabolism in diverse environments /Two-component system	NARZ	Nitrate reductase 2 alpha
clust-3	endo-clust297	gamma-clust223	entero-clust2682	prot-clust223	deg-clust223	-	-	-
clust-4	deg-clust260	entero-clust1216	gamma-clust260	prot-clust260	endo-clust115	-	-	-
clust-7	deg-clust80	gamma-clust80	endo-clust129	prot-clust80	entero-clust186	-	YOAA	Helicase
clust-8	gamma-clust147	entero-clust666	endo-clust131	prot-clust147	deg-clust147	Glycine, serine and threonine metabolism /Monobactam biosynthesis /Cysteine and methionine metabolism /Lysine biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /2-Oxocarboxylic acid metabolism /Biosynthesis of amino acids	LYSC	Aspartokinase
clust-9	deg-clust66	entero-clust13	gamma-clust66	endo-clust7	prot-clust66	Glycolysis / Gluconeogenesis /Citrate cycle (TCA cycle) /Pyruvate metabolism /Butanoate metabolism /Metabolic pathways /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /Carbon metabolism	YDBK	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
clust-10	endo-clust260	gamma-clust258	deg-clust258	prot-clust258	entero-clust1205	Fructose and mannose metabolism /Phosphotransferase system (PTS)	SRLE	Pts system, glucitol sorbitol-specific
clust-11	entero-clust3250	deg-clust352	prot-clust352	endo-clust369	gamma-clust352	-	-	-
clust-12	deg-clust453	gamma-clust453	prot-clust453	endo-clust225	entero-clust1171	-	YHCC	radical SAM protein
clust-13	deg-clust55	endo-clust12	gamma-clust55	entero-clust36	prot-clust55	Galactose metabolism /Other glycan degradation /Metabolic pathways	EBGA	Cryptic beta-D-galactosidase subunit alpha
clust-14	gamma-clust37	deg-clust37	endo-clust22	entero-clust28	prot-clust37	Two-component system	MDTC	Resistance protein
clust-15	endo-clust153	deg-clust49	prot-clust49	gamma-clust49	entero-clust284	RNA degradation	GROL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)
clust-16	endo-clust128	deg-clust177	gamma-clust177	prot-clust177	entero-clust474	Arginine biosynthesis /Alanine, aspartate and glutamate metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics /Biosynthesis of amino acids	ARGG	Citrulline--aspartate ligase
clust-17	endo-clust239	deg-clust407	gamma-clust407	prot-clust407	entero-clust2452	Oxidative phosphorylation /Metabolic pathways	NUOA	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain
clust-18	gamma-clust322	deg-clust322	prot-clust322	entero-clust2806	endo-clust445	-	-	-
clust-19	prot-clust18	deg-clust18	entero-clust73	endo-clust13	gamma-clust18	Fatty acid degradation /Metabolic pathways /Fatty acid metabolism	FADE	acyl-CoA dehydrogenase
clust-20	prot-clust437	entero-clust2807	deg-clust437	endo-clust461	gamma-clust437	-	YHBY	RNA-binding protein
clust-22	entero-clust232	prot-clust163	gamma-clust163	endo-clust24	deg-clust163	Pyruvate metabolism	POXB	Pyruvate dehydrogenase
clust-23	endo-clust77	entero-clust898	gamma-clust228	prot-clust228	deg-clust228	-	-	-
clust-24	deg-clust298	entero-clust3024	gamma-clust298	prot-clust298	endo-clust374	-	YHDL	Rescues the ribosomes stalled at the 3' end of non-stop mRNAs. May induce hydrolysis of the ribosome-bound peptidyl-tRNA. This activity is crucial when the stalled ribosome can not be rescued by the SsrA(tmRNA)-SmpB quality control system
clust-26	endo-clust207	gamma-clust236	deg-clust236	prot-clust236	entero-clust2088	-	OMPW	outer membrane protein W
