clust-39	endo-clust118	gamma-clust123	entero-clust944	prot-clust123	Two-component system	GLNL	Signal transduction histidine kinase, nitrogen specific
clust-40	entero-clust2648	endo-clust273	prot-clust529	gamma-clust529	-	CRL	Binds to the sigma-S subunit of RNA polymerase, activating expression of sigma-S-regulated genes. Stimulates RNA polymerase holoenzyme formation and may bind to several other sigma factors, such as sigma-70 and sigma-32 (By similarity)
clust-41	entero-clust3275	gamma-clust384	prot-clust384	endo-clust351	-	-	-
clust-43	gamma-clust524	entero-clust3386	prot-clust524	endo-clust486	-	-	-
clust-44	entero-clust640	gamma-clust1104	endo-clust142	prot-clust1104	-	DBPA	ATP-dependent RNA helicase DbpA
clust-45	prot-clust102	entero-clust1137	endo-clust182	gamma-clust102	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /DNA replication /Mismatch repair /Homologous recombination	HOLA	DNA polymerase III, delta' subunit
clust-46	prot-clust128	endo-clust154	entero-clust174	gamma-clust128	-	YDCP	Peptidase U32
clust-47	gamma-clust1105	entero-clust1867	endo-clust391	prot-clust1105	ABC transporters	FECE	Atp-binding protein
clust-50	prot-clust1343	endo-clust136	gamma-clust1343	entero-clust471	-	RIMO	Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12 (By similarity)
clust-51	gamma-clust976	entero-clust91	endo-clust358	prot-clust976	Purine metabolism /Pyrimidine metabolism /Metabolic pathways	NRDA	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)
clust-52	entero-clust3189	prot-clust383	gamma-clust383	endo-clust413	-	-	-
clust-54	gamma-clust338	endo-clust465	prot-clust338	entero-clust3528	-	-	-
clust-55	gamma-clust520	prot-clust520	endo-clust569	entero-clust3630	-	-	-
clust-56	gamma-clust36	endo-clust30	prot-clust36	entero-clust219	ABC transporters	FHUB	Iron-hydroxamate transporter permease subunit
clust-57	prot-clust541	endo-clust522	entero-clust3501	gamma-clust541	-	-	-
clust-59	endo-clust263	gamma-clust355	prot-clust355	entero-clust1580	-	MSCS	Mechanosensitive ion channel
clust-60	endo-clust526	gamma-clust497	prot-clust497	entero-clust3526	-	-	-
clust-61	entero-clust2652	endo-clust378	gamma-clust500	prot-clust500	-	APAG	ApaG protein
clust-62	gamma-clust404	entero-clust3350	endo-clust444	prot-clust404	-	-	-
clust-63	entero-clust3113	gamma-clust353	prot-clust353	endo-clust447	-	GLGS	Involved in glycogen synthesis. May be involved in glycogen priming (By similarity)
clust-64	prot-clust297	entero-clust2056	gamma-clust297	endo-clust312	-	ELBB	isoprenoid biosynthesis protein with amidotransferase-like domain
clust-65	gamma-clust292	entero-clust3316	prot-clust292	endo-clust347	-	-	-
clust-66	endo-clust491	entero-clust3231	gamma-clust476	prot-clust476	-	-	-
clust-67	gamma-clust450	endo-clust505	prot-clust450	entero-clust2650	-	USPB	universal stress protein B
clust-69	gamma-clust204	entero-clust2089	endo-clust252	prot-clust204	-	YNIC	HAD-superfamily hydrolase subfamily IA variant 3
