STM_MW00581	citrate carrier protein
STM_MW00591	(citrate (pro-3S)-lyase ligase)
STM_MW00601	Covalent carrier of the coenzyme of citrate lyase (By similarity)
STM_MW00651	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate (By similarity)
STM_MW00701	Transcriptional activatory protein CaiF
STM_MW00721	Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA (By similarity)
STM_MW00731	Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle
STM_MW00741	Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA (By similarity)
STM_MW00761	transporter
STM_MW00771	YdiO, YdiQ, YdiR, YdiS, and YdiT may play a role in electron transport between the anaerobic fatty acid oxidation pathway and the respiratory chain
STM_MW00821	(Lipo)protein
STM_MW00841	secreted protein
STM_MW00851	Protein of unknown function (DUF1471)
STM_MW00881	Sulfatase
STM_MW00951	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)
STM_MW00981	involved in the assembly of LPS in the outer leaflet of the outer membrane. Determines N-hexane tolerance and is involved in outer membrane permeability. Essential for envelope biogenesis (By similarity)
STM_MW01031	DUF218 domain
STM_MW01061	NA
STM_MW01101	transcriptional regulator (AraC
STM_MW01211	Transcriptional regulator
STM_MW01261	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)
STM_MW01271	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic (By similarity)
STM_MW01281	peptidoglycan synthetase ftsI
STM_MW01291	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)
STM_MW01301	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein (By similarity)
STM_MW01311	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)
STM_MW01321	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA) (By similarity)
STM_MW01331	Essential cell division protein. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane (By similarity)
STM_MW01341	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)
STM_MW01351	Cell wall formation (By similarity)
STM_MW01361	Cell wall formation (By similarity)
STM_MW01371	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly (By similarity)
STM_MW01381	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)
STM_MW01391	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)
STM_MW01401	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STM_MW01411	Regulates secA expression by translational coupling of the secM secA operon. Translational pausing at a specific Pro residue 5 residues before the end of the protein may allow disruption of a mRNA repressor helix that normally suppresses secA translation initiation (By similarity)
STM_MW01421	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)
STM_MW01431	mutator MutT protein
STM_MW01461	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)
STM_MW01491	pathway protein e
STM_MW01501	Prokaryotic N-terminal methylation motif
STM_MW01581	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)
STM_MW01591	Dihydrolipoamide acetyltransferase
STM_MW01601	dihydrolipoyl dehydrogenase
STM_MW01641	Aconitate hydratase 2
STM_MW01661	UPF0231 protein
STM_MW01711	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)
STM_MW01721	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)
STM_MW01741	Copper resistance protein
STM_MW01751	Glucose dehydrogenase
STM_MW01761	Hypoxanthine phosphoribosyltransferase
STM_MW01771	carbonic anhydrase
STM_MW01791	(ABC) transporter
STM_MW01801	Fimbrial
STM_MW01821	chaperone
STM_MW01831	Fimbriae (also called pili), polar filaments radiating from the surface of the bacterium to a length of 0.5-1.5 micrometers and numbering 100-300 per cell, enable bacteria to colonize the epithelium of specific host organs
STM_MW01841	IIA component
STM_MW01851	Polysaccharide deacetylase
STM_MW01871	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate (By similarity)
STM_MW01891	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
STM_MW02011	fimbrial protein
STM_MW02021	outer membrane usher protein
STM_MW02041	Fimbrial
STM_MW02051	Fimbrial
STM_MW02061	Fimbrial
STM_MW02071	Protein of unknown function (DUF2544)
STM_MW02081	Glutamate-1-semialdehyde aminotransferase
STM_MW02101	Required for insertion of 4Fe-4S clusters for at least IspG (By similarity)
STM_MW02131	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively (By similarity)
STM_MW02141	deoxyguanosinetriphosphate triphosphohydrolase-like protein
STM_MW02151	protease
STM_MW02171	UPF0325 protein
STM_MW02181	transporter
STM_MW02191	Tetrahydrodipicolinate N-succinyltransferase
STM_MW02201	Modifies, by uridylylation or deuridylylation the PII (GlnB) regulatory protein (By similarity)
STM_MW02211	Removes the N-terminal methionine from nascent proteins (By similarity)
STM_MW02221	30S ribosomal protein S2
STM_MW02231	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)
STM_MW02241	Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)
STM_MW02251	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)
STM_MW02261	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity)
STM_MW02271	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide (By similarity)
STM_MW02281	Phosphatidate cytidylyltransferase
STM_MW02301	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
STM_MW02321	as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STM_MW02331	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs (By similarity)
STM_MW02341	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STM_MW02351	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
STM_MW02361	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
STM_MW02371	DNA polymerase III, subunit alpha
STM_MW02381	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA (By similarity)
STM_MW02421	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)
STM_MW02441	UPF0253 protein
STM_MW02481	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity)
STM_MW02501	Outer membrane lipoprotein
STM_MW02511	(Lipo)protein
