STM_MW00581	citrate carrier protein
STM_MW00591	(citrate (pro-3S)-lyase ligase)
STM_MW00601	Covalent carrier of the coenzyme of citrate lyase (By similarity)
STM_MW00611	Citrate lyase beta
STM_MW00621	citrate lyase, alpha
STM_MW00631	Transfers 2-(5''-triphosphoribosyl)-3'- dephosphocoenzyme-A on a serine residue to the apo-acyl carrier protein (gamma chain) of the citrate lyase to yield holo-acyl carrier protein (By similarity)
STM_MW00641	synthase
STM_MW00681	Carbamoyl-phosphate synthetase glutamine chain
STM_MW00691	Carbamoyl-phosphate synthetase ammonia chain
STM_MW00701	Transcriptional activatory protein CaiF
STM_MW00711	Overproduction of CaiE stimulates the activity of CaiB and CaiD (By similarity)
STM_MW00721	Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA (By similarity)
STM_MW00731	Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle
STM_MW00741	Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA (By similarity)
STM_MW00751	acyl-CoA dehydrogenase
STM_MW00761	transporter
STM_MW00771	YdiO, YdiQ, YdiR, YdiS, and YdiT may play a role in electron transport between the anaerobic fatty acid oxidation pathway and the respiratory chain
STM_MW00781	Electron transfer flavoprotein
STM_MW00791	Electron transfer flavoprotein-ubiquinone oxidoreductase
STM_MW00801	Inherit from proNOG: ferredoxin like protein
STM_MW00811	transport protein
STM_MW00821	(Lipo)protein
STM_MW00841	secreted protein
STM_MW00851	Protein of unknown function (DUF1471)
STM_MW00881	Sulfatase
STM_MW00901	glutathione-regulated potassium-efflux system ancillary protein KefF
STM_MW00911	glutathione-regulated potassium-efflux system protein
STM_MW00921	Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis (By similarity)
STM_MW00931	Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP (By similarity)
STM_MW00941	ApaG protein
STM_MW00951	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)
STM_MW00961	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)
STM_MW00971	Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation (By similarity)
STM_MW00991	Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host (By similarity)
STM_MW01001	Pseudouridine synthase
STM_MW01011	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair (By similarity)
STM_MW01021	DNA polymerase
STM_MW01031	DUF218 domain
STM_MW01061	NA
STM_MW01071	L-ribulose-5-phosphate 4-epimerase
STM_MW01081	Catalyzes the conversion of L-arabinose to L-ribulose (By similarity)
STM_MW01091	ribulokinase
STM_MW01101	transcriptional regulator (AraC
STM_MW01111	inner membrane protein yabI
STM_MW01121	(ABC) transporter
STM_MW01141	thiamine transporter membrane protein
STM_MW01151	Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain (By similarity)
STM_MW01161	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
STM_MW01171	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
STM_MW01181	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate (By similarity)
STM_MW01191	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)
STM_MW01211	Transcriptional regulator
STM_MW01221	acetolactate synthase
STM_MW01231	Acetolactate synthase, small subunit
STM_MW01241	DNA-binding transcriptional regulator FruR
STM_MW01251	cell division protein MraZ
STM_MW01361	Cell wall formation (By similarity)
STM_MW01411	Regulates secA expression by translational coupling of the secM secA operon. Translational pausing at a specific Pro residue 5 residues before the end of the protein may allow disruption of a mRNA repressor helix that normally suppresses secA translation initiation (By similarity)
STM_MW01431	mutator MutT protein
STM_MW01441	Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C-terminal domain of GyrB, which probably disrupts DNA binding by the gyrase (By similarity)
STM_MW01451	Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity (By similarity)
STM_MW01471	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)
STM_MW01481	type IV pilin biogenesis protein
STM_MW01491	pathway protein e
STM_MW01501	Prokaryotic N-terminal methylation motif
STM_MW01511	nicotinate-nucleotide pyrophosphorylase
STM_MW01521	N-acetyl-anhydromuranmyl-L-alanine amidase
STM_MW01531	regulatory protein AmpE
STM_MW01541	alpha-N-arabinofuranosidase
STM_MW01551	transporter
STM_MW01561	Amino Acid
STM_MW01571	Transcriptional regulator
STM_MW01611	Secreted protein
STM_MW01631	Protein of unknown function (DUF2950)
STM_MW01641	Aconitate hydratase 2
STM_MW01651	Inherit from bactNOG: HNH endonuclease
STM_MW01661	UPF0231 protein
STM_MW01671	The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system (By similarity)
STM_MW01681	Type III effector Hrp-dependent
STM_MW01691	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)
STM_MW01701	Transcriptional regulator
STM_MW01711	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)
STM_MW01721	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)
STM_MW01731	uncharacterized protein yacC
STM_MW01741	Copper resistance protein
STM_MW01751	Glucose dehydrogenase
STM_MW01761	Hypoxanthine phosphoribosyltransferase
STM_MW01781	(ABC) transporter
STM_MW01791	(ABC) transporter
STM_MW01801	Fimbrial
STM_MW01811	outer membrane usher protein
STM_MW01821	chaperone
STM_MW01831	Fimbriae (also called pili), polar filaments radiating from the surface of the bacterium to a length of 0.5-1.5 micrometers and numbering 100-300 per cell, enable bacteria to colonize the epithelium of specific host organs
STM_MW01841	IIA component
STM_MW01851	Polysaccharide deacetylase
STM_MW01861	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine (By similarity)
STM_MW01871	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate (By similarity)
STM_MW01881	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)
STM_MW01901	polyA polymerase
STM_MW01911	Catalyzes the tRNA-independent activation of glutamate in presence of ATP and the subsequent transfer of glutamate onto a tRNA(Asp). Glutamate is transferred on the 2-amino-5-(4,5- dihydroxy-2-cyclopenten-1-yl) moiety of the queuosine in the wobble position of the QUC anticodon (By similarity)
STM_MW01921	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression (By similarity)
STM_MW01931	Sugar fermentation stimulation protein homolog
STM_MW01941	2'-5' RNA ligase
STM_MW01951	ATP-dependent helicase HrpB
STM_MW01961	penicillin-binding protein 1B
STM_MW01971	receptor
STM_MW01981	(ABC) transporter
STM_MW01991	periplasmic
STM_MW02001	Iron-hydroxamate transporter permease subunit
STM_MW02011	fimbrial protein
STM_MW02021	outer membrane usher protein
STM_MW02031	chaperone
STM_MW02041	Fimbrial
STM_MW02051	Fimbrial
STM_MW02061	Fimbrial
STM_MW02071	Protein of unknown function (DUF2544)
STM_MW02091	Proton-coupled chloride transporter. Functions as antiport system and exchanges two chloride ions for 1 proton. Probably acts as an electrical shunt for an outwardly-directed proton pump that is linked to amino acid decarboxylation, as part of the extreme acid resistance (XAR) response (By similarity)
STM_MW02111	membrAne
STM_MW02121	Part of the ABC transporter complex BtuCDF involved in vitamin B12 import. Binds vitamin B12 and delivers it to the periplasmic surface of BtuC (By similarity)
