Gene_EGGNOG	Gene_Keio	Pathway	DEG: Synechococcus elongatus PCC 7942	DEG: Mycobacterium tuberculosis H37Rv	DEG: Porphyromonas gingivalis ATCC 33277	DEG: Bacteroides thetaiotaomicron VPI-5482	DEG: Bacteroides fragilis 638R	DEG: Francisella novicida U112	DEG: Acinetobacter baumannii ATCC 17978	DEG: Pseudomonas aeruginosa PAO1	DEG: Shewanella oneidensis MR-1	TraDIS: Klebsiella pneumoniae Ecl8	TraDIS: Klebsiella pneumoniae RH201207	TraDIS: Escherichia coli ST131 EC958	TraDIS: Escherichia coli UPEC ST131 NCTC13441	Keio: Escherichia coli BW25113	TraDIS: Escherichia coli BW25113	TraDIS: Citrobacter rodentium ICC168	TraDIS: Salmonella Typhi Ty2	DEG: Salmonella enterica serovar Typhi	TraDIS: Salmonella Typhimurium A130	TraDIS: Salmonella Typhimurium D23580	TraDIS: Salmonella Typhimurium SL3261	TraDIS: Salmonella Typhimurium SL1344	TraDIS: Salmonella Enteritidis P125109	Symbiont: Secondary endosymbiont of Ctenarytaina eucalypti	Symbiont: Candidatus Moranella endobia PCIT	Symbiont: Secondary endosymbiont of Heteropsylla cubana	Symbiont: Candidatus Baumannia cicadellinicola strain BGSS	Symbiont: Candidatus Baumannia cicadellinicola strain B-GSS	Symbiont: Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Symbiont: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Symbiont: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Symbiont: Candidatus Blochmannia vafer str. BVAF	Symbiont: Candidatus Blochmannia floridanus	Symbiont: Candidatus Blochmannia pennsylvanicus str. BPEN	Symbiont: Candidatus Blochmannia chromaiodes str. 640	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Symbiont: Buchnera aphidicola str. Sg (Schizaphis graminum)	Symbiont: Buchnera aphidicola str. G002 (Myzus persicae)	Symbiont: Buchnera aphidicola str. USDA (Myzus persicae)	Symbiont: Buchnera aphidicola str. F009 (Myzus persicae)	Symbiont: Buchnera aphidicola str. W106 (Myzus persicae)	Symbiont: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Symbiont: Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Symbiont: Buchnera aphidicola str. Bp (Baizongia pistaciae)	Symbiont: Buchnera aphidicola BCc	Symbiont: Buchnera aphidicola (Cinara tujafilina)	Symbiont: Sodalis glossinidius str. morsitans	Symbiont: Sodalis praecaptivus strain HS1	Symbiont: Candidatus Sodalis pierantonius str. SOPE	DEG: Haemophilus influenzae Rd KW20	DEG: Vibrio cholerae N16961	DEG: Burkholderia pseudomallei K96243	DEG: Burkholderia thailandensis E264	DEG: Rhodopseudomonas palustris CGA009	DEG: Agrobacterium fabrum str. C58	DEG: Caulobacter crescentus	DEG: Brevundimonas subvibrioides ATCC 15264	DEG: Helicobacter pylori 26695	DEG: Mycoplasma genitalium G37	DEG: Mycoplasma pulmonis UAB CTIP	DEG: Streptococcus agalactiae A909	DEG: Streptococcus pyogenes NZ131	DEG: Streptococcus pyogenes MGAS5448	DEG: Staphylococcus aureus NCTC 8325	DEG: Staphylococcus aureus N315	DEG: Bacillus subtilis 168	Locus: Klebsiella pneumoniae Ecl8	Locus: Klebsiella pneumoniae RH201207	Locus: Escherichia coli ST131 EC958	Locus: Escherichia coli UPEC ST131 NCTC13441	Locus: Escherichia coli BW25113 (Keio)	Locus: Escherichia coli BW25113	Locus: Citrobacter rodentium ICC168	Locus: Salmonella Typhi Ty2	Locus: Salmonella Typhimurium A130	Locus: Salmonella Typhimurium D23580	Locus: Salmonella Typhimurium SL3261	Locus: Salmonella Typhimurium SL1344	Locus: Salmonella Enteritidis P125109	Enterobacteriaceae %essential	Endosymbiont %conserved	Gammaproteobacteria %essential	Gammaproteobacteria (excluding symbionts) %essential	Proteobacteria %essential	Proteobacteria (excluding symbionts) %essential	Bacteria %essential	Bacteria (excluding symbionts) %essential	Enterobacteriaceae: Ancestral essentiality	E. coli + Salmonella + Citrobacter: Ancestral essentiality	Salmonella + Citrobacter: Ancestral essentiality	Klebsiella: Ancestral essentiality	E. coli: Ancestral essentiality	Salmonella: Ancestral essentiality
surA	-	-	A/N	A/N	E	E	E	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	4.1	7.5	0	0	0	0	0	0
yehK	yehK	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	3.57194491058044	3.78823813127622	N	2.99006314417355	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_2453	NCTC13441_01592	b4541	BW25113_4541	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
icd	icdC	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	1.60824289610281	3.30684558877418	N	3.92184947261413	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_4895	NCTC13441_02719	b4519	BW25113_4519	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ramA	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.1443535465738	2.62158036541175	A	A	A	A	2.3123711278523	2.08325527775866	A/N	1.81190526294175	2.2561763774495	2.57927666816584	2.14612082346319	2.35160558743955	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_11281	ERS227112_02995	-	-	-	-	ROD_05711	t2287	STM_MW06461	STMMW_06461	SL3261_0569	SL1344_0569	SEN0551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
yfjD	yfjD	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.59942553204888	2.28965328050281	2.42483900421869	2.22496333542546	N	2.14343963004596	2.48897079967397	1.92255011298358	A/N	1.99687925106961	2.40565707941772	2.58972280607555	2.22357556427752	2.09852076010326	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_35891	ERS227112_01708	EC958_2914	NCTC13441_01129	b4461	BW25113_4461	ROD_25621	t2634	STM_MW26931	STMMW_26931	SL3261_2652	SL1344_2652	SEN2600	0.0	8.8	5.6	0.0	4.9	0.0	4.1	0.0	0	0	0	0	0	0
nanE	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	A	A	A	A	A	A	A/N	3.75981312538482	2.98116941135119	3.0239261619905	3.05435930288764	2.89112990967694	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	-	-	-	-	-	-	STM_MW11381	STMMW_11381	SL3261_1067	SL1344_1067	SEN0990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
kduI	kduI	Pentose and glucuronate interconversions	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A	A	2.8314385560008	3.04193579972411	N	2.83619911095677	2.45507412228229	3.03950113915333	A/N	3.15626294859352	2.99023149264334	2.79031141043327	2.7082908491247	2.93148833809411	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	-	-	EC958_3143	NCTC13441_00894	b2843	BW25113_2843	ROD_28921	t2928	STM_MW29801	STMMW_29801	SL3261_2996	SL1344_2996	SEN2861	0.0	2.9	1.9	0.0	1.6	0.0	1.4	0.0	0	0	0	0	0	0
lsrK	lsrK	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.89301262593979	1.6916295159981	A	A	N	1.43227644351414	A	2.10952118067073	A/N	2.37412000944099	2.10471274935994	2.23402142917183	2.37196091626729	1.94824178228426	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_41711	ERS227112_01096	-	-	b1511	BW25113_1511	-	t3546	STM_MW40371	STMMW_40371	SL3261_4021	SL1344_4021	SEN3862	0.0	2.9	1.9	0.0	1.6	0.0	1.4	0.0	0	0	0	0	0	0
gltI	gltI	ABC transporters / Two-component system	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.53178165193822	2.523103500239	1.94711624702999	1.35184345637719	N	1.0089294474697	2.12411942702854	1.9118279491994	A/N	1.9668068781425	2.02198661152621	2.36948060402637	2.14645177444434	1.94576486951757	A	A	A	P	P	P	A	A	A	A	A	A	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	A/N	A/N	A/N	BN373_12611	ERS227112_03122A	EC958_0773	NCTC13441_12added	b0655	BW25113_0655	ROD_06681	t2208	STM_MW07301	STMMW_07301	SL3261_0654	SL1344_0654	SEN0634	0.0	23.5	14.8	0.0	13.1	0.0	12.2	2.5	0	0	0	0	0	0
ygiB	ygiB	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.11671191133971	2.29505705026717	1.84214492110383	1.65226284144543	N	1.86183571127655	2.23596261583658	1.65167833715565	A/N	1.99533916744739	2.14030995290137	2.17364614933138	2.25017222639658	1.49829387320232	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_41021	ERS227112_01158	EC958_3439	NCTC13441_00659	b3037	BW25113_3037	ROD_35831	t3108	STM_MW31471	STMMW_31471	SL3261_3161	SL1344_3161	SEN3030	0.0	8.8	5.6	0.0	4.9	0.0	4.1	0.0	0	0	0	0	0	0
