Isolate	Gene	Function	Phenotype on TSA-Erm with ATc	Isolate	Gene	Proposed function	Phenotypes on TSA-Erm with ATc
YJ77-9	(DNAA)	DNA helicase	Lethal	YJ41-7	yitJ	Global transcription termination	Defect
JY143	DNAC	DNA helicase	Lethal	YJ64-4	ybeK	Nucleoside hydrolase	Lethal
JY12	(pcrA)	DNA helicase	Lethal	YJ69-3	yqeT	Probable methyltransferase	Defect
YJ2-8	(rpoB)	RNA polymerase	Lethal	JSB442	yhdO	Acyltransferase	Defect
YJ65-7	(rpoA)	RNA polymerase	Lethal	JSB162	ykpA	ABc transporter	Defect
YJ70-3	(rpoC)	RNA polymerase	Lethal	JSB319	yciP	Transporter	Defect
JY57	rpsC	30Sribosomal protein	Lethal	JSB147	obg	GTP binding protein	Lethal
JSB204	rpsD	30S ribosomal protein	Lethal	YJ79-1	ysxB	Ribosomal protein	Lethal
JY87	rpsF	30S ribosomal protein	Lethal	JSB19	ytiA	Ribosomal Protein	Lethal
YJ49-1	rpsI	30S ribosomal protein	Lethal	JSB433	*	Ribosomal protein	Defect
JSB20	rpsJ	30S ribosomal protein	Lethal	YJ49-12	ygaE	Unknown	Lethal
JY16	rpsM	30Sribosomal protein	Lethal	YJ50-7	ywbM	Unknown	Defect
YJ72-2	rpsR	30Sribosomal protein	Lethal	YJ53-2	yxdM	Unknown	Lethal
YJ3-5	rplB	50Sribosomal protein	Lethal	YJ55-1	ybcD	Unknown	Lethal
JSB237	rplC	50Sribosomal protein	Lethal	JY80	ytwP	Unknown	Lethal
JSB447	rplJ	50Sribosomal protein	Lethal	JSB4	yddR	Unknown	Lethal
JSB194	(rplK)	50Sribosomal protein	Lethal	JSB52	ywfL	Unknown	Lethal
YJ49-1	(rplM)	50Sribosomal protein	Lethal	JSB178	yurX	Unknown	Lethal
JSB168	rplN	50Sribosomal protein	Defect	JSB202	ywfL	Unknown	Lethal
JSB22	(rplO)	50Sribosomal protein	Lethal	JSB206	ywbN	Unknown	Lethal
JSB161	rplP	50Sribosomal protein	Lethal	JSB407	ykqC	Unknown	Lethal
JSB181	rplR	50Sribosomal protein	Lethal	JSB422	ywfI	Unknown	Lethal
JSB185	rplT	50Sribosomal protein	Lethal	YJ68-4	–	Unknown	Lethal
JSB453	rplV	50Sribosomal protein	Lethal	YJ7-7	–	Unknown	Lethal
YJ82-8	rplX	50Sribosomal protein	Lethal	YJ47-6	–	Unknown	Defect
JSB312	rpmA	50Sribosomal protein	Lethal	YJ49-11	–	Unknown	Defect
JSB11	rpmI	50Sribosomal protein	Lethal	YJ65-2	–	Unknown	Lethal
YJ58-5	valS	tRNA synthetase	Lethal	YJ67-4	–	Unknown	Lethal
JY34	serS	tRNA synthetase	Lethal	YJ68-17	–	Unknown	Defect
JSB150	(proS)	tRNA synthetase	Lethal	YJ69-6	–	Unknown	Defect
JY260	cysS	tRNA synthetase	Lethal	YJ69-15	–	Unknown	Defect
JY474	alaS	tRNA synthetase	Lethal	JY156	–	Unknown	Defect
JSB335	pheS	tRNA synthetase	Lethal	JY188	–	Unknown	Defect
JSB369	sporC	Peptidyl-tRNA dehydrolase	Defect	JY349	–	Unknown	Lethal
JSB115	tsf	Elongation factor	Lethal	JY367	–	Unknown	Lethal
JY61	tufA	Elongation factor	Lethal	JY511	–	Unknown	Defect
JY365	(fus)	Elongation factor	Lethal	JSB59	–	Unknown	Lethal
YJ78-3	(secA)	Preprotein translocase	Defect	JSB60	–	Unknown	Lethal
JSB193	(secY)	Preprotein translocase	Lethal	JSB91	–	Unknown	Lethal
YJ77-2	(murB)	UDP-N-acetylmuramate dehydrogenase	Lethal	JSB174	–	Unknown	Defect
YJ60-6	adk	Adenylate kinase	Defect	JSB187	–	Unknown	Lethal
JY27	pyrC	Dihydrooratase	Lethal	JSB196	–	Unknown	Lethal	
YJ68-14	ftsH	Cell division protein	Defect	JSB290	–	Unknown	Lethal
YJ72-3	furA	Transporter	Defect	JSB291	–	Unknown	Lethal
YJ84-8	qoxB	Quinol oxidase	Defect	JSB313	–	Unknown	Defect
YJ84-12	ampS	Aminopeptidase	Defect	JSB316	–	Unknown	Defect
YJ45-5	yufD	NADH dehydrogenase	Defect	JSB399	–	Unknown	Defect
YJ69-1	(wapA)	Fibronectin binding protein	Defect	JSB414	–	Unknown	Lethal
YJ15-9	(yomI)	Virulence extracellar factor	Defect	JSB459	–	Unknown	Lethal
JY348	(yvrC)	Hemin-binding periplasmic protein	Defect	
