accB	acetyl CoA carboxylase, BCCP subunit	b3255	7	BW25113_3255	1.4596619977	ETEC_3514	2.0950458996	CS17_03690	2.2191349424	NCTC13441_00446	2.3905204862	EC958_3647	2.8209962596	t3294	1.5895141464	SEN3213	2.7551036299	STMMW_33771	2.9965498741	SL3261_3352	2.7114103225	SL1344_3352	2.3166835138	ROD_45591	2.8294589248	ERS227112_00942	2.5152237256	BN373_43051	2.4166509381	ENC_03405	1.8472956596		
aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	b0114	0	BW25113_0114	-0.110239822	ETEC_0110	0.5884754986	CS17_00124	-0.2111563141	NCTC13441_03867	1.2013847111	EC958_0256	0.9105845007	t0158	2.1275442999	SEN0156	0.9296698241	STM_MW01581	1.6853232042	STMMW_01581	0.8755374741	SL3261_0152	0.7227894709	SL1344_0152	1.4117013338	ROD_01201	0.5056309318	ERS227112_02456	1.1987250079	BN373_06081	0.1937059593	ENC_04480	0.7213574017
aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	b0115	0	BW25113_0115	0.994942458	ETEC_0111	0.956424312	CS17_00125	0.4169685784	NCTC13441_03866	1.8111465809	EC958_0257	1.1586433107	t0159	3.5871023244	SEN0157	1.5457004475	STM_MW01591	1.6914068316	STMMW_01591	1.4426598462	SL3261_0153	1.634713254	SL1344_0153	1.5572821083	ROD_01211	0.6468018919	ERS227112_02457	1.325981543	BN373_06091	0.1212757297	ENC_04481	0.830543667
acpP	acyl carrier protein (ACP)	b1094	7	BW25113_1094	1.5185697289	ETEC_1159	2.521934835	CS17_01232	2.504738378	NCTC13441_02818	1.9456756747	EC958_1290	2.1444197452	t1724	2.4332345452	SEN1853	2.4068535139	STM_MW12051	1.7601986089	STMMW_12051	2.2334417798	SL3261_1133	2.0586660498	SL1344_1133	2.485676041	ROD_11561	2.5921643934	ERS227112_03570	1.8680466814	BN373_17061	1.5712873051	ENC_01507	1.9396899134
acpS	holo-[acyl-carrier-protein] synthase 1	b2563	7	BW25113_2563	1.6371256695	ETEC_2776	2.4910235288	CS17_02852	2.8348169482	NCTC13441_01176	1.7111572377	EC958_2869	2.2676025933	t0280	1.324940273	SEN2557	2.9976968909	STM_MW25931	1.1678260353	STMMW_25931	1.2953324603	SL3261_2539	2.0287669501	SL1344_2539	2.4512646425	ROD_25091	1.6318958933	ERS227112_00025	2.0599906645	BN373_35461	1.7167637949	ENC_03580	1.7893838918
acrA	multidrug efflux system	b0463	0	BW25113_0463	-0.7746911294	ETEC_0515	-0.6815814471	CS17_00495	-1.1461249311	NCTC13441_03515	-0.593653766	EC958_0602	0.3469162029	t2384	-0.7247720863	SEN0457	-0.6182267666	STM_MW05461	-0.1993297054	STMMW_05461	-0.5951362698	SL3261_0469	-0.7918707813	SL1344_0469	0.4774330194	ROD_05181	-0.6892352116	ERS227112_02797	3.2318138833	BN373_09321	-0.3364093139		
acrB	multidrug efflux system protein	b0462	0	BW25113_0462	-0.9562836007	ETEC_0514	-0.4964464764	CS17_00494	-0.8522030722	NCTC13441_03516	-0.4501297916	EC958_0601	0.4198210381	t2385	-0.6719381329	SEN0456	-0.4700241906	STM_MW05451	0.2275854265	STMMW_05451	-0.4472621708	SL3261_0468	-0.5822162591	SL1344_0468	0.3789697743	ROD_05171	-0.4417524465	ERS227112_02796	6.49103639	BN373_09311	-0.4969956718	ENC_02197	-0.3940937582
adk	adenylate kinase	b0474	7	BW25113_0474	2.1270878798	ETEC_0526	2.977824421	CS17_00506	2.1328281655	NCTC13441_03504	2.2497577035	EC958_0613	2.9388279418	t2372	1.8346662954	SEN0469	1.4977735058	STM_MW05581	0.8076360841	STMMW_05581	2.1446037085	SL3261_0481	2.573468268	SL1344_0481	2.8950646394	ROD_05321	2.902855212	ERS227112_02809	2.2718056498	BN373_09441	2.7320801027	ENC_02183	2.6184176142
alsK	D-allose kinase	b4084	7	BW25113_4084	-0.1493713025	ETEC_4394	-0.3048935169	NCTC13441_04379	-0.1613446789	EC958_4565	-0.5686060171	ROD_34691	-0.4443514705	ENC_00507	-0.0419195065																		
apl	phage regulatory protein	t4336	1.6803711184	SL3261_2707	0.7603146906	SL1344_2707	1.0488221628																										
