CS17_01918 [CS17/1983038-1984390 (Complement)] [6-phospho-beta-glucosidase,6-phospho-beta-glucosidase,alpha-galactosidase,Family 4 glycosyl hydrolase]  [celF] [EC_number=]
CS17_01085 [CS17/1163101-1165119 (Complement)] [lipoprotein YcdR,Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase precursor,outer membrane N-deacetylase,poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB,Polysaccharide deacetylase]  [pgaB] [EC_number=]
CS17_02927 [CS17/3008112-3008942 (Complement)] [putative serine protease,SPFH domain / Band 7 family]   [EC_number=]
CS17_02295 [CS17/2349655-2350401 (Complement)] [glycosyl transferase family protein,PGL/p-HBAD biosynthesis glycosyltransferase Rv2957/MT3031,putative glycosyl transferase,Predicted glycosyl hydrolase,colanic acid biosynthesis glycosyltransferase WcaE,Glycosyl transferase family 2]  [wcaE] [EC_number=]
CS17_02661 [CS17/2735195-2736139 (Complement)] [transporter YfdV,putative transporter YfdV,auxin efflux carrier,Membrane transport protein]   [EC_number=]
CS17_01960 [CS17/2023599-2024435 (Complement)] [putative sugar-bisphosphate aldolase,Probable fructose-bisphosphate aldolase,tagatose-bisphosphate aldolase,Fructose/tagatose bisphosphate aldolase,ketose-bisphosphate aldolase,Fructose-bisphosphate aldolase class-II]  [fbaA] [EC_number=]
CS17_00536 [CS17/582185-583639 (Forward)] [putative allantoin permease,Allantoin transport protein,allantoin permease,NCS1 nucleoside transporter family,Permease for cytosine/purines, uracil, thiamine, allantoin]  [ybbW] [EC_number=]
CS17_03456 [CS17/3513140-3513835 (Forward)] [Oligogalacturonate-specific porin kdgM precursor,Oligogalacturonate-specific porin protein (KdgM)]  [kdgM] [EC_number=]
CS17_01442 [CS17/1482455-1482634 (Complement)] [protein,Stress-induced bacterial acidophilic repeat motif]  [yciG] [EC_number=]
CS17_02930 [CS17/3009450-3009695 (Complement)] [Uncharacterized protein conserved in archaea]   [EC_number=]
CS17_01063 [CS17/1139472-1140731 (Forward)] [yccE,hypothetical protein]  [yccE] [EC_number=]
CS17_03552 [CS17/3613339-3614442 (Forward)] [hypothetical protein]   [EC_number=]
CS17_01669 [CS17/1730515-1731663 (Complement)] [fimbrial biogenesis outer membrane usher protein,Outer membrane usher protein fimD precursor,outer membrane usher protein,Fimbrial Usher protein]  [fimD_1] [EC_number=]
CS17_00556 [CS17/602708-603250 (Forward)] [fimbrial-like protein,Type-1A pilin,type-1 fimbrial protein subunit A,P pilus assembly protein, pilin FimA,Fimbrial protein]  [sfmA] [EC_number=]
CS17_03194 [CS17/3254486-3254929 (Complement)] [putative 2-component transcriptional regulator,Virulence factors putative positive transcription regulator BvgA,two component system sensor kinase SsrB,Response regulator,transcriptional regulator EpsA,Bacterial regulatory proteins, luxR family]  [ygeK] [EC_number=]
CS17_03100 [CS17/3157698-3158483 (Complement)] [putative short chain dehydrogenase,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,2-deoxy-D-gluconate 3-dehydrogenase,Uncharacterized conserved protein,2-deoxy-D-gluconate 3-dehydrogenase,short chain dehydrogenase]  [kduD_1] [EC_number=]
CS17_04790 [CS17/4910338-4911168 (Complement)] [Protein of unknown function (DUF2686)]   [EC_number=]
CS17_01662 [CS17/1722503-1724185 (Complement)] [sulfatase ydeN,Choline-sulfatase,arylsulfatase,Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily,choline-sulfatase,Sulfatase]  [ydeN] [EC_number=]
CS17_00184 [CS17/204425-204577 (Forward)] [hypothetical protein]   [EC_number=]
