KlePn.1_03054_1-701_NEs	0.000000	0.471724	0.181394	0.181394	0.496241	0.491319	0.505776	0.185109	0.157458	0.182025	0.184585	0.168814	0.501390	0.496830	0.181612	0.185637	0.500949	0.473303	0.182095	0.491319	0.183744	0.500182	0.000000	0.491319	0.186291	0.502459	0.478194
CitRo.1_48371_1-716_NEs	0.471724	0.000000	0.492444	0.492444	0.107255	0.105193	0.121338	0.483915	0.479410	0.491595	0.495740	0.472234	0.118259	0.107765	0.440111	0.488543	0.121167	0.135158	0.492719	0.105193	0.487382	0.116584	0.471724	0.105193	0.486986	0.116570	0.138445
SalEn.4_06651_1-701_NEs	0.181394	0.492444	0.000000	0.000000	0.493115	0.488334	0.525467	0.151766	0.193688	0.000477	0.011539	0.155653	0.523472	0.495240	0.148873	0.157197	0.520240	0.502543	0.000477	0.488334	0.153638	0.524642	0.181394	0.488334	0.154389	0.524083	0.500880
SalEn.2_MW06651_1-701_NEs	0.181394	0.492444	0.000000	0.000000	0.493115	0.488334	0.525467	0.151766	0.193688	0.000477	0.011539	0.155653	0.523472	0.495240	0.148873	0.157197	0.520240	0.502543	0.000477	0.488334	0.153638	0.524642	0.181394	0.488334	0.154389	0.524083	0.500880
SalEn.14297_1-716_NEs	0.496241	0.107255	0.493115	0.493115	0.000000	0.008854	0.141108	0.489741	0.483718	0.493115	0.500715	0.501665	0.137980	0.011202	0.458020	0.501087	0.140087	0.145247	0.493390	0.008854	0.499406	0.136823	0.496241	0.008854	0.499086	0.135698	0.149108
SalEn.3_4463_1-716_NEs	0.491319	0.105193	0.488334	0.488334	0.008854	0.000000	0.140096	0.486915	0.478191	0.488334	0.495888	0.496798	0.136427	0.014505	0.457422	0.498228	0.139056	0.142536	0.488605	0.000000	0.496551	0.135271	0.491319	0.000000	0.496244	0.135255	0.145262
EscCo.1_04810_1-716_NEs	0.505776	0.121338	0.525467	0.525467	0.141108	0.140096	0.000000	0.492622	0.490997	0.525467	0.525976	0.509912	0.012610	0.138781	0.451022	0.488595	0.013792	0.173305	0.525768	0.140096	0.493117	0.012135	0.505776	0.140096	0.489855	0.015428	0.178355
EscCo.4_03397_1-701_NEs	0.185109	0.483915	0.151766	0.151766	0.489741	0.486915	0.492622	0.000000	0.168814	0.151200	0.155261	0.141702	0.490996	0.485000	0.035087	0.036221	0.486024	0.499935	0.152423	0.486915	0.036197	0.492117	0.185109	0.486915	0.034674	0.495363	0.504467
EntCo.1_21350_1-701_NEs	0.157458	0.479410	0.193688	0.193688	0.483718	0.478191	0.490997	0.168814	0.000000	0.193093	0.194569	0.165536	0.493192	0.486835	0.157906	0.168311	0.486021	0.496976	0.194404	0.478191	0.168559	0.491997	0.157458	0.478191	0.169068	0.491423	0.502126
SalEn.10569_1-701_NEs	0.182025	0.491595	0.000477	0.000477	0.493115	0.488334	0.525467	0.151200	0.193093	0.000000	0.011056	0.155087	0.523472	0.495240	0.148873	0.156629	0.520240	0.501680	0.000955	0.488334	0.153072	0.524642	0.182025	0.488334	0.153822	0.524083	0.500020
