SalEn.4_28861_1-78_NEs	0.000000	0.158243	0.000000	0.005158	0.132180	0.008566	0.142418	0.209178	0.000000	0.209702
CitRo.1_30721_1-78_BeL	0.158243	0.000000	0.158243	0.148738	0.141530	0.147714	0.143246	0.177519	0.158243	0.177957
SalEn.3_2902_1-78_NEs	0.000000	0.158243	0.000000	0.005158	0.132180	0.008566	0.142418	0.209178	0.000000	0.209702
SalEn.12762_1-65_NEs	0.005158	0.148738	0.005158	0.000000	0.130072	0.010340	0.143056	0.216310	0.005158	0.216965
EscCo.1_03062_1-78_NEs	0.132180	0.141530	0.132180	0.130072	0.000000	0.132058	0.098886	0.149264	0.132180	0.149622
SalEn.52824_1-78_NEs	0.008566	0.147714	0.008566	0.010340	0.132058	0.000000	0.142276	0.208966	0.008566	0.209489
EntCo.1_29880_1-73_NEs	0.142418	0.143246	0.142418	0.143056	0.098886	0.142276	0.000000	0.149043	0.142418	0.143892
KlePn.1_01564_1-78_BeL	0.209178	0.177519	0.209178	0.216310	0.149264	0.208966	0.149043	0.000000	0.209178	0.008649
SalEn.2_MW28861_1-78_NEs	0.000000	0.158243	0.000000	0.005158	0.132180	0.008566	0.142418	0.209178	0.000000	0.209702
KlePn.2_37401_1-78_BeL	0.209702	0.177957	0.209702	0.216965	0.149622	0.209489	0.143892	0.008649	0.209702	0.000000
