SalEn.54606_1-357_NEs	0.000000	0.266062	0.267344	0.271392	0.355181	0.008459	0.006566	0.008459	0.008459	0.270032	0.357086	0.251321
EscCo.2_4733_1-357_NEs	0.266062	0.000000	0.006526	0.008393	0.390249	0.263511	0.260626	0.263511	0.263511	0.009329	0.388381	0.286304
EscCo.44377_1-357_BeL	0.267344	0.006526	0.000000	0.007456	0.392464	0.264791	0.261901	0.264791	0.264791	0.008391	0.390588	0.284901
EscCo.3_04017_1-357_NEs	0.271392	0.008393	0.007456	0.000000	0.393597	0.268828	0.265922	0.268828	0.268828	0.002786	0.391720	0.286445
KlePn.2_04591_1-357_NEs	0.355181	0.390249	0.392464	0.393597	0.000000	0.351626	0.353410	0.351626	0.351626	0.395094	0.001887	0.354312
SalEn.3_4490_1-357_NEs	0.008459	0.263511	0.264791	0.268828	0.351626	0.000000	0.007510	0.000000	0.000000	0.267472	0.353518	0.248782
SalEn.14324_1-357_NEs	0.006566	0.260626	0.261901	0.265922	0.353410	0.007510	0.000000	0.007510	0.007510	0.264571	0.355308	0.252399
SalEn.2_MW45051_1-357_NEs	0.008459	0.263511	0.264791	0.268828	0.351626	0.000000	0.007510	0.000000	0.000000	0.267472	0.353518	0.248782
SalEn.4_45051_1-357_NEs	0.008459	0.263511	0.264791	0.268828	0.351626	0.000000	0.007510	0.000000	0.000000	0.267472	0.353518	0.248782
EscCo.1_04846_1-357_NEs	0.270032	0.009329	0.008391	0.002786	0.395094	0.267472	0.264571	0.267472	0.267472	0.000000	0.393213	0.287771
KlePn.1_02312_1-357_NEs	0.357086	0.388381	0.390588	0.391720	0.001887	0.353518	0.355308	0.353518	0.353518	0.393213	0.000000	0.351084
CitRo.1_49001_1-357_NEs	0.251321	0.286304	0.284901	0.286445	0.354312	0.248782	0.252399	0.248782	0.248782	0.287771	0.351084	0.000000
