EscCo.1_02514_1-432_NEs	0.000000	0.372928	1.533569	0.372928	0.548407	0.034480	0.396616	0.379769	0.002305	0.372928	0.547511	0.373203	1.483139	1.533565	0.002305
SalEn.3_2279_1-431_NEs	0.372928	0.000000	1.694935	0.000000	0.527797	0.373196	0.325161	0.006999	0.373430	0.000000	0.531228	0.001548	1.695308	1.688224	0.373430
EscCo.4_01787_75-435_NEs	1.533569	1.694935	0.000000	1.694935	1.620530	1.584599	1.630874	1.730367	1.527850	1.694935	1.603749	1.680879	0.025342	0.001853	1.527850
SalEn.4_23341_1-431_NEs	0.372928	0.000000	1.694935	0.000000	0.527797	0.373196	0.325161	0.006999	0.373430	0.000000	0.531228	0.001548	1.695308	1.688224	0.373430
KlePn.1_03915_1-428_NEs	0.548407	0.527797	1.620530	0.527797	0.000000	0.547400	0.508484	0.529296	0.549744	0.527797	0.005555	0.528277	1.614255	1.609477	0.549744
EscCo.4_01442_1-432_NEs	0.034480	0.373196	1.584599	0.373196	0.547400	0.000000	0.396651	0.377505	0.036961	0.373196	0.546511	0.374776	1.558888	1.584803	0.036961
CitRo.1_26721_1-432_NEs	0.396616	0.325161	1.630874	0.325161	0.508484	0.396651	0.000000	0.328016	0.393671	0.325161	0.509149	0.326549	1.643756	1.618009	0.393671
SalEn.50553_1-431_NEs	0.379769	0.006999	1.730367	0.006999	0.529296	0.377505	0.328016	0.000000	0.380282	0.006999	0.532732	0.008566	1.730844	1.723407	0.380282
EscCo.3_2400_1-431_NEs	0.002305	0.373430	1.527850	0.373430	0.549744	0.036961	0.393671	0.380282	0.000000	0.373430	0.548845	0.373706	1.477509	1.527823	0.000000
SalEn.2_MW23341_1-431_NEs	0.372928	0.000000	1.694935	0.000000	0.527797	0.373196	0.325161	0.006999	0.373430	0.000000	0.531228	0.001548	1.695308	1.688224	0.373430
KlePn.2_32741_1-428_NEs	0.547511	0.531228	1.603749	0.531228	0.005555	0.546511	0.509149	0.532732	0.548845	0.531228	0.000000	0.531713	1.597484	1.592761	0.548845
SalEn.12292_1-431_NEs	0.373203	0.001548	1.680879	0.001548	0.528277	0.374776	0.326549	0.008566	0.373706	0.001548	0.531713	0.000000	1.681215	1.674256	0.373706
KlePn.1_04224_74-435_NEs	1.483139	1.695308	0.025342	1.695308	1.614255	1.558888	1.643756	1.730844	1.477509	1.695308	1.597484	1.681215	0.000000	0.025417	1.477509
EscCo.3_2076_75-434_NEs	1.533565	1.688224	0.001853	1.688224	1.609477	1.584803	1.618009	1.723407	1.527823	1.688224	1.592761	1.674256	0.025417	0.000000	1.527823
EscCo.52265_1-431	0.002305	0.373430	1.527850	0.373430	0.549744	0.036961	0.393671	0.380282	0.000000	0.373430	0.548845	0.373706	1.477509	1.527823	0.000000
