EscCo.3_1876_1-218_NEs	0.000000	0.530630	0.520006	0.520006	0.003065	0.001531	0.525240	0.850754	0.520006	0.010773	0.516252
CitRo.1_18821_1-231_NEs	0.530630	0.000000	0.479345	0.479345	0.532703	0.529731	0.476199	0.795611	0.479345	0.538609	0.473100
SalEn.3_1811_1-218_NEs	0.520006	0.479345	0.000000	0.000000	0.523805	0.520902	0.021713	0.807590	0.000000	0.522023	0.003064
SalEn.2_MW18581_1-218_NEs	0.520006	0.479345	0.000000	0.000000	0.523805	0.520902	0.021713	0.807590	0.000000	0.522023	0.003064
EscCo.1_02031_1-218_NEs	0.003065	0.532703	0.523805	0.523805	0.000000	0.001530	0.529060	0.844189	0.523805	0.013886	0.520027
EscCo.51843_1-218	0.001531	0.529731	0.520902	0.520902	0.001530	0.000000	0.526148	0.848647	0.520902	0.012333	0.517138
SalEn.51000_1-218_NEs	0.525240	0.476199	0.021713	0.021713	0.529060	0.526148	0.000000	0.793758	0.021713	0.527255	0.018565
EntCo.1_06510_1-216_NEs	0.850754	0.795611	0.807590	0.807590	0.844189	0.848647	0.793758	0.000000	0.807590	0.857386	0.797256
SalEn.4_18581_1-218_NEs	0.520006	0.479345	0.000000	0.000000	0.523805	0.520902	0.021713	0.807590	0.000000	0.522023	0.003064
EscCo.4_02042_1-218_NEs	0.010773	0.538609	0.522023	0.522023	0.013886	0.012333	0.527255	0.857386	0.522023	0.000000	0.518266
SalEn.11126_1-218_NEs	0.516252	0.473100	0.003064	0.003064	0.520027	0.517138	0.018565	0.797256	0.003064	0.518266	0.000000
